O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,min,price,%,txn,123000
,S,March,BHA,M,0.02,0.18,2.1,2.9,1179,4.9,0.3,-456,
,J,Gudmundsson,BUR,M,0.16,0.18,2.8,2.9,1424,5.0,0.4,157,
,T,Ince,HUD,M,0.16,0.16,2.9,2.9,1678,5.5,0.5,1238,
,T,Carroll,SWA,M,0.16,0.21,2.7,2.9,1523,4.3,4.6,13244,
,H,Winks,TOT,M,-0.02,0.19,1.9,2.9,768,4.8,0.2,-1084,
,S,Defour,BUR,M,0.15,0.15,2.8,2.8,1638,5.4,0.4,2690,
,J,Cork,BUR,M,0.17,0.17,2.8,2.8,1800,4.6,3.7,-2834,
,V,Iborra,LEI,M,0.12,0.14,2.7,2.8,964,5.8,0.1,-182,
,M,Diamé,NEW,M,-0.04,0.17,1.8,2.8,563,4.6,0.1,304,
,R,Sobhi,STK,M,0.11,0.18,2.5,2.8,765,4.5,0.5,6047,
,J,McClean,WBA,M,-0.17,0.17,1.2,2.8,589,4.8,0.1,-63,
,P,Obiang,WHU,M,0.09,0.18,2.4,2.8,1243,4.4,1.1,-2444,
,J,McArthur,CRY,M,0.09,0.16,2.4,2.7,936,4.3,3.0,-3861,
,Y,Cabaye,CRY,M,0.09,0.13,2.5,2.7,1303,5.4,0.3,-617,
,T,Cleverley,WAT,M,0.14,0.14,2.7,2.7,1676,5.0,0.7,-1049,
,A,Maitland-Niles,ARS,M,0.0,0.16,2.0,2.7,274,4.5,0.0,106,
,S,Boufal,SOU,M,0.07,0.11,2.4,2.6,792,5.7,0.2,366,
,D,Fletcher,STK,M,0.12,0.12,2.6,2.6,1705,4.9,0.6,-1030,
,M,Sissoko,TOT,M,0.02,0.11,2.1,2.6,911,5.4,0.4,-769,
,D,Pröpper,BHA,M,0.11,0.11,2.6,2.6,1800,5.3,0.1,-68,
,A,Carrillo,WAT,M,0.04,0.11,2.2,2.6,1070,5.5,0.0,104,
,N,Matic,MUN,M,0.1,0.1,2.5,2.5,1763,4.8,9.1,-10690,
,E,Kachunga,HUD,M,0.1,0.09,2.6,2.5,1253,5.8,0.1,-299,
,W,Ndidi,LEI,M,0.1,0.1,2.5,2.5,1770,4.9,0.5,-988,
,F,Delph,MCI,M,0.18,0.11,2.8,2.5,1162,4.5,0.9,-6217,
,N,Redmond,SOU,M,0.07,0.08,2.4,2.5,1353,6.0,1.8,-2563,
,L,Fer,SWA,M,0.02,0.1,2.1,2.5,1179,5.2,0.2,-353,
,D,Stephens,BHA,M,0.09,0.09,2.4,2.4,1800,4.5,1.4,-2171,
,J,Livermore,WBA,M,0.06,0.08,2.3,2.4,1578,4.8,0.1,-108,
,G,Barry,WBA,M,0.11,0.07,2.5,2.3,1350,4.5,1.0,-826,
,E,Dier,TOT,M,0.04,0.06,2.2,2.3,1688,4.7,2.3,-3381,
,M,Merino,NEW,M,0.08,0.06,2.4,2.3,1062,5.0,0.1,-185,
,R,van La Parra,HUD,M,-0.04,0.04,1.8,2.2,934,4.8,0.1,-16,
,O,Oriol Romeu,SOU,M,0.05,0.05,2.2,2.2,1529,4.4,2.3,-3856,
,M,Lemina,SOU,M,0.0,0.04,2.0,2.2,1005,4.9,0.1,-140,
,L,Lewis Cook,BOU,M,-0.05,0.02,1.8,2.1,746,4.3,0.9,-184,
,M,Dembélé,TOT,M,-0.06,0.02,1.7,2.1,877,4.9,1.5,-1298,
,M,Noble,WHU,M,0.09,0.02,2.5,2.1,825,5.3,0.1,-253,
,B,Sako,CRY,M,-0.02,0.0,1.9,2.0,220,4.9,0.1,-411,
,M,Schneiderlin,EVE,M,-0.06,0.0,1.7,2.0,1133,4.7,0.5,224,
,T,Davies,EVE,M,-0.08,0.0,1.6,2.0,946,5.2,0.4,-261,
,J,Shelvey,NEW,M,-0.12,0.0,1.4,2.0,925,5.2,0.3,-70,
,J,Ibe,BOU,M,0.0,-0.02,2.0,1.9,1026,4.8,0.3,-243,
,J,Hogg,HUD,M,-0.09,-0.02,1.6,1.9,930,4.4,0.3,-317,
,R,Mesa,SWA,M,-0.07,-0.02,1.7,1.9,708,4.3,0.5,-688,
,J,Murphy,NEW,M,-0.1,-0.02,1.5,1.9,643,5.0,0.1,-42,
,I,Hayden,NEW,M,-0.04,-0.02,1.8,1.9,1091,4.5,0.2,-561,
,I,Gueye,EVE,M,-0.04,-0.04,1.8,1.8,1599,4.8,0.8,-1661,
