team,21~25_avg,21,22~26_avg,22,23,24,25,26
TOT,2.06,2,2.19,2,2,2,4,4
BHA,2.13,2,2.26,2,2,4,2,2
NEW,2.19,2,2.39,2,2,5,2,2
MCI,2.26,2,2.55,2,4,2,2,3
BOU,2.32,2,2.65,2,4,2,4,2
HUD,2.32,2,2.71,3,2,2,4,4
MUN,2.39,2,2.77,3,2,3,4,2
ARS,2.52,2,3.03,4,2,2,2,2
CHE,2.52,2,3.03,4,2,2,2,2
WHU,2.52,2,3.03,4,2,2,2,2
BUR,2.65,2,3.39,4,2,4,2,5
LIV,2.65,2,3.35,3,5,2,2,4
SWA,2.71,2,3.45,4,2,4,4,3
EVE,2.77,2,3.61,4,4,2,2,4
WAT,2.84,2,3.74,5,2,3,2,4
SOU,3.16,4,2.26,2,2,4,2,2
WBA,3.19,4,2.32,2,2,3,5,2
STK,3.29,4,2.52,2,4,2,2,2
LEI,3.32,4,2.58,2,4,2,3,2
CRY,3.68,5,2.26,2,2,4,2,2
