O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
 ,M,Ryan            ,BHA ,G,0.42 ,0.42 ,3.9,3.9 ,1800,4.5  ,1.4 ,6943   ,      
 ,J,Wilshere        ,ARS ,M,0.04 ,0.22 ,2.2,3.2 ,446 ,5.4  ,0.5 ,6296   ,      
 ,R,Sobhi           ,STK ,M,0.11 ,0.18 ,2.5,2.8 ,765 ,4.5  ,0.5 ,6047   ,      
 ,C,Kabasele        ,WAT ,D,0.15 ,0.17 ,2.7,2.8 ,1589,4.6  ,2.5 ,6010   ,      
 ,M,Keane           ,EVE ,D,0.08 ,0.09 ,2.4,2.5 ,1164,5.3  ,5.0 ,5981   ,      
 ,D,Gayle           ,NEW ,F,0.08 ,0.33 ,2.5,4.0 ,861 ,6.1  ,1.2 ,5659   ,      
 ,J,Joselu          ,NEW ,F,0.15 ,0.2  ,2.8,3.1 ,1275,5.5  ,0.7 ,5402   ,      
 ,J,Allen           ,STK ,M,0.24 ,0.24 ,3.2,3.2 ,1692,5.1  ,1.5 ,5175   ,      
 ,R,Richarlison     ,WAT ,M,0.4  ,0.4  ,4.6,4.6 ,1721,6.5  ,18.2,4809   ,      
 ,P,Bardsley        ,BUR ,D,0.23 ,0.23 ,3.0,3.0 ,630 ,4.3  ,0.5 ,4630   ,      
 ,S,Arfield         ,BUR ,M,0.33 ,0.45 ,3.6,4.2 ,1000,4.9  ,0.4 ,4609   ,      
 ,P,Crouch          ,STK ,F,0.14 ,0.2  ,2.7,3.0 ,753 ,4.9  ,3.4 ,4591   ,      
 ,J,Speroni         ,CRY ,G,0.32 ,0.32 ,3.3,3.3 ,990 ,4.1  ,5.3 ,4572   ,      
 ,B,Bruno           ,BHA ,D,0.31 ,0.36 ,3.4,3.6 ,1442,4.5  ,1.1 ,4224   ,      
 ,J,Evans           ,WBA ,D,0.12 ,0.14 ,2.6,2.7 ,1471,4.9  ,0.9 ,4100   ,      
 ,J,Matip           ,LIV ,D,0.35 ,0.35 ,3.9,3.9 ,1260,5.4  ,1.9 ,3923   ,      
 ,T,Hemed           ,BHA ,F,0.19 ,0.46 ,2.9,4.2 ,747 ,4.8  ,1.3 ,3880   ,      
 ,A,Adrián          ,WHU ,G,0.51 ,0.51 ,4.2,4.2 ,540 ,4.3  ,1.5 ,3712   ,      
 ,J,King            ,BOU ,F,0.11 ,0.13 ,2.8,2.9 ,1427,7.0  ,1.2 ,3153   ,      
 ,M,Özil            ,ARS ,M,0.29 ,0.34 ,4.7,5.2 ,1370,9.3  ,2.8 ,2772   ,      
 ,S,Defour          ,BUR ,M,0.15 ,0.15 ,2.8,2.8 ,1638,5.4  ,0.4 ,2690   ,      
