team,30~34_avg,30,31~35_avg,31,32,33,34,35
HUD ,2.0      ,2 ,2.06     ,2 ,2 ,2 ,2 ,4 
EVE ,2.77     ,2 ,3.55     ,3 ,5 ,4 ,2 ,2 
WBA ,2.97     ,3 ,2.97     ,3 ,3 ,2 ,4 ,4 
ARS ,3.03     ,2 ,4.06     ,6 ,2 ,2 ,2 ,2 
LEI ,3.06     ,2 ,4.13     ,6 ,2 ,2 ,3 ,2 
BOU ,3.1      ,4 ,2.19     ,2 ,2 ,2 ,4 ,4 
NEW ,3.16     ,2 ,4.35     ,6 ,2 ,3 ,4 ,3 
LIV ,3.23     ,4 ,2.39     ,2 ,3 ,3 ,2 ,2 
CHE ,3.29     ,2 ,4.58     ,6 ,4 ,2 ,2 ,2 
SWA ,3.29     ,2 ,4.68     ,6 ,4 ,2 ,2 ,5 
CRY ,3.35     ,4 ,2.65     ,2 ,4 ,3 ,2 ,2 
SOU ,3.35     ,2 ,4.74     ,6 ,3 ,4 ,4 ,3 
BUR ,3.58     ,3 ,4.16     ,6 ,2 ,2 ,3 ,3 
WAT ,3.61     ,4 ,3.16     ,4 ,2 ,3 ,2 ,2 
WHU ,3.68     ,3 ,4.39     ,6 ,2 ,4 ,2 ,4 
BHA ,3.71     ,3 ,4.45     ,6 ,3 ,2 ,3 ,4 
MCI ,3.9      ,3 ,4.77     ,6 ,3 ,4 ,5 ,2 
STK ,3.97     ,5 ,2.87     ,2 ,4 ,4 ,3 ,3 
TOT ,3.97     ,3 ,4.9      ,6 ,4 ,3 ,5 ,2 
MUN ,4.26     ,4 ,4.48     ,6 ,2 ,5 ,2 ,3 
