team,13~16_avg,13,14~17_avg,14,15~18_avg,15,16,17,18
NEW,2.2,2,2.4,2,2.8,3,3,2,2
BUR,2.27,2,2.67,2,3.47,4,2,4,4
MUN,2.27,2,2.73,2,3.47,4,2,5,2
WOL,2.27,2,2.6,2,3.33,4,2,3,4
BHA,2.53,3,2.13,2,2.33,2,2,4,3
FUL,2.8,2,3.6,4,3.07,3,4,2,2
HUD,2.8,3,2.53,2,3.07,3,4,2,2
SOU,2.8,2,3.73,4,3.33,4,2,4,2
EVE,2.87,2,3.93,5,2.8,2,3,5,4
LIV,2.87,3,2.8,3,2.6,2,3,4,3
CAR,2.93,3,2.87,3,2.8,3,2,3,4
LEI,2.93,3,2.8,3,2.67,2,4,2,4
MCI,3.07,3,3.13,3,3.2,3,4,3,2
CRY,3.27,4,2.47,2,3.13,3,3,3,5
ARS,3.33,3,3.6,4,3.07,4,2,2,2
CHE,3.4,4,2.73,2,3.53,3,5,3,3
WHU,3.6,5,2.0,2,2.07,2,2,2,3
TOT,3.67,4,3.2,4,2.33,2,3,2,3
WAT,3.8,4,3.47,3,3.93,5,3,2,3
BOU,4.0,4,3.93,5,2.67,2,4,3,2
