W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,111110
 ,R,Neves           ,WOL ,M,0.3  ,0.0  ,3.5,2.0 ,2.5 ,990 ,5.0  ,17.4,651   ,0  ,      
 ,L,Shaw            ,MUN ,D,0.2  ,-0.4 ,3.0,0.0 ,1.0 ,900 ,5.0  ,7.5 ,650   ,0  ,      
m,S,Duffy           ,BHA ,D,0.4  ,0.47 ,3.9,4.2 ,3.8 ,1080,4.7  ,7.2 ,641   ,0  ,      
 ,J,Lerma           ,BOU ,M,0.24 ,0.22 ,3.1,3.0 ,3.8 ,749 ,4.5  ,0.4 ,631   ,3  ,      
 ,D,Yedlin          ,NEW ,D,0.27 ,0.0  ,3.2,2.0 ,4.3 ,979 ,4.5  ,1.4 ,621   ,1  ,      
 ,C,Schindler       ,HUD ,D,0.26 ,0.28 ,3.1,3.2 ,4.0 ,1060,4.3  ,2.0 ,606   ,1  ,      
 ,D,David Luiz      ,CHE ,D,0.29 ,0.33 ,3.6,3.8 ,2.5 ,1035,5.5  ,5.3 ,595   ,0  ,      
 ,W,Ndidi           ,LEI ,M,0.16 ,0.16 ,2.8,2.8 ,4.5 ,1080,4.9  ,1.0 ,589   ,1  ,      
 ,J,Holebas         ,WAT ,D,0.5  ,-0.42,4.4,0.0 ,2.3 ,893 ,4.8  ,12.3,546   ,0  ,      
 ,S,March           ,BHA ,M,0.2  ,0.18 ,3.0,2.9 ,4.0 ,900 ,5.0  ,0.3 ,436   ,2  ,      
 ,R,Mahrez          ,MCI ,M,0.24 ,0.35 ,4.1,5.0 ,5.3 ,499 ,8.6  ,3.3 ,401   ,0  ,      
 ,J,Gomez           ,LIV ,D,0.43 ,0.47 ,4.2,4.4 ,3.3 ,935 ,5.1  ,4.2 ,378   ,0  ,      
m,D,Brooks          ,BOU ,M,0.31 ,0.35 ,3.6,3.8 ,3.3 ,813 ,5.1  ,2.8 ,327   ,0  ,      
 ,L,Digne           ,EVE ,D,0.15 ,-0.42,2.7,0.0 ,2.5 ,754 ,4.8  ,1.7 ,327   ,0  ,      
 ,G,Xhaka           ,ARS ,M,0.21 ,0.26 ,3.1,3.4 ,2.5 ,924 ,5.3  ,3.6 ,324   ,0  ,      
 ,G,Deulofeu        ,WAT ,M,0.3  ,0.3  ,3.6,3.6 ,4.3 ,303 ,5.4  ,0.9 ,317   ,1  ,      
 ,V,Lindelöf        ,MUN ,D,-0.06,-0.02,1.7,1.9 ,1.3 ,808 ,4.8  ,0.9 ,312   ,1  ,      
 ,L,Torreira        ,ARS ,M,0.04 ,-0.12,2.2,1.4 ,2.5 ,704 ,4.9  ,1.6 ,308   ,0  ,      
 ,R,Patrício        ,WOL ,G,0.48 ,-0.24,4.2,0.9 ,1.3 ,990 ,4.6  ,10.0,277   ,0  ,      
 ,F,Fernández       ,NEW ,D,0.32 ,-0.45,3.4,0.0 ,4.5 ,810 ,4.4  ,0.3 ,253   ,1  ,      
 ,A,Mariappa        ,WAT ,D,0.24 ,0.71 ,3.0,5.0 ,4.0 ,396 ,4.2  ,0.2 ,178   ,2  ,      
 ,C,Taylor          ,BUR ,D,-0.05,-0.14,1.8,1.4 ,1.8 ,900 ,4.4  ,0.3 ,119   ,1  ,      
 ,K,Schmeichel      ,LEI ,G,0.26 ,0.22 ,3.3,3.1 ,4.5 ,1080,5.0  ,5.1 ,110   ,0  ,      
 ,A,Pérez           ,NEW ,F,0.11 ,0.13 ,2.7,2.8 ,3.5 ,869 ,6.1  ,1.2 ,107   ,0  ,      
m,M,Ryan            ,BHA ,G,0.43 ,0.48 ,4.0,4.2 ,6.0 ,1080,4.6  ,6.3 ,106   ,0  ,      
 ,C,Smalling        ,MUN ,D,0.16 ,-0.35,2.9,0.0 ,1.0 ,810 ,5.7  ,1.7 ,97    ,0  ,      
 ,P,Dummett         ,NEW ,D,0.27 ,-0.45,3.2,0.0 ,4.0 ,900 ,4.4  ,0.2 ,95    ,1  ,      
 ,M,Dubravka        ,NEW ,G,0.4  ,0.26 ,4.0,3.3 ,5.0 ,1080,5.0  ,0.6 ,80    ,0  ,      
 ,B,Reid            ,CAR ,F,0.1  ,0.27 ,2.5,3.4 ,4.3 ,621 ,5.2  ,0.7 ,63    ,0  ,      
 ,B,Mee             ,BUR ,D,0.1  ,0.04 ,2.5,2.2 ,1.5 ,1080,4.8  ,2.3 ,59    ,0  ,      
 ,J,Lössl           ,HUD ,G,0.25 ,0.27 ,3.1,3.2 ,3.0 ,887 ,4.4  ,1.5 ,54    ,0  ,      
 ,N,Mendy           ,LEI ,M,0.13 ,-0.44,2.6,0.0 ,2.0 ,900 ,4.5  ,1.2 ,43    ,0  ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,33.92 ,~~ ,~~~~~~
 ,S,Francis         ,BOU ,D,0.11 ,0.39 ,2.5,3.7 ,3.5 ,732 ,4.4  ,0.4 ,18    ,0  ,      
 ,M,Lowton          ,BUR ,D,-0.02,-0.13,1.9,1.4 ,1.3 ,900 ,4.7  ,0.3 ,17    ,0  ,      
 ,H,Lloris          ,TOT ,G,0.61 ,0.09 ,5.3,2.5 ,5.5 ,720 ,5.4  ,4.2 ,8     ,0  ,      
 ,J,McArthur        ,CRY ,M,0.06 ,0.09 ,2.3,2.4 ,2.8 ,974 ,4.7  ,0.8 ,6     ,0  ,      
 ,T,Kongolo         ,HUD ,D,-0.05,-0.02,1.8,1.9 ,2.0 ,728 ,4.3  ,0.1 ,6     ,0  ,      
 ,M,Le Marchand     ,FUL ,D,-0.26,0.33 ,0.9,3.4 ,1.0 ,779 ,4.2  ,0.2 ,5     ,0  ,      
 ,I,Gueye           ,EVE ,M,-0.04,-0.02,1.8,1.9 ,1.5 ,932 ,4.8  ,0.3 ,2     ,0  ,      
 ,D,Rice            ,WHU ,D,0.0  ,-0.45,2.0,0.0 ,1.8 ,765 ,4.4  ,0.3 ,2     ,0  ,      
 ,F,Hadergjonaj     ,HUD ,D,0.05 ,0.09 ,2.2,2.4 ,2.5 ,748 ,4.4  ,0.1 ,1     ,0  ,      
 ,M,Diamé           ,NEW ,M,0.04 ,0.0  ,2.2,2.0 ,2.5 ,1054,4.9  ,0.1 ,1     ,0  ,      
 ,D,Odoi            ,FUL ,D,-0.27,-0.27,0.8,0.8 ,1.0 ,855 ,4.4  ,0.1 ,-2    ,0  ,      
 ,G,Bong            ,BHA ,D,0.07 ,0.11 ,2.3,2.5 ,3.5 ,1054,4.5  ,0.2 ,-3    ,0  ,      
 ,H,Costa           ,WOL ,M,0.02 ,-0.41,2.1,0.0 ,1.5 ,794 ,4.9  ,0.5 ,-7    ,0  ,      
 ,M,Ritchie         ,NEW ,M,0.07 ,0.1  ,2.4,2.6 ,2.5 ,874 ,5.8  ,0.5 ,-9    ,0  ,      
 ,B,Ecuele Manga    ,CAR ,D,0.02 ,0.02 ,2.1,2.1 ,1.3 ,1080,4.5  ,0.1 ,-11   ,0  ,      
 ,C,Coady           ,WOL ,D,0.24 ,-0.44,3.1,0.0 ,1.0 ,990 ,4.5  ,0.5 ,-11   ,0  ,      
 ,J,Ralls           ,CAR ,M,-0.06,-0.09,1.7,1.6 ,0.5 ,750 ,4.7  ,0.1 ,-12   ,0  ,      
 ,A,Townsend        ,CRY ,M,0.11 ,0.11 ,2.6,2.6 ,3.3 ,1046,5.7  ,1.0 ,-15   ,0  ,      
 ,M,Lemina          ,SOU ,M,0.06 ,-0.2 ,2.3,1.0 ,2.3 ,1055,4.9  ,0.2 ,-19   ,0  ,      
 ,S,Mustafi         ,ARS ,D,0.15 ,0.15 ,2.8,2.8 ,1.3 ,990 ,5.4  ,1.4 ,-21   ,0  ,      
 ,J,Cork            ,BUR ,M,0.0  ,-0.02,2.0,1.9 ,1.5 ,972 ,4.7  ,0.4 ,-21   ,0  ,      
 ,W,Hoedt           ,SOU ,D,0.09 ,-0.45,2.4,0.0 ,3.5 ,1080,4.4  ,0.3 ,-23   ,0  ,      
 ,H,Arter           ,CAR ,M,-0.08,-0.08,1.6,1.6 ,0.8 ,748 ,4.9  ,0.2 ,-25   ,0  ,      
