O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
,K,Wimmer,STK,D,-0.07,12,7,1.7,585,84,4.4,0.4
,A,Williams,EVE,D,-0.08,14,9,1.6,690,77,5.2,2.1
,A,Adam Smith,BOU,D,-0.1,18,12,1.5,866,72,4.8,0.5
,A,Mariappa,WAT,D,-0.12,12,8,1.5,551,69,4.0,4.3
,J,Ward,CRY,D,-0.15,14,11,1.3,944,86,4.8,0.2
,T,Fosu-Mensah,CRY,D,-0.16,12,9,1.3,701,78,4.5,1.0
,S,Dann,CRY,D,-0.17,13,11,1.2,990,90,4.7,0.6
,J,Schlupp,CRY,D,-0.17,12,10,1.2,777,78,4.7,0.2
,P,van Aanholt,CRY,D,-0.22,7,8,0.9,588,74,5.1,0.9
,A,Ogbonna,WHU,D,-0.33,4,7,0.6,630,90,4.3,0.7
