team,15~19_avg,15,16~20_avg,16,17,18,19,20
CHE ,2.03     ,2 ,2.06     ,2 ,2 ,2 ,3 ,2 
LEI ,2.06     ,2 ,2.13     ,2 ,2 ,2 ,4 ,2 
LIV ,2.06     ,2 ,2.13     ,2 ,2 ,2 ,4 ,2 
CRY ,2.06     ,2 ,2.19     ,2 ,2 ,3 ,2 ,4 
TOT ,2.23     ,2 ,2.45     ,2 ,2 ,5 ,3 ,2 
WBA ,2.39     ,2 ,2.77     ,2 ,4 ,4 ,2 ,2 
SWA ,2.45     ,2 ,2.97     ,2 ,5 ,3 ,2 ,4 
BOU ,2.48     ,2 ,2.97     ,2 ,4 ,4 ,5 ,2 
EVE ,2.58     ,2 ,3.16     ,4 ,2 ,2 ,4 ,2 
BUR ,2.58     ,3 ,2.19     ,2 ,2 ,2 ,4 ,4 
STK ,2.65     ,2 ,3.29     ,4 ,3 ,2 ,2 ,2 
MCI ,2.65     ,2 ,3.29     ,4 ,2 ,4 ,2 ,2 
SOU ,2.65     ,2 ,3.35     ,4 ,2 ,4 ,2 ,4 
HUD ,2.77     ,3 ,2.52     ,2 ,4 ,2 ,2 ,2 
ARS ,3.1      ,4 ,2.13     ,2 ,2 ,2 ,4 ,2 
NEW ,3.16     ,4 ,2.35     ,2 ,2 ,4 ,2 ,5 
WAT ,3.29     ,4 ,2.52     ,3 ,2 ,2 ,2 ,2 
BHA ,3.29     ,4 ,2.58     ,2 ,4 ,2 ,2 ,4 
MUN ,3.84     ,4 ,3.61     ,5 ,2 ,2 ,3 ,2 
WHU ,4.32     ,5 ,3.55     ,4 ,4 ,2 ,2 ,2 
