team,17~21_avg,17,18~22_avg,18,19,20,21,22
WAT ,2.0      ,2 ,2.1      ,2 ,2 ,2 ,2 ,5 
CHE ,2.13     ,2 ,2.32     ,2 ,3 ,2 ,2 ,4 
MUN ,2.13     ,2 ,2.29     ,2 ,3 ,2 ,2 ,3 
ARS ,2.26     ,2 ,2.58     ,2 ,4 ,2 ,2 ,4 
EVE ,2.26     ,2 ,2.58     ,2 ,4 ,2 ,2 ,4 
LIV ,2.26     ,2 ,2.55     ,2 ,4 ,2 ,2 ,3 
LEI ,2.32     ,2 ,2.65     ,2 ,4 ,2 ,4 ,2 
BUR ,2.39     ,2 ,2.84     ,2 ,4 ,4 ,2 ,4 
CRY ,2.48     ,2 ,2.97     ,3 ,2 ,4 ,5 ,2 
MCI ,2.52     ,2 ,3.03     ,4 ,2 ,2 ,2 ,2 
STK ,2.58     ,3 ,2.13     ,2 ,2 ,2 ,4 ,2 
NEW ,2.71     ,2 ,3.42     ,4 ,2 ,5 ,2 ,2 
SOU ,2.71     ,2 ,3.42     ,4 ,2 ,4 ,4 ,2 
TOT ,2.9      ,2 ,3.81     ,5 ,3 ,2 ,2 ,2 
HUD ,3.03     ,4 ,2.03     ,2 ,2 ,2 ,2 ,3 
WHU ,3.03     ,4 ,2.06     ,2 ,2 ,2 ,2 ,4 
BHA ,3.16     ,4 ,2.26     ,2 ,2 ,4 ,2 ,2 
WBA ,3.61     ,4 ,3.16     ,4 ,2 ,2 ,4 ,2 
BOU ,3.94     ,4 ,3.81     ,4 ,5 ,2 ,2 ,2 
SWA ,3.94     ,5 ,2.84     ,3 ,2 ,4 ,2 ,4 
