team,32~36_avg,32,33~37_avg,33,34,35,36,37
HUD,2.0,2,2.1,2,2,2,2,5
ARS,2.06,2,2.16,2,2,2,4,3.0
BUR,2.26,2,2.58,2,3.5,3,2,4
WAT,2.35,2,2.71,3,2,2,5,2
LEI,2.35,2,2.74,2,2.5,6,3,3.0
BOU,2.39,2,2.77,2,4,4,2,2
NEW,2.58,2,3.21,3,4,3,2,3.5
WHU,2.74,2,3.5,4,2,4,5,2.5
LIV,2.77,3,2.58,3,2,2,2,4
WBA,2.9,3,2.84,2,4,4,2,4
BHA,3.0,3,3.05,2,3.5,6,3,4.5
MUN,3.16,2,4.34,5,2.5,6,4,2.5
SWA,3.29,4,2.53,2,2,5,4,2.5
CRY,3.32,4,2.61,3,2,2,3,3
CHE,3.35,4,2.68,2,2.5,6,2,3.0
MCI,3.45,3,3.87,4,5,2,3,2.0
SOU,3.48,3,3.95,4,3.5,6,2,2.5
TOT,3.74,4,3.42,3,3.5,6,2,2.0
STK,3.81,4,3.55,4,3,3,4,2
EVE,4.06,5,3.03,4,2,2,2,2
