W,I,web_name       ,team,T,px  ,VA/M ,VA/ML,p/g,p/gl,form,m% ,%   ,txn   ,gf,122318
 ,G,Wijnaldum      ,LIV ,M,5.5 ,0.18 ,0.24 ,3.0,3.3 ,2.0 ,84 ,1.2 ,-2144 ,-3,      
 ,J,McArthur       ,CRY ,M,4.8 ,0.27 ,0.25 ,3.3,3.2 ,5.2 ,90 ,2.4 ,8394  ,6 ,      
 ,R,Sessegnon      ,FUL ,M,6.0 ,0.13 ,0.2  ,2.8,3.2 ,2.3 ,76 ,2.2 ,-3427 ,-3,      
m,J,Lingard        ,MUN ,M,6.7 ,0.24 ,0.16 ,3.6,3.1 ,6.2 ,50 ,4.4 ,118416,45,      
 ,R,Kenedy         ,NEW ,M,4.9 ,0.1  ,0.22 ,2.5,3.1 ,1.3 ,69 ,1.1 ,-3248 ,-5,      
 ,E,Capoue         ,WAT ,M,4.9 ,0.22 ,0.22 ,3.1,3.1 ,0.7 ,78 ,0.6 ,-421  ,-1,      
 ,G,Xhaka          ,ARS ,M,5.3 ,0.15 ,0.19 ,2.8,3.0 ,2.0 ,90 ,2.8 ,-2230 ,-1,      
 ,E,Dier           ,TOT ,M,4.8 ,0.21 ,0.21 ,3.0,3.0 ,2.2 ,69 ,1.4 ,-3757 ,-4,      
 ,A,Lennon         ,BUR ,M,5.0 ,0.12 ,0.18 ,2.6,2.9 ,1.2 ,75 ,0.6 ,-2462 ,-7,      
 ,A,Mooy           ,HUD ,M,5.1 ,0.18 ,0.18 ,2.9,2.9 ,3.5 ,82 ,1.3 ,-3054 ,-4,      
 ,W,Hughes         ,WAT ,M,5.0 ,0.1  ,0.18 ,2.5,2.9 ,0.8 ,70 ,0.7 ,-1658 ,-4,      
 ,R,Neves          ,WOL ,M,5.0 ,0.18 ,0.18 ,2.9,2.9 ,1.7 ,94 ,12.5,-9445 ,-1,      
 ,J,Moutinho       ,WOL ,M,5.2 ,0.13 ,0.17 ,2.7,2.9 ,1.7 ,88 ,2.2 ,-2401 ,-2,      
 ,A,Westwood       ,BUR ,M,4.5 ,0.09 ,0.18 ,2.4,2.8 ,1.3 ,69 ,1.5 ,-1188 ,-1,      
 ,V,Camarasa       ,CAR ,M,4.6 ,0.24 ,0.17 ,3.1,2.8 ,3.3 ,92 ,1.7 ,4649  ,5 ,      
 ,J,Seri           ,FUL ,M,5.1 ,0.14 ,0.16 ,2.7,2.8 ,1.7 ,87 ,1.9 ,-1883 ,-2,      
 ,J,Jorginho       ,CHE ,M,4.8 ,0.13 ,0.15 ,2.6,2.7 ,1.7 ,90 ,7.2 ,-5645 ,-1,      
 ,A,Pritchard      ,HUD ,M,4.8 ,0.06 ,0.13 ,2.3,2.6 ,1.8 ,70 ,0.1 ,-372  ,-6,      
 ,P,Højbjerg       ,SOU ,M,4.4 ,0.16 ,0.14 ,2.7,2.6 ,2.0 ,82 ,3.8 ,-7270 ,-3,      
 ,J,Cork           ,BUR ,M,4.6 ,0.11 ,0.11 ,2.5,2.5 ,3.3 ,93 ,0.6 ,978   ,3 ,      
 ,W,Ndidi          ,LEI ,M,4.9 ,0.1  ,0.1  ,2.5,2.5 ,1.8 ,98 ,0.8 ,-1200 ,-2,      
 ,M,Ritchie        ,NEW ,M,5.8 ,0.05 ,0.09 ,2.3,2.5 ,1.7 ,74 ,0.4 ,-259  ,-1,      
 ,P,Billing        ,HUD ,M,4.5 ,0.16 ,0.09 ,2.7,2.4 ,2.7 ,91 ,1.9 ,1522  ,1 ,      
 ,N,Mendy          ,LEI ,M,4.5 ,0.09 ,0.09 ,2.4,2.4 ,2.0 ,87 ,1.2 ,-725  ,-1,      
 ,N,Redmond        ,SOU ,M,5.2 ,0.19 ,0.08 ,3.0,2.4 ,4.3 ,97 ,0.4 ,6075  ,25,      
 ,M,Lemina         ,SOU ,M,4.8 ,0.06 ,0.08 ,2.3,2.4 ,1.7 ,83 ,0.2 ,-102  ,-1,      
 ,A,Masuaku        ,WHU ,M,4.3 ,0.02 ,0.09 ,2.1,2.4 ,2.3 ,72 ,2.2 ,2812  ,2 ,      
 ,H,Costa          ,WOL ,M,4.8 ,0.04 ,0.08 ,2.2,2.4 ,2.0 ,71 ,0.4 ,-488  ,-2,      
 ,J,Hogg           ,HUD ,M,4.4 ,0.05 ,0.07 ,2.2,2.3 ,1.3 ,66 ,0.4 ,-496  ,-2,      
 ,I,Gueye          ,EVE ,M,4.8 ,0.02 ,0.02 ,2.1,2.1 ,1.5 ,81 ,0.3 ,-261  ,-1,      
 ,M,Diamé          ,NEW ,M,4.9 ,0.04 ,0.02 ,2.2,2.1 ,2.2 ,98 ,0.1 ,-71   ,-1,      
 ,D,Pröpper        ,BHA ,M,4.8 ,0.0  ,0.0  ,2.0,2.0 ,2.0 ,76 ,0.1 ,2     ,0 ,      
 ,J,Lerma          ,BOU ,M,4.5 ,0.09 ,-0.02,2.4,1.9 ,0.8 ,74 ,0.4 ,-479  ,-2,      
 ,H,Arter          ,CAR ,M,4.9 ,-0.04,-0.04,1.8,1.8 ,2.2 ,76 ,0.2 ,-29   ,0 ,      
 ,N,Matic          ,MUN ,M,5.0 ,-0.06,-0.06,1.7,1.7 ,2.0 ,81 ,0.6 ,84    ,0 ,      
