W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
 ,M,Sakho           ,CRY ,D,4.9 ,100,0.22 ,0.24 ,3.1,3.2 ,3.6 ,1.6 ,3939   ,4  ,      
 ,W,Zaha            ,CRY ,F,6.7 ,83 ,0.18 ,0.21 ,3.2,3.4 ,1.6 ,11.4,3689   ,1  ,      
 ,W,Morgan          ,LEI ,D,4.5 ,75 ,0.13 ,0.09 ,2.6,2.4 ,3.4 ,1.0 ,2743   ,5  ,      
 ,P,Billing         ,HUD ,M,4.5 ,91 ,0.16 ,0.09 ,2.7,2.4 ,2.7 ,1.9 ,2609   ,2  ,      
 ,W,Boly            ,WOL ,D,4.6 ,100,0.26 ,0.26 ,3.2,3.2 ,2.2 ,4.8 ,2564   ,1  ,      
 ,C,Coady           ,WOL ,D,4.5 ,100,0.18 ,0.18 ,2.8,2.8 ,2.3 ,0.6 ,1577   ,4  ,      
 ,T,Alderweireld    ,TOT ,D,6.0 ,88 ,0.3  ,0.32 ,3.8,3.9 ,3.6 ,4.0 ,1487   ,1  ,      
m,H,Lloris          ,TOT ,G,5.4 ,78 ,0.44 ,0.48 ,4.4,4.6 ,3.4 ,4.5 ,1464   ,1  ,      
 ,D,Rice            ,WHU ,D,4.4 ,81 ,0.07 ,0.14 ,2.3,2.6 ,3.4 ,0.7 ,1279   ,3  ,      
 ,J,Cork            ,BUR ,M,4.6 ,93 ,0.11 ,0.11 ,2.5,2.5 ,3.3 ,0.6 ,1252   ,3  ,      
m,B,Davies          ,TOT ,D,5.6 ,67 ,0.16 ,0.25 ,2.9,3.4 ,3.4 ,2.7 ,1105   ,1  ,      
 ,K,Schmeichel      ,LEI ,G,5.0 ,100,0.34 ,0.26 ,3.7,3.3 ,4.8 ,4.8 ,998    ,0  ,      
