W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,122417
 ,J,Tomkins         ,CRY ,D,4.3,81 ,0.14 ,0.16 ,2.6,2.7 ,2.0 ,2.5 ,366   ,0  ,      
 ,C,Löwe            ,HUD ,D,4.4,69 ,0.07 ,0.16 ,2.3,2.7 ,0.3 ,0.2 ,-292  ,-2 ,      
 ,S,Morrison        ,CAR ,D,4.7,99 ,0.13 ,0.15 ,2.6,2.7 ,3.4 ,0.5 ,-614  ,-2 ,      
 ,S,Coleman         ,EVE ,D,5.2,76 ,0.12 ,0.15 ,2.6,2.8 ,0.4 ,1.4 ,-2561 ,-3 ,      
 ,S,Francis         ,BOU ,D,4.4,73 ,0.11 ,0.14 ,2.5,2.6 ,2.0 ,0.4 ,327   ,1  ,      
 ,N,Aké             ,BOU ,D,5.0,100,0.18 ,0.14 ,2.9,2.7 ,1.7 ,4.6 ,-2955 ,-1 ,      
 ,D,Rice            ,WHU ,D,4.4,81 ,0.07 ,0.14 ,2.3,2.6 ,3.4 ,0.7 ,1279  ,3  ,      
 ,R,Bennett         ,WOL ,D,4.2,94 ,0.14 ,0.14 ,2.6,2.6 ,1.8 ,10.6,474   ,0  ,      
 ,C,Smalling        ,MUN ,D,5.6,70 ,0.13 ,0.13 ,2.7,2.7 ,0.4 ,1.4 ,-2213 ,-3 ,      
 ,T,Kongolo         ,HUD ,D,4.3,75 ,0.07 ,0.12 ,2.3,2.5 ,3.0 ,0.3 ,-174  ,-1 ,      
 ,L,Shaw            ,MUN ,D,4.9,71 ,0.1  ,0.12 ,2.5,2.6 ,0.4 ,5.1 ,27267 ,9  ,      
 ,A,Young           ,MUN ,D,5.7,72 ,0.11 ,0.12 ,2.6,2.7 ,3.0 ,2.0 ,10731 ,9  ,      
 ,C,Cathcart        ,WAT ,D,4.5,99 ,0.16 ,0.11 ,2.7,2.5 ,2.0 ,0.9 ,228   ,0  ,      
 ,B,Mee             ,BUR ,D,4.7,100,0.09 ,0.09 ,2.4,2.4 ,2.2 ,2.0 ,-1559 ,-1 ,      
 ,F,Hadergjonaj     ,HUD ,D,4.4,76 ,0.02 ,0.09 ,2.1,2.4 ,2.0 ,0.1 ,-82   ,-1 ,      
 ,W,Morgan          ,LEI ,D,4.5,75 ,0.13 ,0.09 ,2.6,2.4 ,3.4 ,1.0 ,2743  ,5  ,      
 ,G,Bong            ,BHA ,D,4.4,66 ,0.05 ,0.07 ,2.2,2.3 ,0.2 ,0.2 ,-124  ,-1 ,      
 ,D,Yedlin          ,NEW ,D,4.5,81 ,0.07 ,0.07 ,2.3,2.3 ,0.2 ,1.2 ,-2594 ,-4 ,      
 ,I,Diop            ,WHU ,D,4.3,89 ,0.02 ,0.07 ,2.1,2.3 ,3.0 ,0.9 ,-335  ,-1 ,      
 ,B,Ecuele Manga    ,CAR ,D,4.4,100,0.02 ,0.05 ,2.1,2.2 ,2.0 ,0.1 ,-119  ,-2 ,      
 ,W,Hoedt           ,SOU ,D,4.3,72 ,0.05 ,0.05 ,2.2,2.2 ,0.0 ,0.3 ,-305  ,-2 ,      
 ,V,Lindelöf        ,MUN ,D,4.8,72 ,0.0  ,0.02 ,2.0,2.1 ,0.6 ,1.1 ,8956  ,14 ,      
 ,C,Taylor          ,BUR ,D,4.4,89 ,-0.02,0.0  ,1.9,2.0 ,2.0 ,0.3 ,224   ,1  ,      
 ,M,Lowton          ,BUR ,D,4.6,67 ,-0.07,-0.04,1.7,1.8 ,0.5 ,0.3 ,-212  ,-1 ,      
o,C,Chambers        ,FUL ,D,4.2,54 ,-0.17,-0.21,1.3,1.1 ,2.0 ,0.9 ,924   ,2  ,      
 ,D,Odoi            ,FUL ,D,4.4,86 ,-0.2 ,-0.27,1.1,0.8 ,1.8 ,0.1 ,127   ,2  ,      
