team,19~23_avg,19,20~24_avg,20,21,22,23,24
HUD,2.06,2,2.13,2,2,3,2,2
MCI,2.06,2,2.13,2,2,2,4,2
WHU,2.13,2,2.26,2,2,4,2,2
WAT,2.19,2,2.42,2,2,5,2,3
WBA,2.26,2,2.55,2,4,2,2,3
STK,2.32,2,2.65,2,4,2,4,2
BHA,2.52,2,3.1,4,2,2,2,4
TOT,2.52,3,2.0,2,2,2,2,2
MUN,2.58,3,2.16,2,2,3,2,3
CHE,2.65,3,2.26,2,2,4,2,2
SWA,2.65,2,3.35,4,2,4,2,4
NEW,2.77,2,3.65,5,2,2,2,5
SOU,2.77,2,3.61,4,4,2,2,4
CRY,2.9,2,3.87,4,5,2,2,4
ARS,3.16,4,2.26,2,2,4,2,2
LIV,3.19,4,2.32,2,2,3,5,2
EVE,3.23,4,2.39,2,2,4,4,2
LEI,3.35,4,2.65,2,4,2,4,2
BOU,3.61,5,2.13,2,2,2,4,2
BUR,3.68,4,3.35,4,2,4,2,4
