team,19~22_avg,19,20~23_avg,20,21~24_avg,21,22,23,24
WHU,2.13,2,2.33,2,2.73,2,4,3,3
MUN,2.4,2,2.8,3,2.53,2,4,2,2
EVE,2.47,2,2.93,3,2.8,3,3,2,2
BUR,2.53,3,2.07,2,2.27,2,2,3,4
CAR,2.53,2,3.07,3,3.2,4,2,2,4
CHE,2.53,3,2.13,2,2.33,2,2,4,3
CRY,2.73,2,3.67,4,3.2,3,3,5,2
WOL,2.73,2,3.53,4,2.93,2,5,3,2
FUL,2.8,3,2.67,2,3.33,4,2,4,2
MCI,2.87,3,2.67,2,3.33,4,3,2,2
TOT,2.93,3,2.8,3,2.6,2,4,2,3
LIV,3.0,2,4.0,4,3.93,5,3,2,3
HUD,3.07,4,2.2,2,2.47,2,2,5,3
SOU,3.13,2,4.33,5,3.47,4,3,3,2
WAT,3.2,4,2.27,2,2.67,3,2,2,4
ARS,3.4,3,3.87,5,2.53,2,3,4,2
BHA,3.6,4,3.2,3,3.33,3,4,4,2
LEI,3.73,5,2.33,2,2.87,3,2,3,5
BOU,3.8,4,3.47,4,2.93,3,3,2,4
NEW,4.27,5,3.33,3,3.8,4,4,2,5
