W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,102700
,D,Lovren,LIV,D,1.43,1.43,9.0,9.0,6.0,180,4.9,2.3,27519,21,
,B,Bruno,BHA,D,0.61,1.02,4.7,6.5,4.3,182,4.4,0.1,-64,-1,
m,B,Mendy,MCI,D,0.92,0.92,7.8,7.8,5.0,540,6.3,17.0,104804,11,
,M,Keane,EVE,D,0.73,0.73,5.6,5.6,7.0,630,4.9,1.6,11383,12,
o,M,Doherty,WOL,D,0.73,0.73,5.6,5.6,9.3,769,4.9,16.3,60111,6,
m,K,Trippier,TOT,D,0.71,0.71,6.5,6.5,8.0,705,6.3,33.7,-20994,-1,
o,M,Alonso,CHE,D,0.69,0.69,6.8,6.8,3.0,810,7.0,45.9,-2759,0,
o,A,Robertson,LIV,D,0.67,0.67,6.3,6.3,5.3,810,6.4,30.6,97803,6,
,K,Walker,MCI,D,0.65,0.65,6.3,6.3,4.3,630,6.6,13.8,-96472,-12,
,J,Jonny,WOL,D,0.49,0.62,4.2,4.8,5.7,744,4.5,3.0,-2950,-2,
,T,Alexander-Arnold,LIV,D,0.61,0.61,5.1,5.1,0.7,625,5.1,19.0,-131475,-12,
,J,Stones,MCI,D,0.47,0.6,4.5,5.2,4.7,466,5.3,5.9,-1807,-1,
,D,Rose,TOT,D,0.46,0.58,4.7,5.4,4.7,439,5.9,1.0,-5919,-10,
m,A,Laporte,MCI,D,0.57,0.57,5.3,5.3,6.0,810,5.8,8.9,18829,4,
,D,Sánchez,TOT,D,0.57,0.57,5.3,5.3,8.0,512,5.8,2.0,1850,2,
m,J,Gomez,LIV,D,0.45,0.55,4.3,4.8,4.7,755,5.1,4.1,44324,19,
,W,Boly,WOL,D,0.52,0.52,4.4,4.4,4.3,810,4.6,5.3,-1080,0,
m,S,Duffy,BHA,D,0.51,0.51,4.3,4.3,4.0,810,4.5,4.7,32020,12,
,A,Rüdiger,CHE,D,0.51,0.51,5.0,5.0,6.3,788,5.9,3.2,38789,21,
,J,Holebas,WAT,D,0.5,0.5,4.4,4.4,0.0,713,4.8,13.7,-12271,-2,
o,A,Wan-Bissaka,CRY,D,0.47,0.47,4.0,4.0,1.3,704,4.3,29.1,-36093,-2,
m,R,Pereira,LEI,D,0.47,0.47,4.4,4.4,4.3,693,5.1,5.0,1997,1,
