team,10~13_avg,10,11~14_avg,11,12~15_avg,12,13,14,15
LEI,2.07,2,2.2,2,2.4,2,3,3,2
WAT,2.13,2,2.33,2,2.87,2,4,3,5
CHE,2.27,2,2.53,2,3.13,3,4,2,3
NEW,2.4,2,2.8,3,2.6,3,2,2,3
HUD,2.6,3,2.13,2,2.33,2,3,2,3
LIV,2.6,2,3.27,4,2.4,2,3,3,2
BOU,2.67,2,3.53,4,2.93,2,4,5,2
WHU,2.73,3,2.4,2,2.8,2,5,2,2
ARS,2.73,2,3.6,4,3.2,3,3,4,4
BHA,2.87,3,2.67,3,2.27,2,3,2,2
SOU,2.93,2,4.0,5,2.93,3,2,4,4
FUL,2.93,3,2.93,2,3.93,5,2,4,3
MUN,3.2,3,3.33,3,3.73,5,2,2,4
WOL,3.33,3,3.6,4,3.2,4,2,2,4
EVE,3.33,4,2.73,2,3.47,4,2,5,2
MCI,3.4,4,2.73,2,3.53,4,3,3,3
BUR,3.47,4,2.8,3,2.67,3,2,2,4
CAR,3.93,5,2.73,3,2.47,2,3,3,3
TOT,4.0,5,2.93,3,2.8,2,4,4,2
CRY,4.0,4,3.87,4,3.67,4,4,2,3
