I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
M,Noble,WHU,M,0.0,6,3,2.0,220,73.0,5.5,0.2
M,James,LEI,M,0.0,8,4,2.0,338,84.0,4.5,0.5
A,Carrillo,WAT,M,0.0,6,3,2.0,223,74.0,5.5,0.0
R,Sanches,SWA,M,0.0,4,2,2.0,125,62.0,5.0,2.5
R,Fraser,BOU,M,-0.04,7,4,1.8,268,67.0,5.4,0.6
A,Knockaert,BHA,M,-0.03,9,5,1.8,287,57.0,5.9,1.1
J,Gudmundsson,BUR,M,-0.04,9,5,1.8,357,71.0,5.0,0.1
A,Townsend,CRY,M,-0.03,9,5,1.8,405,81.0,5.8,1.4
I,Gueye,EVE,M,-0.04,9,5,1.8,424,84.0,5.0,1.1
G,Sigurdsson,EVE,M,-0.02,7,4,1.8,299,74.0,8.3,4.3
M,Merino,NEW,M,-0.04,9,5,1.8,374,74.0,5.0,0.1
I,Hayden,NEW,M,-0.04,9,5,1.8,382,76.0,4.5,0.3
D,Gosling,BOU,M,-0.06,5,3,1.7,181,60.0,4.9,0.1
J,Murphy,BHA,M,-0.06,5,3,1.7,157,52.0,4.9,0.1
A,Chamberlain,LIV,M,-0.07,8,5,1.6,297,59.0,5.9,2.9
H,Arter,BOU,M,-0.08,8,5,1.6,450,90.0,4.9,0.7
J,McArthur,CRY,M,-0.11,6,4,1.5,255,63.0,4.5,2.9
C,Lee Chung-yong,CRY,M,-0.11,3,2,1.5,109,54.0,4.4,0.7
M,Schneiderlin,EVE,M,-0.1,6,4,1.5,357,89.0,5.0,0.8
C,Yacob,WBA,M,-0.11,3,2,1.5,110,55.0,4.5,0.3
T,Bakayoko,CHE,M,-0.1,6,4,1.5,240,60.0,5.0,0.7
M,Pugh,BOU,M,-0.14,4,3,1.3,165,55.0,4.9,0.1
Y,Cabaye,CRY,M,-0.13,4,3,1.3,212,70.0,5.5,0.3
D,Williams,HUD,M,-0.14,4,3,1.3,152,50.0,4.9,0.1
J,Puncheon,CRY,M,-0.16,6,5,1.2,433,86.0,4.9,0.8
E,Fernandes,WHU,M,-0.22,3,3,1.0,171,57.0,4.5,0.3
M,Arnautovic,WHU,M,-0.25,1,3,0.3,154,51.0,6.9,0.8
