team,2~6_avg,2,3~7_avg,3,4,5,6,7,season_sum
NEW,2.0,2,2.06,2,2,2,2,4,107
HUD,2.03,2,2.13,2,2,2,3,4,108
SOU,2.06,2,2.13,2,2,2,4,2,106
MUN,2.1,2,2.19,2,2,3,3,2,103
WAT,2.26,2,2.52,2,3,4,2,2,107
WHU,2.45,3,1.87,2,1,2,4,2,107
BHA,2.52,3,2.06,2,2,2,2,4,107
WBA,2.58,3,2.13,2,2,2,4,2,107
ARS,2.71,2,3.42,4,2,5,2,2,103
LIV,2.74,2,3.48,4,4,1,3,2,103
MCI,2.77,3,2.61,2,4,2,2,5,103
BOU,2.84,2,3.68,4,4,2,4,2,107
BUR,2.87,2,3.81,5,2,4,1,4,107
LEI,2.97,2,3.94,4,5,2,4,2,106
SWA,3.23,4,2.39,2,2,5,2,2,107
CRY,3.23,4,2.45,2,3,2,4,4,107
STK,3.39,4,2.71,2,4,2,5,2,107
TOT,3.55,5,2.0,1,4,2,2,2,102
CHE,4.06,5,3.1,3,3,4,2,4,101
EVE,4.19,4,4.29,5,4,4,2,1,104
