team,29~33_avg,29,30~34_avg,30,31,32,33,34
WBA,2.45,2,2.97,3,3,3,2,4
ARS,2.52,2,3.03,2,6,2,2,2
LEI,2.52,2,3.06,2,6,2,2,3
LIV,2.61,2,3.23,4,2,3,3,2
SOU,2.65,2,3.35,2,6,3,4,4
SWA,2.65,2,3.29,2,6,4,2,2
BUR,2.77,2,3.58,3,6,2,2,3
WAT,2.81,2,3.61,4,4,2,3,2
WHU,2.84,2,3.68,3,6,2,4,2
EVE,2.9,3,2.77,2,3,5,4,2
TOT,2.94,2,3.97,3,6,4,3,5
STK,2.97,2,3.97,5,2,4,4,3
BOU,3.03,3,3.1,4,2,2,2,4
HUD,3.55,5,2.0,2,2,2,2,2
NEW,3.58,4,3.16,2,6,2,3,4
MUN,3.65,3,4.26,4,6,2,5,2
CRY,3.71,4,3.35,4,2,4,3,2
BHA,3.87,4,3.71,3,6,3,2,3
MCI,3.94,4,3.9,3,6,3,4,5
CHE,4.19,5,3.29,2,6,4,2,2
