team,14~18_avg,14,15~19_avg,15,16,17,18,19
LIV,2.0,2,2.06,2,2,2,2,4
CHE,2.0,2,2.03,2,2,2,2,3
CRY,2.03,2,2.06,2,2,2,3,2
WBA,2.19,2,2.39,2,2,4,4,2
BOU,2.19,2,2.48,2,2,4,4,5
EVE,2.26,2,2.58,2,4,2,2,4
BUR,2.26,2,2.58,3,2,2,2,4
MCI,2.32,2,2.65,2,4,2,4,2
ARS,2.52,2,3.1,4,2,2,2,4
NEW,2.58,2,3.16,4,2,2,4,2
TOT,2.61,3,2.23,2,2,2,5,3
BHA,2.65,2,3.29,4,2,4,2,2
MUN,2.9,2,3.84,4,5,2,2,3
LEI,3.03,4,2.06,2,2,2,2,4
SWA,3.26,4,2.45,2,2,5,3,2
STK,3.35,4,2.65,2,4,3,2,2
HUD,3.42,4,2.77,3,2,4,2,2
WHU,3.68,3,4.32,5,4,4,2,2
WAT,3.68,4,3.29,4,3,2,2,2
SOU,3.87,5,2.65,2,4,2,4,2
