team,14~17_avg,14,15~18_avg,15,16~19_avg,16,17,18,19
WHU,2.0,2,2.07,2,2.13,2,2,3,2
BHA,2.13,2,2.33,2,2.8,2,4,3,4
NEW,2.4,2,2.8,3,2.73,3,2,2,5
CRY,2.47,2,3.13,3,3.2,3,3,5,2
HUD,2.53,2,3.07,3,3.2,4,2,2,4
WOL,2.6,2,3.33,4,2.53,2,3,4,2
BUR,2.67,2,3.47,4,2.87,2,4,4,3
CHE,2.73,2,3.53,3,4.07,5,3,3,3
MUN,2.73,2,3.47,4,2.8,2,5,2,2
LEI,2.8,3,2.67,2,3.53,4,2,4,5
LIV,2.8,3,2.6,2,3.2,3,4,3,2
CAR,2.87,3,2.8,3,2.53,2,3,4,2
MCI,3.13,3,3.2,3,3.4,4,3,2,3
TOT,3.2,4,2.33,2,2.73,3,2,3,3
WAT,3.47,3,3.93,5,2.8,3,2,3,4
ARS,3.6,4,3.07,4,2.07,2,2,2,3
FUL,3.6,4,3.07,3,3.13,4,2,2,3
SOU,3.73,4,3.33,4,2.53,2,4,2,2
BOU,3.93,5,2.67,2,3.47,4,3,2,4
EVE,3.93,5,2.8,2,3.6,3,5,4,2
