team,6~10_avg,6,7~11_avg,7,8,9,10,11
BOU,2.13,2,2.32,2,3,2,2,4
MUN,2.13,2,2.29,2,2,4,2,3
ARS,2.35,2,2.77,3,2,3,3,4
CRY,2.39,2,2.84,3,2,3,4,4
LEI,2.39,2,2.77,3,2,4,2,2
MCI,2.45,2,2.9,2,5,2,4,2
TOT,2.61,3,2.23,2,2,2,5,3
WAT,2.71,2,3.45,4,3,3,2,3
BUR,2.77,3,2.52,2,2,5,4,2
CHE,2.77,2,3.55,4,3,4,2,2
LIV,2.9,2,3.87,4,5,2,2,4
NEW,3.06,3,3.13,3,4,2,3,3
FUL,3.06,3,3.1,3,4,2,3,2
HUD,3.19,3,3.35,4,2,4,3,2
EVE,3.23,4,2.39,2,3,2,4,2
WOL,3.26,4,2.52,2,3,3,3,4
WHU,3.84,4,3.61,4,3,4,3,2
BHA,3.87,4,3.71,5,2,3,2,3
CAR,3.9,5,2.74,2,4,2,5,3
SOU,4.13,5,3.26,3,4,3,2,5
