team,12~16_avg,12,13~17_avg,13,14,15,16,17
CRY,2.0,2,2.0,2,2,2,2,2
BOU,2.0,2,2.06,2,2,2,2,4
EVE,2.06,2,2.13,2,2,2,4,2
MUN,2.23,2,2.45,2,2,4,5,2
STK,2.32,2,2.68,2,4,2,4,3
WHU,2.39,2,2.84,2,3,5,4,4
WAT,2.42,2,2.84,2,4,4,3,2
CHE,2.52,2,3.03,4,2,2,2,2
LIV,2.52,2,3.03,4,2,2,2,2
MCI,2.58,3,2.13,2,2,2,4,2
BUR,2.58,2,3.16,4,2,3,2,2
BHA,2.65,2,3.35,4,2,4,2,4
SWA,2.77,3,2.61,2,4,2,2,5
HUD,3.1,2,4.26,5,4,3,2,4
TOT,3.16,4,2.26,2,3,2,2,2
NEW,3.16,4,2.26,2,2,4,2,2
ARS,3.42,4,2.77,3,2,4,2,2
SOU,3.48,4,2.9,2,5,2,4,2
WBA,3.55,4,3.1,4,2,2,2,4
LEI,3.81,5,2.52,2,4,2,2,2
