O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,min,price,%,txn,122123
,A,Nyom,WBA,D,0.18,0.22,2.9,3.1,1216,4.9,1.4,-577,
,C,Dawson,WBA,D,0.21,0.21,3.0,3.0,810,4.8,1.1,-1803,
,C,Kabasele,WAT,D,0.17,0.2,2.8,2.9,1409,4.6,2.6,-5103,
,D,Sánchez,TOT,D,0.17,0.2,3.0,3.2,952,6.0,0.4,294,
,T,Alexander-Arnold,LIV,D,0.19,0.19,2.8,2.8,529,4.2,1.2,-2080,
,J,Stephens,SOU,D,0.18,0.18,2.8,2.8,540,4.5,0.2,126,
,F,Fernández,SWA,D,0.18,0.18,2.8,2.8,1170,4.5,1.8,-2296,
,M,Britos,WAT,D,0.05,0.18,2.2,2.8,704,4.4,0.7,-1355,
,A,Masuaku,WHU,D,0.09,0.18,2.4,2.8,801,4.4,1.3,32847,
,W,Reid,WHU,D,0.17,0.17,2.8,2.8,1156,4.8,0.7,1511,
,G,Bong,BHA,D,0.16,0.16,2.7,2.7,810,4.4,0.1,291,
,J,Tomkins,CRY,D,0.07,0.16,2.3,2.7,682,4.3,0.5,2918,
,L,Baines,EVE,D,0.14,0.16,2.8,2.9,1099,5.7,3.5,-5727,
x,A,Ogbonna,WHU,D,0.16,0.16,2.7,2.7,1170,4.4,3.8,98761,
,P,Zabaleta,WHU,D,0.16,0.16,2.8,2.8,1501,4.9,1.9,9337,
,E,Mangala,MCI,D,0.0,0.16,2.0,2.8,380,5.0,0.3,4425,
,B,Chilwell,LEI,D,0.07,0.14,2.3,2.6,740,4.3,0.5,-171,
,C,Cédric,SOU,D,0.1,0.13,2.5,2.6,1354,4.8,3.6,-13051,
,K,Gibbs,WBA,D,0.1,0.12,2.5,2.6,1276,5.0,0.4,1009,
,N,Aké,BOU,D,0.12,0.12,2.6,2.6,1612,4.9,3.8,-6895,
,V,Kompany,MCI,D,0.07,0.12,2.4,2.7,574,5.8,2.0,-2226,
,V,Lindelöf,MUN,D,0.02,0.12,2.1,2.6,473,4.9,1.2,-4345,
,S,Prödl,WAT,D,0.02,0.12,2.1,2.5,545,4.3,0.2,-38,
,J,Holebas,WAT,D,0.08,0.12,2.4,2.6,1121,4.9,0.5,-481,
,J,Evans,WBA,D,0.1,0.12,2.5,2.6,1291,4.9,0.8,2715,
,K,Zouma,STK,D,0.11,0.11,2.6,2.6,1415,5.4,2.0,-6216,
,R,Shawcross,STK,D,0.1,0.1,2.5,2.5,1170,4.8,1.0,1296,
,C,Mbemba,NEW,D,0.1,0.1,2.4,2.4,588,3.9,10.7,8558,
,L,Dunk,BHA,D,0.09,0.09,2.4,2.4,1620,4.4,2.8,12086,
,T,Smith,HUD,D,0.08,0.08,2.4,2.4,1204,4.8,0.3,-243,
,W,Morgan,LEI,D,0.07,0.07,2.3,2.3,1620,4.5,3.0,-5510,
,D,Simpson,LEI,D,0.07,0.07,2.3,2.3,1603,4.5,3.8,-12050,
,J,Manquillo,NEW,D,0.07,0.07,2.3,2.3,1350,4.4,1.1,-1742,
,S,Francis,BOU,D,-0.07,0.05,1.7,2.2,1252,4.4,1.0,-2144,
,J,Schlupp,CRY,D,0.02,0.04,2.1,2.2,1317,4.7,0.4,5611,
,V,van Dijk,SOU,D,0.02,0.04,2.1,2.2,993,5.4,1.9,-854,
,D,Janmaat,WAT,D,0.17,0.04,2.8,2.2,405,4.8,0.3,-497,
,S,Dann,CRY,D,0.02,0.02,2.1,2.1,1235,4.7,0.6,3970,
,W,Hoedt,SOU,D,0.02,0.02,2.1,2.1,810,5.0,0.0,152,
,D,Yedlin,NEW,D,-0.02,0.0,1.9,2.0,1175,4.4,0.6,-980,
,J,Ward,CRY,D,-0.02,-0.02,1.9,1.9,1214,4.8,0.2,-958,
,G,Cameron,STK,D,-0.07,-0.02,1.7,1.9,758,4.3,0.3,320,
,A,Adam Smith,BOU,D,-0.06,-0.04,1.7,1.8,1226,4.8,0.4,-323,
,A,Mariappa,WAT,D,-0.1,-0.05,1.6,1.8,1029,4.1,6.3,-2600,
,M,Keane,EVE,D,-0.08,-0.08,1.6,1.6,984,5.3,4.9,-3540,
,E,Pieters,STK,D,-0.08,-0.08,1.6,1.6,1590,4.8,0.5,-1908,
,P,Jagielka,EVE,D,-0.13,-0.11,1.4,1.5,904,4.7,2.6,-2635,
,F,Lejeune,NEW,D,-0.14,-0.11,1.4,1.5,1023,4.4,0.2,-166,
,T,Fosu-Mensah,CRY,D,-0.14,-0.14,1.4,1.4,860,4.4,0.8,-1510,
,K,Wimmer,STK,D,-0.21,-0.17,1.1,1.3,916,4.2,0.3,-276,
,B,Martins Indi,STK,D,-0.29,-0.2,0.6,1.0,488,4.9,0.0,-32,
,P,van Aanholt,CRY,D,-0.24,-0.24,0.8,0.8,611,5.1,0.8,-398,
