team,10~14_avg,10,11~15_avg,11,12,13,14,15
BHA,2.1,2,2.26,2,2,4,1,4
LIV,2.13,2,2.26,2,2,4,2,2
STK,2.32,2,2.65,3,2,2,4,2
WAT,2.32,2,2.71,3,2,2,4,4
BUR,2.39,2,2.81,3,2,4,2,3
SOU,2.42,2,2.84,2,4,3,5,2
EVE,2.58,3,2.13,2,2,3,2,2
WHU,2.61,2,3.32,4,2,3,3,5
CHE,2.65,2,3.29,4,2,4,2,2
MCI,2.65,2,3.29,4,3,2,2,2
CRY,2.65,2,3.29,4,3,2,2,2
NEW,2.77,3,2.61,2,4,2,2,5
LEI,2.84,3,2.65,2,4,2,4,2
SWA,3.0,4,1.94,1,3,2,5,2
BOU,3.03,4,2.0,2,2,2,2,2
TOT,3.06,4,2.06,1,4,2,3,2
ARS,3.1,2,4.26,5,4,3,2,4
HUD,3.23,4,2.42,2,2,4,4,3
WBA,3.42,4,2.74,2,4,4,2,1
MUN,3.74,4,3.48,5,2,1,2,4
