O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011220
 ,A,Hegazi          ,WBA ,D,0.22 ,0.22 ,3.0,3.0 ,2.2 ,1946,4.5  ,19.0,10349  ,      
 ,B,Davies          ,TOT ,D,0.47 ,0.62 ,4.6,5.4 ,3.2 ,1243,5.5  ,13.5,10285  ,      
 ,C,Benteke         ,CRY ,F,0.04 ,0.05 ,2.3,2.4 ,4.0 ,1298,7.6  ,2.2 ,9842   ,      
 ,H,Maguire         ,LEI ,D,0.3  ,0.3  ,3.6,3.6 ,2.6 ,1980,5.4  ,11.0,9836   ,      
 ,E,Ederson         ,MCI ,G,0.44 ,0.45 ,4.4,4.5 ,6.2 ,1935,5.5  ,6.5 ,8924   ,      
 ,A,Gray            ,WAT ,F,0.11 ,0.3  ,2.7,3.9 ,2.2 ,1120,6.3  ,1.8 ,8902   ,      
 ,M,Kelly           ,CRY ,D,0.31 ,0.43 ,3.3,3.8 ,3.4 ,558 ,4.2  ,0.5 ,8564   ,      
 ,A,Rüdiger         ,CHE ,D,0.52 ,0.57 ,5.0,5.3 ,5.2 ,1284,5.8  ,3.2 ,8560   ,      
 ,A,Masuaku         ,WHU ,D,0.02 ,0.04 ,2.1,2.2 ,2.0 ,1143,4.5  ,2.2 ,7392   ,      
 ,D,Yedlin          ,NEW ,D,0.07 ,0.09 ,2.3,2.4 ,3.2 ,1535,4.4  ,0.8 ,7252   ,      
 ,D,de Gea          ,MUN ,G,0.54 ,0.54 ,5.2,5.2 ,3.6 ,1980,5.9  ,42.7,6182   ,      
 ,W,Zaha            ,CRY ,M,0.28 ,0.28 ,3.9,3.9 ,3.6 ,1426,6.9  ,5.6 ,6161   ,      
 ,J,Rodriguez       ,WBA ,F,0.07 ,0.13 ,2.4,2.7 ,2.8 ,1607,5.5  ,0.8 ,5042   ,      
 ,K,Darlow          ,NEW ,G,0.5  ,0.5  ,4.2,4.2 ,3.2 ,540 ,4.4  ,0.3 ,5004   ,      
 ,A,Lacazette       ,ARS ,F,0.18 ,0.21 ,3.9,4.2 ,3.8 ,1513,10.3 ,8.9 ,4967   ,      
 ,S,Rondón          ,WBA ,F,0.05 ,0.1  ,2.3,2.6 ,2.6 ,1380,6.0  ,0.6 ,3744   ,      
 ,B,Bruno           ,BHA ,D,0.31 ,0.38 ,3.4,3.7 ,4.0 ,1545,4.5  ,1.5 ,3666   ,      
 ,J,Vertonghen      ,TOT ,D,0.25 ,0.25 ,3.5,3.5 ,3.2 ,1949,6.0  ,9.7 ,3368   ,      
 ,J,Ibe             ,BOU ,M,0.02 ,0.04 ,2.1,2.2 ,2.6 ,1206,4.8  ,0.4 ,3273   ,      
 ,J,Mata            ,MUN ,M,0.32 ,0.43 ,4.2,4.9 ,5.8 ,1174,6.8  ,2.5 ,3263   ,      
 ,J,Pickford        ,EVE ,G,0.41 ,0.41 ,4.0,4.0 ,5.0 ,1980,4.9  ,8.1 ,3105   ,      
 ,W,Hennessey       ,CRY ,G,0.35 ,0.35 ,3.5,3.5 ,1.8 ,990 ,4.3  ,1.0 ,3049   ,      
 ,A,Carrillo        ,WAT ,M,0.11 ,0.24 ,2.6,3.3 ,4.4 ,1242,5.5  ,0.1 ,2730   ,      
 ,M,Yoshida         ,SOU ,D,0.35 ,0.38 ,3.7,3.8 ,2.0 ,1534,4.8  ,3.7 ,2509   ,      
 ,A,Chamberlain     ,LIV ,M,0.07 ,0.3  ,2.4,3.7 ,3.6 ,1060,5.6  ,1.7 ,2373   ,      
 ,T,Fosu-Mensah     ,CRY ,D,-0.09,-0.05,1.6,1.8 ,1.6 ,1050,4.4  ,0.8 ,2330   ,      
 ,A,Doucouré        ,WAT ,M,0.4  ,0.4  ,4.1,4.1 ,3.0 ,1890,5.3  ,12.1,1923   ,      
 ,S,Steve Cook      ,BOU ,D,0.17 ,0.23 ,2.8,3.1 ,2.6 ,1423,4.7  ,1.3 ,1752   ,      
 ,P,Zabaleta        ,WHU ,D,0.1  ,0.1  ,2.5,2.5 ,2.2 ,1849,4.9  ,2.3 ,1619   ,      
 ,D,Lovren          ,LIV ,D,0.28 ,0.4  ,3.5,4.1 ,4.6 ,1295,5.3  ,1.3 ,1598   ,      
 ,C,Martina         ,EVE ,D,0.2  ,0.25 ,2.9,3.1 ,3.0 ,1200,4.4  ,1.9 ,1205   ,      
 ,A,Knockaert       ,BHA ,M,0.16 ,0.23 ,2.9,3.3 ,3.2 ,1516,5.6  ,0.6 ,915    ,      
 ,K,Wimmer          ,STK ,D,-0.21,-0.17,1.1,1.3 ,1.0 ,1276,4.2  ,0.4 ,785    ,      
 ,A,Townsend        ,CRY ,M,0.23 ,0.25 ,3.3,3.4 ,6.0 ,1888,5.6  ,1.2 ,676    ,      
 ,M,Suttner         ,BHA ,D,0.26 ,0.26 ,3.1,3.1 ,2.0 ,1080,4.3  ,0.5 ,523    ,      
 ,S,Defour          ,BUR ,M,0.13 ,0.13 ,2.7,2.7 ,3.2 ,1818,5.4  ,0.4 ,388    ,      
 ,A,Adam Smith      ,BOU ,D,-0.02,0.02 ,1.9,2.1 ,2.4 ,1586,4.8  ,0.4 ,309    ,      
 ,C,Fuchs           ,LEI ,D,0.19 ,0.23 ,2.9,3.1 ,1.6 ,1351,4.8  ,2.1 ,195    ,      
 ,M,Wagué           ,WAT ,D,0.44 ,0.67 ,4.0,5.0 ,3.0 ,288 ,4.5  ,0.1 ,106    ,      
 ,J,Manquillo       ,NEW ,D,0.09 ,0.09 ,2.4,2.4 ,2.0 ,1620,4.4  ,1.0 ,86     ,      
 ,J,Livermore       ,WBA ,M,0.04 ,0.08 ,2.2,2.4 ,2.2 ,1732,4.8  ,0.1 ,47     ,      
 ,R,van La Parra    ,HUD ,M,-0.02,0.04 ,1.9,2.2 ,2.4 ,1114,4.8  ,0.1 ,-8     ,      
 ,Y,Cabaye          ,CRY ,M,0.07 ,0.11 ,2.4,2.6 ,2.0 ,1423,5.4  ,0.3 ,-62    ,      
 ,G,Cameron         ,STK ,D,-0.09,-0.07,1.6,1.7 ,1.2 ,1118,4.3  ,0.3 ,-94    ,      
 ,J,Shelvey         ,NEW ,M,-0.1 ,0.02 ,1.5,2.1 ,1.2 ,1029,5.2  ,0.3 ,-105   ,      
x,A,Christensen     ,CHE ,D,0.3  ,0.37 ,3.7,4.1 ,3.0 ,1223,5.6  ,4.4 ,-107   ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,-135.15,~~~~~~
 ,M,Schneiderlin    ,EVE ,M,-0.04,0.0  ,1.8,2.0 ,2.4 ,1313,4.7  ,0.5 ,-162   ,      
 ,D,Pröpper         ,BHA ,M,0.11 ,0.11 ,2.6,2.6 ,2.4 ,1980,5.3  ,0.1 ,-163   ,      
 ,C,Dawson          ,WBA ,D,0.17 ,0.17 ,2.8,2.8 ,1.4 ,1080,4.8  ,1.0 ,-164   ,      
 ,V,Iborra          ,LEI ,M,0.1  ,0.14 ,2.6,2.8 ,1.2 ,1054,5.8  ,0.1 ,-170   ,      
 ,J,Speroni         ,CRY ,G,0.32 ,0.32 ,3.3,3.3 ,2.2 ,990 ,4.1  ,5.4 ,-199   ,      
 ,M,Lemina          ,SOU ,M,-0.02,0.04 ,1.9,2.2 ,1.4 ,1013,4.8  ,0.1 ,-223   ,      
 ,T,Smith           ,HUD ,D,0.06 ,0.04 ,2.3,2.2 ,1.6 ,1449,4.8  ,0.3 ,-230   ,      
 ,L,Fer             ,SWA ,M,0.02 ,0.1  ,2.1,2.5 ,1.6 ,1179,5.2  ,0.2 ,-235   ,      
 ,M,Merino          ,NEW ,M,0.08 ,0.04 ,2.4,2.2 ,1.0 ,1137,5.0  ,0.1 ,-236   ,      
 ,E,Kachunga        ,HUD ,M,0.1  ,0.09 ,2.6,2.5 ,1.2 ,1253,5.8  ,0.1 ,-258   ,      
 ,T,Courtois        ,CHE ,G,0.4  ,0.4  ,4.2,4.2 ,5.0 ,1980,5.5  ,13.4,-286   ,      
 ,I,Hayden          ,NEW ,M,-0.05,0.0  ,1.8,2.0 ,1.0 ,1182,4.4  ,0.2 ,-287   ,      
 ,D,Gosling         ,BOU ,M,0.08 ,0.23 ,2.4,3.1 ,3.4 ,732 ,4.8  ,0.1 ,-332   ,      
 ,G,Bong            ,BHA ,D,0.3  ,0.3  ,3.3,3.3 ,3.0 ,900 ,4.4  ,0.2 ,-362   ,      
 ,M,Olsson          ,SWA ,D,0.16 ,0.16 ,2.8,2.8 ,0.8 ,1796,5.0  ,0.3 ,-378   ,      
 ,S,Francis         ,BOU ,D,-0.09,-0.02,1.6,1.9 ,0.4 ,1522,4.3  ,0.9 ,-385   ,      
 ,T,Davies          ,EVE ,M,-0.08,0.0  ,1.6,2.0 ,1.4 ,1036,5.2  ,0.4 ,-389   ,      
 ,G,Krychowiak      ,WBA ,M,0.06 ,0.14 ,2.3,2.7 ,1.0 ,1007,4.9  ,0.2 ,-423   ,      
 ,J,Joselu          ,NEW ,F,0.13 ,0.18 ,2.7,3.0 ,2.2 ,1358,5.5  ,0.7 ,-424   ,      
