team,7~11_avg,7,8~12_avg,8,9,10,11,12
TOT,2.23,2,2.48,2,2,5,3,3
MUN,2.29,2,2.68,2,4,2,3,5
BOU,2.32,2,2.68,3,2,2,4,3
EVE,2.39,2,2.84,3,2,4,2,4
WOL,2.52,2,3.1,3,3,3,4,4
BUR,2.52,2,3.06,2,5,4,2,3
CAR,2.74,2,3.48,4,2,5,3,2
ARS,2.77,3,2.52,2,3,3,4,2
LEI,2.77,3,2.52,2,4,2,2,2
CRY,2.84,3,2.71,2,3,4,4,4
MCI,2.9,2,3.87,5,2,4,2,4
FUL,3.1,3,3.26,4,2,3,2,5
NEW,3.13,3,3.26,4,2,3,3,3
SOU,3.26,3,3.52,4,3,2,5,3
HUD,3.35,4,2.65,2,4,3,2,2
WAT,3.45,4,2.87,3,3,2,3,3
CHE,3.55,4,3.03,3,4,2,2,2
WHU,3.61,4,3.16,3,4,3,2,2
BHA,3.71,5,2.32,2,3,2,3,2
LIV,3.87,4,3.68,5,2,2,4,2
