I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
M,Darmian,MUN,D,-0.19,1,1,1.0,90,90.0,5.2,0.3
A,Adam Smith,BOU,D,-0.2,5,5,1.0,370,74.0,4.9,0.7
B,Martins Indi,STK,D,-0.2,4,4,1.0,226,56.0,5.0,0.0
A,Masuaku,WHU,D,-0.23,1,1,1.0,80,80.0,4.4,0.2
S,Steve Cook,BOU,D,-0.24,3,4,0.8,360,90.0,4.9,0.5
J,Ward,CRY,D,-0.24,4,5,0.8,450,90.0,4.9,0.3
L,Rosenior,BHA,D,-0.25,3,3,1.0,163,54.0,4.0,3.2
K,Wimmer,STK,D,-0.34,1,2,0.5,180,90.0,4.4,0.6
T,Alexander-Arnold,LIV,D,-0.38,1,3,0.3,270,90.0,4.5,2.1
A,Ogbonna,WHU,D,-0.39,1,3,0.3,270,90.0,4.4,0.9
C,Martina,EVE,D,-0.4,1,3,0.3,225,75.0,4.3,0.4
