team,7~11_avg,7,8~12_avg,8,9,10,11,12
ARS,1.81,1,2.71,2,4,2,4,4
SOU,2.0,2,2.06,2,2,2,2,4
LEI,2.06,2,2.19,2,2,3,2,4
SWA,2.1,2,2.23,2,2,4,1,3
WHU,2.19,2,2.39,3,1,2,4,2
EVE,2.32,2,2.65,2,4,3,2,2
TOT,2.39,2,2.84,2,4,4,2,4
STK,2.52,2,3.03,4,2,2,2,2
WBA,2.52,2,3.1,3,3,4,2,4
BOU,2.65,2,3.29,4,2,4,2,2
MUN,2.74,2,3.48,4,2,4,5,2
LIV,2.77,2,3.55,4,4,2,2,2
WAT,2.97,2,3.94,4,5,2,4,2
CHE,3.1,4,2.13,2,2,2,4,2
BHA,3.29,4,2.52,3,2,2,2,2
BUR,3.32,4,2.58,2,4,2,3,2
NEW,3.35,4,2.71,3,2,3,2,4
HUD,3.42,4,2.77,2,4,4,2,2
MCI,3.61,5,2.16,2,2,2,4,3
CRY,3.61,4,3.19,4,2,2,4,3
