W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092821
 ,A,Barnes          ,BUR ,F,0.14 ,-0.18,2.8,1.0 ,4.7 ,149,5.7  ,0.6 ,8779   ,26 ,      
 ,J,Gudmundsson     ,BUR ,M,0.31 ,0.42 ,3.8,4.5 ,3.3 ,374,5.9  ,0.9 ,7890   ,15 ,      
 ,P,Cech            ,ARS ,G,0.36 ,0.36 ,3.8,3.8 ,4.7 ,540,5.0  ,2.4 ,7816   ,6  ,      
 ,A,Yarmolenko      ,WHU ,M,0.18 ,0.88 ,3.2,8.0 ,5.7 ,277,6.8  ,1.0 ,7188   ,13 ,      
 ,J,Matip           ,LIV ,D,0.51 ,2.65 ,4.5,15.0,5.7 ,93 ,4.9  ,0.2 ,6848   ,60 ,      
 ,D,Rose            ,TOT ,D,0.25 ,0.39 ,3.5,4.3 ,3.0 ,262,5.9  ,1.1 ,6648   ,11 ,      
 ,N,Otamendi        ,MCI ,D,0.66 ,0.66 ,6.0,6.0 ,4.0 ,180,6.1  ,3.3 ,6284   ,3  ,      
 ,P,Obiang          ,WHU ,M,0.3  ,0.57 ,3.3,4.5 ,3.3 ,206,4.4  ,1.1 ,6227   ,10 ,      
 ,F,Fred            ,MUN ,M,0.35 ,0.35 ,4.0,4.0 ,3.3 ,317,5.7  ,2.2 ,6115   ,5  ,      
 ,L,Shaw            ,MUN ,D,0.47 ,0.47 ,4.4,4.4 ,2.0 ,450,5.1  ,10.4,5806   ,1  ,      
 ,J,Jonny           ,WOL ,D,0.34 ,0.34 ,3.5,3.5 ,5.7 ,519,4.4  ,0.8 ,5420   ,12 ,      
 ,S,Mustafi         ,ARS ,D,0.22 ,0.22 ,3.2,3.2 ,5.3 ,540,5.4  ,1.4 ,4257   ,5  ,      
 ,G,Xhaka           ,ARS ,M,0.23 ,0.34 ,3.2,3.8 ,5.3 ,474,5.3  ,3.2 ,4230   ,2  ,      
 ,M,Sakho           ,CRY ,D,0.46 ,0.46 ,4.3,4.3 ,5.0 ,540,5.0  ,1.8 ,4116   ,4  ,      
 ,M,Bettinelli      ,FUL ,G,0.3  ,0.27 ,3.3,3.2 ,4.3 ,360,4.4  ,0.6 ,3610   ,11 ,      
 ,L,Vietto          ,FUL ,F,0.4  ,0.55 ,4.2,5.0 ,3.7 ,340,5.5  ,0.8 ,2744   ,6  ,      
 ,N,Mendy           ,LEI ,M,0.13 ,0.13 ,2.6,2.6 ,2.7 ,450,4.5  ,1.0 ,2720   ,5  ,      
 ,D,Yedlin          ,NEW ,D,0.27 ,0.27 ,3.2,3.2 ,4.3 ,450,4.5  ,1.1 ,2653   ,4  ,      
 ,C,Taylor          ,BUR ,D,-0.05,0.05 ,1.8,2.2 ,2.7 ,360,4.4  ,0.3 ,2593   ,15 ,      
 ,A,Westwood        ,BUR ,M,0.11 ,0.18 ,2.5,2.8 ,2.7 ,461,4.5  ,1.8 ,2147   ,2  ,      
 ,M,Özil            ,ARS ,M,0.22 ,0.22 ,3.8,3.8 ,5.0 ,420,8.3  ,3.0 ,2046   ,1  ,      
 ,C,Smalling        ,MUN ,D,0.52 ,0.52 ,5.0,5.0 ,6.3 ,360,5.8  ,2.3 ,1884   ,1  ,      
 ,H,Costa           ,WOL ,M,0.04 ,0.08 ,2.2,2.4 ,2.7 ,396,4.9  ,0.6 ,1833   ,5  ,      
 ,F,Balbuena        ,WHU ,D,0.05 ,0.05 ,2.2,2.2 ,4.0 ,540,4.4  ,0.3 ,1751   ,10 ,      
 ,C,Cathcart        ,WAT ,D,0.44 ,0.44 ,4.0,4.0 ,4.7 ,537,4.5  ,1.1 ,1577   ,3  ,      
 ,G,Wijnaldum       ,LIV ,M,0.33 ,0.33 ,3.8,3.8 ,4.7 ,519,5.5  ,1.0 ,1528   ,3  ,      
 ,M,Fellaini        ,MUN ,M,0.14 ,0.26 ,2.7,3.3 ,3.3 ,335,5.0  ,1.0 ,1419   ,2  ,      
