W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092821
 ,M,Zanka           ,HUD ,D,0.27 ,0.27 ,3.2,3.2 ,3.0 ,437,4.5  ,4.4 ,-4640  ,-2 ,      
 ,D,Yedlin          ,NEW ,D,0.27 ,0.27 ,3.2,3.2 ,4.3 ,450,4.5  ,1.1 ,2653   ,4  ,      
 ,C,Coady           ,WOL ,D,0.27 ,0.27 ,3.2,3.2 ,5.3 ,540,4.5  ,0.5 ,939    ,3  ,      
 ,N,Aké             ,BOU ,D,0.26 ,0.26 ,3.3,3.3 ,0.7 ,540,5.0  ,4.5 ,-9903  ,-4 ,      
 ,D,Janmaat         ,WAT ,D,0.26 ,0.26 ,3.3,3.3 ,1.7 ,521,5.0  ,0.6 ,-3514  ,-10,      
 ,F,Fernández       ,NEW ,D,0.23 ,0.23 ,3.0,3.0 ,4.0 ,360,4.4  ,0.2 ,834    ,7  ,      
 ,S,Mustafi         ,ARS ,D,0.22 ,0.22 ,3.2,3.2 ,5.3 ,540,5.4  ,1.4 ,4257   ,5  ,      
 ,M,Lowton          ,BUR ,D,0.21 ,0.21 ,3.0,3.0 ,1.7 ,360,4.8  ,0.5 ,116    ,0  ,      
 ,R,Bennett         ,WOL ,D,0.2  ,0.2  ,2.8,2.8 ,4.3 ,540,4.1  ,10.9,28108  ,5  ,      
 ,H,Maguire         ,LEI ,D,0.18 ,0.18 ,3.0,3.0 ,0.7 ,540,5.5  ,14.1,-27345 ,-3 ,      
 ,C,Daniels         ,BOU ,D,0.16 ,0.16 ,2.7,2.7 ,0.0 ,270,4.3  ,6.6 ,-48162 ,-13,      
o,A,Adam Smith      ,BOU ,D,0.16 ,0.16 ,2.7,2.7 ,3.3 ,486,4.5  ,0.8 ,-332   ,-1 ,      
 ,P,Dummett         ,NEW ,D,0.16 ,0.16 ,2.7,2.7 ,2.7 ,540,4.5  ,0.2 ,107    ,1  ,      
 ,J,Vestergaard     ,SOU ,D,0.16 ,0.16 ,2.8,2.8 ,2.3 ,450,4.9  ,0.4 ,-1031  ,-5 ,      
 ,P,Zabaleta        ,WHU ,D,0.16 ,0.16 ,2.7,2.7 ,2.7 ,270,4.3  ,1.9 ,371    ,0  ,      
 ,V,Lindelöf        ,MUN ,D,0.06 ,0.12 ,2.3,2.6 ,3.3 ,482,4.9  ,1.1 ,-745   ,-1 ,      
 ,C,Cédric          ,SOU ,D,0.11 ,0.11 ,2.5,2.5 ,4.3 ,505,4.4  ,5.4 ,-10627 ,-3 ,      
 ,C,Kabasele        ,WAT ,D,0.11 ,0.11 ,2.5,2.5 ,1.7 ,540,4.5  ,0.6 ,-1773  ,-5 ,      
 ,H,Bellerín        ,ARS ,D,0.09 ,0.09 ,2.5,2.5 ,2.7 ,540,5.4  ,10.3,-3993  ,-1 ,      
 ,A,Valencia        ,MUN ,D,0.08 ,0.08 ,2.5,2.5 ,3.3 ,360,6.5  ,0.8 ,248    ,1  ,      
 ,B,Ecuele Manga    ,CAR ,D,0.07 ,0.07 ,2.3,2.3 ,0.3 ,540,4.5  ,0.1 ,-318   ,-6 ,      
 ,T,Alderweireld    ,TOT ,D,0.07 ,0.07 ,2.4,2.4 ,1.3 ,440,5.9  ,2.6 ,3      ,0  ,      
 ,B,Chilwell        ,LEI ,D,0.06 ,0.06 ,2.3,2.3 ,1.0 ,540,5.0  ,0.8 ,-462   ,-1 ,      
 ,C,Taylor          ,BUR ,D,-0.05,0.05 ,1.8,2.2 ,2.7 ,360,4.4  ,0.3 ,2593   ,15 ,      
 ,F,Balbuena        ,WHU ,D,0.05 ,0.05 ,2.2,2.2 ,4.0 ,540,4.4  ,0.3 ,1751   ,10 ,      
 ,C,Clark           ,NEW ,D,0.22 ,0.04 ,3.0,2.2 ,2.3 ,395,4.5  ,0.3 ,-1007  ,-6 ,      
 ,W,Hoedt           ,SOU ,D,0.04 ,0.04 ,2.2,2.2 ,2.0 ,540,4.5  ,0.3 ,-1114  ,-7 ,      
 ,C,Schindler       ,HUD ,D,0.0  ,0.0  ,2.0,2.0 ,1.7 ,540,4.4  ,2.0 ,-5273  ,-5 ,      
 ,I,Diop            ,WHU ,D,0.0  ,0.0  ,2.0,2.0 ,3.3 ,360,4.3  ,0.5 ,1000   ,4  ,      
 ,F,Hadergjonaj     ,HUD ,D,-0.04,-0.04,1.8,1.8 ,1.0 ,435,4.5  ,0.1 ,-279   ,-5 ,      
 ,C,Löwe            ,HUD ,D,-0.05,-0.05,1.8,1.8 ,3.0 ,430,4.4  ,0.1 ,-261   ,-5 ,      
 ,B,Davies          ,TOT ,D,-0.09,-0.05,1.5,1.7 ,0.3 ,276,5.7  ,2.9 ,-20799 ,-13,      
 ,S,Coleman         ,EVE ,D,-0.09,-0.09,1.5,1.5 ,0.7 ,360,5.3  ,0.9 ,-6660  ,-13,      
 ,L,Baines          ,EVE ,D,-0.13,-0.13,1.3,1.3 ,0.3 ,284,5.3  ,1.0 ,-5047  ,-9 ,      
 ,K,Zouma           ,EVE ,D,-0.14,-0.14,1.3,1.3 ,1.3 ,271,5.0  ,0.1 ,182    ,3  ,      
 ,C,Chambers        ,FUL ,D,-0.18,-0.16,1.2,1.3 ,1.0 ,291,4.4  ,1.1 ,-2256  ,-4 ,      
 ,G,Bong            ,BHA ,D,-0.18,-0.18,1.2,1.2 ,1.0 ,514,4.5  ,0.2 ,-231   ,-2 ,      
 ,M,Montoya         ,BHA ,D,-0.18,-0.18,1.2,1.2 ,1.0 ,450,4.5  ,0.2 ,-348   ,-3 ,      
 ,M,Holgate         ,EVE ,D,-0.22,-0.18,1.0,1.2 ,0.7 ,407,4.5  ,0.2 ,-971   ,-9 ,      
 ,T,Kongolo         ,HUD ,D,-0.18,-0.18,1.2,1.2 ,1.3 ,521,4.4  ,0.2 ,-528   ,-5 ,      
 ,S,Sokratis        ,ARS ,D,-0.23,-0.19,0.8,1.0 ,1.0 ,488,5.3  ,1.4 ,-7955  ,-10,      
 ,D,Odoi            ,FUL ,D,-0.22,-0.22,1.0,1.0 ,1.0 ,315,4.5  ,0.1 ,-290   ,-5 ,      
 ,T,Fosu-Mensah     ,FUL ,D,-0.22,-0.22,1.0,1.0 ,0.7 ,360,4.5  ,0.6 ,-1007  ,-3 ,      
 ,L,Dunk            ,BHA ,D,-0.23,-0.23,1.0,1.0 ,1.0 ,379,4.4  ,1.4 ,-3134  ,-4 ,      
 ,M,Le Marchand     ,FUL ,D,-0.23,-0.23,1.0,1.0 ,0.0 ,360,4.4  ,0.2 ,-863   ,-8 ,      
 ,R,Fredericks      ,WHU ,D,-0.36,-0.36,0.3,0.3 ,0.3 ,270,4.7  ,0.3 ,-1200  ,-7 ,      
 ,W,Morgan          ,LEI ,D,-0.38,-0.4 ,0.3,0.2 ,-0.7,338,4.5  ,0.9 ,-2079  ,-4 ,      
