O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,032920
,C,Schindler,HUD,D,0.15,0.15,2.7,2.7,2.7,2634,4.7,4.2,-16020,-7,
,R,Bertrand,SOU,D,0.15,0.15,2.8,2.8,3.5,2425,5.3,5.1,-2816,-1,
,R,Shawcross,STK,D,0.13,0.15,2.6,2.7,0.0,1741,4.8,0.9,-928,-2,
,P,van Aanholt,CRY,D,0.04,0.14,2.2,2.7,6.7,1561,5.1,1.8,-1852,-2,
,B,Chilwell,LEI,D,0.09,0.14,2.4,2.6,3.5,1398,4.3,1.4,10054,12,
,M,Olsson,SWA,D,0.14,0.14,2.7,2.7,3.5,2484,5.0,0.3,-83,0,
,A,Williams,EVE,D,0.06,0.13,2.3,2.7,-0.7,1830,5.2,2.2,-2415,-2,
,M,Zanka,HUD,D,0.13,0.13,2.6,2.6,3.0,2790,4.5,7.1,-9968,-2,
,W,Reid,WHU,D,0.1,0.13,2.5,2.6,0.5,1452,4.8,0.6,-218,-1,
,V,van Dijk,LIV,D,0.11,0.12,2.6,2.7,4.3,1623,5.7,7.6,-12708,-3,
,L,Dunk,BHA,D,0.11,0.11,2.5,2.5,4.5,2700,4.5,3.1,1176,1,
,G,Bong,BHA,D,0.11,0.11,2.5,2.5,0.5,1522,4.4,0.1,-195,-3,
,M,Keane,EVE,D,0.06,0.11,2.3,2.6,3.0,1929,5.3,5.0,-3360,-1,
,K,Zouma,STK,D,0.11,0.11,2.6,2.6,3.0,2495,5.4,2.2,-4707,-4,
,C,Kabasele,WAT,D,0.09,0.11,2.4,2.5,0.0,2039,4.4,0.6,-1418,-4,
,A,Mariappa,WAT,D,0.02,0.1,2.1,2.4,2.0,1659,4.2,5.7,1350,0,
,K,Gibbs,WBA,D,0.08,0.1,2.4,2.5,1.0,2256,5.0,0.4,-593,-3,
,A,Nyom,WBA,D,0.06,0.1,2.3,2.5,0.3,1676,4.8,1.1,-301,0,
,D,Yedlin,NEW,D,0.07,0.09,2.3,2.4,3.5,2189,4.4,0.8,951,2,
,E,Pieters,STK,D,0.09,0.09,2.4,2.4,2.0,2087,4.7,0.4,-989,-4,
,W,Hoedt,SOU,D,0.1,0.08,2.5,2.4,4.0,1800,5.0,0.1,30,1,
,J,Manquillo,NEW,D,0.07,0.07,2.3,2.3,0.0,1691,4.3,0.7,-326,-1,
,C,Cédric,SOU,D,0.06,0.06,2.3,2.3,3.5,2074,4.7,3.1,1144,1,
,P,Zabaleta,WHU,D,0.06,0.06,2.3,2.3,0.5,2569,4.9,2.0,-730,-1,
,D,Simpson,LEI,D,0.0,0.05,2.0,2.2,0.5,1934,4.3,2.2,1159,1,
x,A,Ogbonna,WHU,D,0.05,0.05,2.2,2.2,0.5,2160,4.3,3.5,-9357,-5,
,J,Schlupp,CRY,D,0.0,0.04,2.0,2.2,2.0,1733,4.7,0.2,-511,-4,
,P,Jagielka,EVE,D,-0.02,0.02,1.9,2.1,2.3,1444,4.7,2.5,-545,0,
,W,Morgan,LEI,D,0.0,0.02,2.0,2.1,2.0,2187,4.4,2.1,15935,13,
,F,Lejeune,NEW,D,0.0,0.02,2.0,2.1,3.5,1383,4.3,0.2,418,4,
,A,Adam Smith,BOU,D,0.02,0.0,2.1,2.0,1.7,2067,4.8,0.8,-5264,-11,
,S,Dann,CRY,D,-0.02,0.0,1.9,2.0,0.0,1434,4.6,0.3,-77,0,
,T,Fosu-Mensah,CRY,D,-0.02,0.0,1.9,2.0,0.0,1590,4.4,1.1,-865,-1,
,F,Hadergjonaj,HUD,D,-0.02,0.0,1.9,2.0,3.3,1192,4.5,0.1,-706,-12,
,T,Smith,HUD,D,0.0,-0.02,2.0,1.9,0.0,1646,4.7,0.2,-117,-1,
,S,Francis,BOU,D,-0.09,-0.05,1.6,1.8,1.0,2258,4.3,1.6,-6037,-6,
,G,Cameron,STK,D,-0.07,-0.05,1.7,1.8,2.0,1494,4.3,0.3,-482,-3,
