O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,031610
 ,M,Albrighton    ,LEI ,M,0.25 ,0.3  ,3.4,3.7 ,3.7 ,2220,5.6  ,3.1 ,-7474 ,-4 ,      
 ,A,Young         ,MUN ,M,0.33 ,0.35 ,3.6,3.7 ,2.0 ,1950,4.9  ,1.8 ,-2706 ,-3 ,      
 ,M,Ritchie       ,NEW ,M,0.28 ,0.31 ,3.5,3.7 ,3.0 ,2195,5.4  ,1.8 ,641   ,1  ,      
 ,T,Bakayoko      ,CHE ,M,0.14 ,0.33 ,2.7,3.6 ,0.3 ,1761,4.9  ,1.3 ,-1147 ,-2 ,      
 ,W,Zaha          ,CRY ,M,0.24 ,0.24 ,3.6,3.6 ,1.3 ,1831,6.8  ,5.7 ,39877 ,12 ,      
 ,L,Milivojevic   ,CRY ,M,0.29 ,0.33 ,3.4,3.6 ,2.0 ,2359,4.9  ,7.5 ,6765  ,2  ,      
 ,A,Mooy          ,HUD ,M,0.28 ,0.3  ,3.5,3.6 ,1.0 ,2346,5.3  ,5.9 ,20049 ,6  ,      
 ,C,Atsu          ,NEW ,M,0.19 ,0.33 ,2.9,3.6 ,1.3 ,1727,4.8  ,1.6 ,-3179 ,-3 ,      
 ,A,André Ayew    ,SWA ,M,0.1  ,0.22 ,2.7,3.5 ,4.0 ,1120,6.8  ,1.0 ,-643  ,-1 ,      
 ,J,Gudmundsson   ,BUR ,M,0.25 ,0.27 ,3.3,3.4 ,4.3 ,2304,5.1  ,1.5 ,-1566 ,-2 ,      
 ,A,Townsend      ,CRY ,M,0.23 ,0.25 ,3.3,3.4 ,3.7 ,2414,5.6  ,1.7 ,9082  ,9  ,      
 ,F,Fernandinho   ,MCI ,M,0.26 ,0.28 ,3.3,3.4 ,1.0 ,2340,5.0  ,4.5 ,-7100 ,-3 ,      
 ,V,Iborra        ,LEI ,M,0.18 ,0.23 ,3.0,3.3 ,3.3 ,1145,5.7  ,0.1 ,319   ,5  ,      
 ,A,Knockaert     ,BHA ,M,0.15 ,0.22 ,2.8,3.2 ,3.3 ,1920,5.5  ,0.6 ,-1640 ,-5 ,      
