O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf,031610
 ,B,Mee             ,BUR ,D,0.22 ,0.22 ,3.1,3.1 ,3.3 ,2520,4.9  ,13.8,-4132 ,-1,      
 ,C,Dawson          ,WBA ,D,0.21 ,0.21 ,3.0,3.0 ,3.0 ,1790,4.8  ,1.8 ,927   ,1 ,      
 ,J,Tomkins         ,CRY ,D,0.18 ,0.2  ,2.8,2.9 ,3.3 ,1756,4.4  ,3.0 ,5478  ,3 ,      
 ,J,Stephens        ,SOU ,D,0.2  ,0.2  ,2.9,2.9 ,2.7 ,1620,4.5  ,0.8 ,-2998 ,-6,      
 ,M,Bauer           ,STK ,D,0.2  ,0.2  ,2.9,2.9 ,3.0 ,720 ,4.5  ,0.9 ,2092  ,4 ,      
 ,J,Kenny           ,EVE ,D,0.14 ,0.19 ,2.6,2.8 ,0.7 ,1589,4.2  ,2.9 ,-5790 ,-3,      
 ,C,Fuchs           ,LEI ,D,0.13 ,0.19 ,2.6,2.9 ,1.0 ,1642,4.8  ,2.0 ,-1635 ,-1,      
 ,S,Prödl           ,WAT ,D,0.05 ,0.19 ,2.2,2.8 ,4.3 ,1233,4.3  ,0.3 ,144   ,1 ,      
 ,J,Holebas         ,WAT ,D,0.17 ,0.19 ,2.8,2.9 ,5.0 ,1751,4.8  ,0.8 ,2260  ,5 ,      
 ,D,Janmaat         ,WAT ,D,0.21 ,0.19 ,3.0,2.9 ,4.0 ,1374,4.8  ,0.7 ,-59   ,0 ,      
 ,A,Hegazi          ,WBA ,D,0.19 ,0.19 ,2.9,2.9 ,1.0 ,2666,4.7  ,21.0,-7429 ,-1,      
 ,N,Aké             ,BOU ,D,0.16 ,0.18 ,2.8,2.9 ,2.0 ,2632,5.1  ,9.4 ,45211 ,8 ,      
 ,C,Martina         ,EVE ,D,0.14 ,0.18 ,2.6,2.8 ,1.0 ,1830,4.4  ,2.4 ,-4385 ,-3,      
 ,C,Daniels         ,BOU ,D,0.15 ,0.17 ,2.7,2.8 ,1.0 ,2298,4.7  ,8.6 ,15205 ,3 ,      
 ,S,Duffy           ,BHA ,D,0.17 ,0.17 ,2.8,2.8 ,3.0 ,2592,4.6  ,3.2 ,-4251 ,-2,      
 ,C,Schindler       ,HUD ,D,0.17 ,0.17 ,2.8,2.8 ,3.3 ,2544,4.7  ,5.9 ,31072 ,9 ,      
 ,R,Shawcross       ,STK ,D,0.15 ,0.17 ,2.7,2.8 ,0.0 ,1651,4.8  ,0.9 ,261   ,0 ,      
 ,M,Zanka           ,HUD ,D,0.16 ,0.16 ,2.7,2.7 ,3.3 ,2700,4.5  ,7.9 ,23138 ,5 ,      
 ,J,Evans           ,WBA ,D,0.14 ,0.16 ,2.7,2.8 ,0.7 ,2083,4.9  ,1.1 ,-2504 ,-4,      
 ,S,Steve Cook      ,BOU ,D,0.09 ,0.15 ,2.4,2.7 ,1.0 ,2044,4.6  ,1.3 ,3578  ,5 ,      
 ,R,Bertrand        ,SOU ,D,0.15 ,0.15 ,2.8,2.8 ,3.0 ,2425,5.3  ,5.2 ,-2101 ,-1,      
 ,B,Chilwell        ,LEI ,D,0.09 ,0.14 ,2.4,2.6 ,3.0 ,1398,4.3  ,1.2 ,-246  ,0 ,      
 ,M,Olsson          ,SWA ,D,0.14 ,0.14 ,2.7,2.7 ,2.3 ,2484,5.0  ,0.3 ,-10   ,0 ,      
 ,A,Williams        ,EVE ,D,0.06 ,0.13 ,2.3,2.7 ,0.0 ,1830,5.2  ,2.2 ,-3075 ,-2,      
 ,K,Zouma           ,STK ,D,0.13 ,0.13 ,2.7,2.7 ,3.3 ,2405,5.4  ,3.4 ,9704  ,5 ,      
 ,A,Nyom            ,WBA ,D,0.06 ,0.13 ,2.3,2.6 ,0.0 ,1586,4.8  ,1.1 ,-177  ,0 ,      
 ,W,Reid            ,WHU ,D,0.1  ,0.13 ,2.5,2.6 ,0.3 ,1452,4.8  ,0.6 ,-297  ,-1,      
 ,A,Mariappa        ,WAT ,D,0.07 ,0.12 ,2.3,2.5 ,4.7 ,1569,4.2  ,5.6 ,491   ,0 ,      
 ,L,Dunk            ,BHA ,D,0.11 ,0.11 ,2.5,2.5 ,3.0 ,2700,4.5  ,2.9 ,-3928 ,-2,      
 ,G,Bong            ,BHA ,D,0.11 ,0.11 ,2.5,2.5 ,1.0 ,1522,4.4  ,0.1 ,-354  ,-6,      
 ,M,Keane           ,EVE ,D,0.08 ,0.11 ,2.4,2.6 ,3.0 ,1839,5.3  ,5.4 ,5406  ,2 ,      
 ,C,Kabasele        ,WAT ,D,0.09 ,0.11 ,2.4,2.5 ,0.0 ,2039,4.4  ,0.6 ,-1554 ,-4,      
 ,K,Gibbs           ,WBA ,D,0.1  ,0.1  ,2.5,2.5 ,1.0 ,2166,5.0  ,0.5 ,1051  ,4 ,      
 ,V,van Dijk        ,LIV ,D,0.07 ,0.09 ,2.4,2.5 ,3.0 ,1533,5.7  ,7.7 ,16187 ,4 ,      
 ,D,Yedlin          ,NEW ,D,0.07 ,0.09 ,2.3,2.4 ,2.3 ,2189,4.4  ,0.7 ,-191  ,0 ,      
 ,E,Pieters         ,STK ,D,0.09 ,0.09 ,2.4,2.4 ,2.0 ,2087,4.7  ,0.5 ,1000  ,3 ,      
 ,P,van Aanholt     ,CRY ,D,0.0  ,0.08 ,2.0,2.4 ,5.0 ,1471,5.1  ,2.8 ,23349 ,14,      
 ,W,Hoedt           ,SOU ,D,0.1  ,0.08 ,2.5,2.4 ,3.3 ,1800,5.0  ,0.1 ,-351  ,-6,      
 ,J,Manquillo       ,NEW ,D,0.07 ,0.07 ,2.3,2.3 ,0.3 ,1691,4.3  ,0.7 ,-537  ,-1,      
 ,C,Cédric          ,SOU ,D,0.06 ,0.06 ,2.3,2.3 ,3.0 ,2074,4.7  ,3.1 ,-1181 ,-1,      
 ,P,Zabaleta        ,WHU ,D,0.06 ,0.06 ,2.3,2.3 ,0.3 ,2569,4.9  ,2.0 ,-2207 ,-2,      
 ,D,Simpson         ,LEI ,D,0.0  ,0.05 ,2.0,2.2 ,1.0 ,1934,4.3  ,2.2 ,-1351 ,-1,      
x,A,Ogbonna         ,WHU ,D,0.05 ,0.05 ,2.2,2.2 ,0.3 ,2160,4.3  ,3.5 ,-9607 ,-5,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.04 ,2.1,2.2 ,1.7 ,1713,4.7  ,0.3 ,875   ,5 ,      
 ,A,Adam Smith      ,BOU ,D,0.04 ,0.02 ,2.2,2.1 ,4.0 ,2011,4.8  ,1.1 ,9589  ,15,      
 ,P,Jagielka        ,EVE ,D,0.0  ,0.02 ,2.0,2.1 ,2.0 ,1354,4.7  ,2.5 ,1316  ,1 ,      
 ,F,Hadergjonaj     ,HUD ,D,0.0  ,0.02 ,2.0,2.1 ,3.0 ,1102,4.5  ,0.3 ,4057  ,23,      
 ,W,Morgan          ,LEI ,D,0.0  ,0.02 ,2.0,2.1 ,2.0 ,2187,4.4  ,1.8 ,-309  ,0 ,      
 ,F,Lejeune         ,NEW ,D,0.0  ,0.02 ,2.0,2.1 ,2.7 ,1383,4.3  ,0.2 ,384   ,3 ,      
 ,S,Dann            ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.0 ,1434,4.6  ,0.3 ,-93   ,-1,      
 ,T,Fosu-Mensah     ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.7 ,1590,4.4  ,1.1 ,-338  ,-1,      
 ,T,Smith           ,HUD ,D,0.0  ,-0.02,2.0,1.9 ,0.3 ,1646,4.7  ,0.2 ,73    ,1 ,      
 ,S,Francis         ,BOU ,D,-0.09,-0.05,1.6,1.8 ,1.0 ,2242,4.3  ,1.6 ,3150  ,3 ,      
 ,G,Cameron         ,STK ,D,-0.07,-0.05,1.7,1.8 ,2.7 ,1494,4.3  ,0.3 ,427   ,2 ,      
 ,B,Martins Indi    ,STK ,D,-0.14,-0.06,1.3,1.7 ,3.0 ,831 ,4.9  ,0.1 ,266   ,5 ,      
