O,I,web_name        ,team,T,VA/M ,pt ,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,W,Bony            ,SWA ,F,0.02 ,17 ,8 ,2.1,483 ,60 ,5.7  ,0.2 ,3395     ,       
 ,V,Lindelöf        ,MUN ,D,0.06 ,14 ,6 ,2.3,428 ,71 ,4.9  ,1.2 ,3356     ,       
 ,C,Mbemba          ,NEW ,D,0.1  ,17 ,7 ,2.4,588 ,84 ,4.0  ,11.3,3200     ,       
 ,M,Albrighton      ,LEI ,M,0.16 ,44 ,15,2.9,1031,69 ,5.5  ,1.7 ,2944     ,       
 ,H,Gomes           ,WAT ,G,0.27 ,48 ,15,3.2,1318,88 ,4.5  ,2.3 ,2939     ,       
 ,L,Koscielny       ,ARS ,D,0.3  ,46 ,12,3.8,1074,90 ,6.0  ,1.2 ,2665     ,       
 ,B,Chilwell        ,LEI ,D,0.16 ,19 ,7 ,2.7,478 ,68 ,4.3  ,0.4 ,2616     ,       
 ,M,Ryan            ,BHA ,G,0.38 ,55 ,15,3.7,1350,90 ,4.5  ,1.0 ,1861     ,       
 ,J,Pickford        ,EVE ,G,0.29 ,51 ,15,3.4,1350,90 ,4.8  ,6.1 ,1825     ,       
 ,A,Doucouré        ,WAT ,M,0.46 ,67 ,15,4.5,1350,90 ,5.4  ,15.9,1736     ,       
 ,L,Dunk            ,BHA ,D,0.07 ,34 ,15,2.3,1350,90 ,4.4  ,2.6 ,1672     ,       
 ,J,Ward            ,CRY ,D,-0.02,27 ,14,1.9,1214,87 ,4.8  ,0.3 ,1570     ,       
 ,A,Williams        ,EVE ,D,0.15 ,33 ,12,2.8,933 ,78 ,5.2  ,2.3 ,1489     ,       
 ,T,Courtois        ,CHE ,G,0.42 ,64 ,15,4.3,1350,90 ,5.5  ,14.3,1372     ,       
 ,J,Schlupp         ,CRY ,D,0.0  ,26 ,13,2.0,1047,81 ,4.7  ,0.2 ,1243     ,       
 ,D,Lovren          ,LIV ,D,0.13 ,30 ,11,2.7,755 ,69 ,5.3  ,0.8 ,1091     ,       
 ,A,Begovic         ,BOU ,G,0.33 ,53 ,15,3.5,1350,90 ,4.5  ,4.8 ,987      ,       
 ,A,Ogbonna         ,WHU ,D,-0.16,13 ,10,1.3,900 ,90 ,4.3  ,0.7 ,987      ,       
 ,T,Alexander-Arnold,LIV ,D,0.0  ,10 ,5 ,2.0,450 ,90 ,4.2  ,1.1 ,850      ,       
 ,K,Gibbs           ,WBA ,D,0.06 ,28 ,12,2.3,1006,84 ,5.0  ,0.4 ,771      ,       
 ,R,Fraser          ,BOU ,M,0.14 ,19 ,7 ,2.7,381 ,54 ,5.1  ,0.3 ,757      ,       
 ,C,Benteke         ,CRY ,F,-0.07,15 ,10,1.5,761 ,76 ,7.6  ,2.1 ,675      ,       
 ,C,Martina         ,EVE ,D,0.09 ,17 ,7 ,2.4,570 ,81 ,4.3  ,0.4 ,634      ,       
 ,M,Suttner         ,BHA ,D,0.3  ,26 ,8 ,3.3,720 ,90 ,4.3  ,0.5 ,607      ,       
 ,J,Evans           ,WBA ,D,0.02 ,25 ,12,2.1,1021,85 ,4.9  ,0.7 ,602      ,       
 ,A,Sánchez         ,ARS ,M,0.24 ,57 ,12,4.8,884 ,74 ,11.8 ,2.8 ,595      ,       
 ,J,Cork            ,BUR ,M,0.2  ,43 ,15,2.9,1350,90 ,4.6  ,3.8 ,568      ,       
 ,J,Gudmundsson     ,BUR ,M,0.14 ,38 ,14,2.7,974 ,70 ,5.0  ,0.2 ,553      ,       
 ,N,Aké             ,BOU ,D,0.2  ,45 ,15,3.0,1342,89 ,4.9  ,4.2 ,500      ,       
 ,B,Bruno           ,BHA ,D,0.24 ,43 ,14,3.1,1172,84 ,4.5  ,0.7 ,485      ,       
 ,M,Olsson          ,SWA ,D,0.3  ,46 ,13,3.5,1166,90 ,5.0  ,0.3 ,467      ,       
 ,W,Ndidi           ,LEI ,M,0.14 ,40 ,15,2.7,1350,90 ,4.9  ,0.5 ,455      ,       
 ,S,Field           ,WBA ,M,0.44 ,20 ,5 ,4.0,393 ,79 ,4.5  ,0.2 ,382      ,       
 ,M,Dembélé         ,TOT ,M,0.0  ,20 ,10,2.0,609 ,61 ,4.9  ,1.6 ,373      ,       
 ,S,Prödl           ,WAT ,D,0.19 ,14 ,5 ,2.8,365 ,73 ,4.3  ,0.2 ,274      ,       
 ,F,Delph           ,MCI ,M,0.22 ,30 ,10,3.0,830 ,83 ,4.5  ,1.0 ,251      ,       
 ,P,Cech            ,ARS ,G,0.39 ,61 ,15,4.1,1350,90 ,5.4  ,5.2 ,250      ,       
 ,O,Oriol Romeu     ,SOU ,M,0.09 ,33 ,14,2.4,1214,87 ,4.4  ,2.7 ,225      ,       
 ,C,Smalling        ,MUN ,D,0.35 ,39 ,10,3.9,825 ,82 ,5.4  ,3.9 ,208      ,       
 ,T,Cleverley       ,WAT ,M,0.22 ,46 ,15,3.1,1320,88 ,5.0  ,1.1 ,191      ,       
 ,M,van der Hoorn   ,SWA ,D,0.3  ,23 ,7 ,3.3,549 ,78 ,4.4  ,0.1 ,166      ,       
 ,G,Bong            ,BHA ,D,0.09 ,17 ,7 ,2.4,630 ,90 ,4.4  ,0.1 ,98       ,       
 ,A,Masuaku         ,WHU ,D,-0.14,14 ,10,1.4,531 ,53 ,4.4  ,0.3 ,56       ,       
 ,W,Hoedt           ,SOU ,D,0.02 ,17 ,8 ,2.1,720 ,90 ,5.0  ,0.0 ,47       ,       
 ,A,Lennon          ,EVE ,M,0.06 ,16 ,7 ,2.3,380 ,54 ,5.4  ,0.1 ,40       ,       
 ,J,Allen           ,STK ,M,0.12 ,36 ,14,2.6,1253,90 ,5.2  ,1.3 ,33       ,       
 ,S,Malone          ,HUD ,D,0.02 ,17 ,8 ,2.1,449 ,56 ,4.3  ,0.3 ,4        ,       
 ,S,Ki Sung-yueng   ,SWA ,M,-0.08,13 ,8 ,1.6,532 ,66 ,4.9  ,0.0 ,1        ,       
 ,D,Williams        ,HUD ,M,-0.14,14 ,11,1.3,609 ,55 ,4.9  ,0.0 ,0        ,       
 ,M,Antonio         ,WHU ,M,0.09 ,30 ,11,2.7,777 ,71 ,7.4  ,0.2 ,-13      ,       
 ,V,Iborra          ,LEI ,M,0.16 ,26 ,9 ,2.9,732 ,81 ,5.8  ,0.1 ,-21      ,       
 ,S,Boufal          ,SOU ,M,0.09 ,27 ,11,2.5,589 ,54 ,5.7  ,0.2 ,-30      ,       
 ,F,Hadergjonaj     ,HUD ,D,-0.04,9  ,5 ,1.8,292 ,58 ,4.5  ,0.0 ,-30      ,       
 ,D,Gosling         ,BOU ,M,-0.08,11 ,7 ,1.6,367 ,52 ,4.8  ,0.1 ,-32      ,       
 ,J,Hendrick        ,BUR ,M,0.28 ,42 ,12,3.5,953 ,79 ,5.4  ,0.3 ,-34      ,       
 ,S,Francis         ,BOU ,D,-0.02,23 ,12,1.9,982 ,82 ,4.4  ,1.2 ,-36      ,       
 ,A,Carrillo        ,WAT ,M,0.0  ,26 ,13,2.0,653 ,50 ,5.5  ,0.0 ,-36      ,       
 ,J,Stanislas       ,BOU ,M,0.31 ,23 ,6 ,3.8,471 ,78 ,5.9  ,0.1 ,-55      ,       
 ,B,Martins Indi    ,STK ,D,-0.29,5  ,8 ,0.6,488 ,61 ,4.9  ,0.0 ,-68      ,       
 ,D,Pröpper         ,BHA ,M,0.13 ,41 ,15,2.7,1350,90 ,5.4  ,0.1 ,-78      ,       
 ,S,Clucas          ,SWA ,M,0.06 ,23 ,10,2.3,654 ,65 ,4.9  ,0.0 ,-78      ,       
 ,M,Pugh            ,BOU ,M,-0.04,18 ,10,1.8,596 ,60 ,4.8  ,0.1 ,-101     ,       
 ,J,Livermore       ,WBA ,M,0.04 ,31 ,14,2.2,1150,82 ,4.9  ,0.2 ,-108     ,       
 ,R,Richarlison     ,WAT ,M,0.45 ,75 ,15,5.0,1278,85 ,6.6  ,20.4,-108     ,       
 ,L,Depoitre        ,HUD ,F,0.19 ,36 ,12,3.0,902 ,75 ,5.2  ,0.6 ,-110     ,       
 ,E,Fernandes       ,WHU ,M,-0.16,9  ,7 ,1.3,412 ,59 ,4.4  ,0.2 ,-110     ,       
 ,M,Merino          ,NEW ,M,0.06 ,28 ,12,2.3,793 ,66 ,5.0  ,0.1 ,-110     ,       
 ,E,Kachunga        ,HUD ,M,0.07 ,33 ,14,2.4,1057,76 ,5.8  ,0.2 ,-115     ,       
 ,J,Stephens        ,SOU ,D,0.4  ,15 ,4 ,3.8,360 ,90 ,4.5  ,0.2 ,-133     ,       
 ,T,Smith           ,HUD ,D,0.04 ,26 ,12,2.2,1024,85 ,4.8  ,0.3 ,-137     ,       
 ,S,Defour          ,BUR ,M,0.09 ,38 ,15,2.5,1235,82 ,5.4  ,0.3 ,-138     ,       
 ,A,Iwobi           ,ARS ,M,0.18 ,23 ,8 ,2.9,474 ,59 ,5.1  ,0.6 ,-139     ,       
 ,F,Lejeune         ,NEW ,D,-0.14,13 ,9 ,1.4,753 ,84 ,4.4  ,0.2 ,-147     ,       
 ,S,Mignolet        ,LIV ,G,0.29 ,48 ,14,3.4,1260,90 ,4.9  ,1.6 ,-171     ,       
 ,M,Schneiderlin    ,EVE ,M,-0.11,15 ,10,1.5,758 ,76 ,4.7  ,0.5 ,-180     ,       
 ,M,James           ,LEI ,M,0.0  ,8  ,4 ,2.0,338 ,84 ,4.4  ,0.2 ,-184     ,       
 ,M,Lemina          ,SOU ,M,0.0  ,20 ,10,2.0,690 ,69 ,5.0  ,0.1 ,-184     ,       
 ,L,Fer             ,SWA ,M,-0.02,26 ,14,1.9,996 ,71 ,5.3  ,0.2 ,-209     ,       
 ,B,Mendy           ,MCI ,D,0.37 ,17 ,4 ,4.3,298 ,74 ,6.3  ,0.4 ,-211     ,       
 ,D,Stephens        ,BHA ,M,0.11 ,38 ,15,2.5,1350,90 ,4.5  ,1.6 ,-216     ,       
 ,A,Robertson       ,LIV ,D,0.5  ,13 ,3 ,4.3,270 ,90 ,4.6  ,0.8 ,-216     ,       
 ,R,Mesa            ,SWA ,M,-0.09,8  ,5 ,1.6,286 ,57 ,4.3  ,0.6 ,-217     ,       
 ,A,Townsend        ,CRY ,M,0.09 ,38 ,15,2.5,1301,87 ,5.7  ,0.9 ,-218     ,       
 ,M,Noble           ,WHU ,M,-0.02,15 ,8 ,1.9,611 ,76 ,5.3  ,0.1 ,-218     ,       
 ,S,Arfield         ,BUR ,M,0.1  ,20 ,8 ,2.5,555 ,69 ,4.9  ,0.2 ,-242     ,       
 ,M,Arnautovic      ,WHU ,M,-0.12,13 ,11,1.2,589 ,54 ,6.8  ,0.5 ,-245     ,       
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~ ,~ ,~~~,~~~ ,~~~,~~~~~,~   ,-246.69  ,~~~~~~~
 ,I,Hayden          ,NEW ,M,-0.02,26 ,14,1.9,911 ,65 ,4.5  ,0.3 ,-265     ,       
 ,J,King            ,BOU ,F,0.13 ,38 ,13,2.9,1153,89 ,7.0  ,1.5 ,-317     ,       
 ,L,Milivojevic     ,CRY ,M,0.07 ,32 ,14,2.3,1099,78 ,4.6  ,0.4 ,-334     ,       
 ,R,van La Parra    ,HUD ,M,-0.06,22 ,13,1.7,750 ,58 ,4.8  ,0.1 ,-335     ,       
 ,G,Cameron         ,STK ,D,-0.02,13 ,7 ,1.9,563 ,80 ,4.3  ,0.3 ,-335     ,       
 ,T,Davies          ,EVE ,M,-0.08,23 ,14,1.6,727 ,52 ,5.2  ,0.4 ,-336     ,       
 ,P,Billing         ,HUD ,M,-0.07,12 ,7 ,1.7,420 ,60 ,4.5  ,0.3 ,-353     ,       
