team,16~20_avg,16,17~21_avg,17,18,19,20,21
CHE ,2.06     ,2 ,2.13     ,2 ,2 ,3 ,2 ,2 
ARS ,2.13     ,2 ,2.26     ,2 ,2 ,4 ,2 ,2 
LEI ,2.13     ,2 ,2.32     ,2 ,2 ,4 ,2 ,4 
LIV ,2.13     ,2 ,2.26     ,2 ,2 ,4 ,2 ,2 
BUR ,2.19     ,2 ,2.39     ,2 ,2 ,4 ,4 ,2 
CRY ,2.19     ,2 ,2.48     ,2 ,3 ,2 ,4 ,5 
NEW ,2.35     ,2 ,2.71     ,2 ,4 ,2 ,5 ,2 
TOT ,2.45     ,2 ,2.9      ,2 ,5 ,3 ,2 ,2 
HUD ,2.52     ,2 ,3.03     ,4 ,2 ,2 ,2 ,2 
WAT ,2.52     ,3 ,2.0      ,2 ,2 ,2 ,2 ,2 
BHA ,2.58     ,2 ,3.16     ,4 ,2 ,2 ,4 ,2 
WBA ,2.77     ,2 ,3.61     ,4 ,4 ,2 ,2 ,4 
BOU ,2.97     ,2 ,3.94     ,4 ,4 ,5 ,2 ,2 
SWA ,2.97     ,2 ,3.94     ,5 ,3 ,2 ,4 ,2 
EVE ,3.16     ,4 ,2.26     ,2 ,2 ,4 ,2 ,2 
MCI ,3.29     ,4 ,2.52     ,2 ,4 ,2 ,2 ,2 
STK ,3.29     ,4 ,2.58     ,3 ,2 ,2 ,2 ,4 
SOU ,3.35     ,4 ,2.71     ,2 ,4 ,2 ,4 ,4 
WHU ,3.55     ,4 ,3.03     ,4 ,2 ,2 ,2 ,2 
MUN ,3.61     ,5 ,2.13     ,2 ,2 ,3 ,2 ,2 
