W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,011122
 ,D,Lovren          ,LIV ,D,4.9,43 ,0.82 ,0.82 ,6.0,6.0 ,5.6 ,2.8 ,-29870,-17,      
m,T,Alexander-Arnold,LIV ,D,5.2,75 ,0.65 ,0.65 ,5.4,5.4 ,2.8 ,21.9,124931,9  ,      
 ,A,Robertson       ,LIV ,D,6.6,90 ,0.62 ,0.62 ,6.1,6.1 ,4.0 ,33.8,-112  ,0  ,      
m,R,Pereira         ,LEI ,D,5.3,84 ,0.58 ,0.58 ,5.1,5.1 ,6.2 ,11.6,173699,25 ,      
m,M,Alonso          ,CHE ,D,6.7,99 ,0.54 ,0.54 ,5.6,5.6 ,3.6 ,39.2,-64026,-3 ,      
 ,K,Trippier        ,TOT ,D,6.1,72 ,0.51 ,0.54 ,5.1,5.3 ,3.2 ,18.1,-26927,-2 ,      
 ,S,Duffy           ,BHA ,D,4.6,82 ,0.43 ,0.52 ,4.0,4.4 ,3.2 ,4.2 ,10541 ,4  ,      
 ,V,van Dijk        ,LIV ,D,6.4,98 ,0.47 ,0.5  ,5.0,5.2 ,5.2 ,26.7,17892 ,1  ,      
m,D,David Luiz      ,CHE ,D,5.9,95 ,0.47 ,0.47 ,4.8,4.8 ,4.8 ,12.7,42682 ,6  ,      
o,M,Doherty         ,WOL ,D,5.2,98 ,0.42 ,0.42 ,4.2,4.2 ,3.0 ,23.3,-57486,-4 ,      
 ,P,van Aanholt     ,CRY ,D,5.4,98 ,0.37 ,0.41 ,4.0,4.2 ,5.6 ,4.1 ,15261 ,6  ,      
m,L,Digne           ,EVE ,D,5.2,85 ,0.37 ,0.4  ,3.9,4.1 ,4.4 ,13.2,16472 ,2  ,      
o,S,Kolasinac       ,ARS ,D,4.9,46 ,0.39 ,0.39 ,3.9,3.9 ,2.8 ,4.2 ,16409 ,6  ,      
 ,A,Rüdiger         ,CHE ,D,6.0,99 ,0.38 ,0.38 ,4.3,4.3 ,3.6 ,4.8 ,-4955 ,-2 ,      
 ,K,Walker          ,MCI ,D,6.4,72 ,0.31 ,0.38 ,4.0,4.4 ,1.0 ,10.5,-36537,-6 ,      
 ,J,Jonny           ,WOL ,D,4.3,76 ,0.33 ,0.37 ,3.4,3.6 ,2.2 ,2.2 ,6048  ,5  ,      
o,A,Wan-Bissaka     ,CRY ,D,4.5,94 ,0.36 ,0.36 ,3.6,3.6 ,4.6 ,32.7,62618 ,3  ,      
o,M,Keane           ,EVE ,D,4.9,86 ,0.35 ,0.35 ,3.7,3.7 ,1.2 ,3.4 ,-15343,-7 ,      
 ,H,Maguire         ,LEI ,D,5.4,73 ,0.31 ,0.35 ,3.7,3.9 ,3.6 ,9.2 ,3278  ,1  ,      
 ,J,Holebas         ,WAT ,D,4.8,81 ,0.33 ,0.35 ,3.6,3.7 ,3.4 ,12.6,-32428,-4 ,      
 ,C,Azpilicueta     ,CHE ,D,6.3,100,0.33 ,0.33 ,4.1,4.1 ,3.6 ,9.4 ,-7668 ,-1 ,      
 ,B,Chilwell        ,LEI ,D,5.1,95 ,0.29 ,0.31 ,3.5,3.6 ,3.2 ,2.6 ,4182  ,3  ,      
 ,J,Tarkowski       ,BUR ,D,4.7,82 ,0.26 ,0.3  ,3.2,3.4 ,2.8 ,4.5 ,7116  ,3  ,      
 ,T,Alderweireld    ,TOT ,D,6.0,90 ,0.3  ,0.3  ,3.8,3.8 ,4.6 ,4.2 ,-8939 ,-3 ,      
m,S,Bamba           ,CAR ,D,4.5,95 ,0.29 ,0.29 ,3.3,3.3 ,2.6 ,2.3 ,16238 ,12 ,      
 ,M,Sakho           ,CRY ,D,4.9,100,0.29 ,0.29 ,3.4,3.4 ,4.8 ,1.8 ,5988  ,5  ,      
 ,A,Laporte         ,MCI ,D,5.9,95 ,0.27 ,0.29 ,3.6,3.7 ,1.4 ,10.8,-61524,-9 ,      
 ,W,Boly            ,WOL ,D,4.6,100,0.28 ,0.28 ,3.3,3.3 ,3.8 ,5.3 ,-7534 ,-2 ,      
m,C,Cédric          ,SOU ,D,4.2,74 ,0.26 ,0.26 ,3.1,3.1 ,1.2 ,3.6 ,17559 ,8  ,      
~,~,~~~~~~~~        ,~~~~,~,~~ ,~~ ,~~~~ ,0.26 ,~~~,~~~~,~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,P,Dummett         ,NEW ,D,4.4,67 ,0.23 ,0.25 ,3.0,3.1 ,2.6 ,0.2 ,-281  ,-2 ,      
 ,F,Fernández       ,NEW ,D,4.4,67 ,0.18 ,0.25 ,2.8,3.1 ,0.2 ,0.3 ,-2032 ,-11,      
 ,N,Aké             ,BOU ,D,5.0,100,0.24 ,0.24 ,3.2,3.2 ,4.4 ,4.2 ,7535  ,3  ,      
 ,J,Tomkins         ,CRY ,D,4.3,84 ,0.21 ,0.21 ,2.9,2.9 ,3.0 ,2.7 ,8715  ,5  ,      
 ,J,Lascelles       ,NEW ,D,4.7,76 ,0.17 ,0.21 ,2.8,3.0 ,2.6 ,2.9 ,-4958 ,-3 ,      
 ,H,Bellerín        ,ARS ,D,5.4,76 ,0.15 ,0.2  ,2.8,3.1 ,0.0 ,5.8 ,-19920,-6 ,      
 ,L,Dunk            ,BHA ,D,4.5,86 ,0.18 ,0.2  ,2.8,2.9 ,1.0 ,2.9 ,-11313,-6 ,      
 ,M,Zanka           ,HUD ,D,4.4,90 ,0.2  ,0.2  ,2.9,2.9 ,2.6 ,3.3 ,-3167 ,-2 ,      
 ,C,Schindler       ,HUD ,D,4.3,96 ,0.12 ,0.19 ,2.5,2.8 ,0.6 ,2.8 ,-18340,-11,      
 ,F,Balbuena        ,WHU ,D,4.3,78 ,0.14 ,0.19 ,2.6,2.8 ,1.2 ,0.7 ,-14480,-34,      
 ,S,Mustafi         ,ARS ,D,5.4,79 ,0.11 ,0.17 ,2.6,2.9 ,0.0 ,1.0 ,-3999 ,-7 ,      
 ,S,Morrison        ,CAR ,D,4.7,99 ,0.17 ,0.17 ,2.8,2.8 ,2.6 ,0.6 ,3468  ,9  ,      
 ,S,Steve Cook      ,BOU ,D,4.4,100,0.14 ,0.14 ,2.6,2.6 ,1.6 ,6.3 ,-21902,-6 ,      
 ,C,Löwe            ,HUD ,D,4.4,66 ,0.02 ,0.14 ,2.1,2.6 ,0.6 ,0.1 ,-389  ,-6 ,      
 ,W,Morgan          ,LEI ,D,4.5,69 ,0.13 ,0.13 ,2.6,2.6 ,2.0 ,1.0 ,-3212 ,-5 ,      
 ,C,Coady           ,WOL ,D,4.5,100,0.13 ,0.13 ,2.6,2.6 ,3.0 ,0.6 ,-754  ,-2 ,      
 ,K,Zouma           ,EVE ,D,5.0,67 ,0.06 ,0.12 ,2.3,2.6 ,1.2 ,0.2 ,-95   ,-1 ,      
 ,L,Shaw            ,MUN ,D,4.9,75 ,0.12 ,0.12 ,2.6,2.6 ,2.0 ,6.0 ,-2431 ,-1 ,      
 ,P,Zabaleta        ,WHU ,D,4.3,70 ,0.12 ,0.12 ,2.5,2.5 ,1.6 ,2.2 ,-7742 ,-6 ,      
 ,C,Cathcart        ,WAT ,D,4.5,100,0.11 ,0.11 ,2.5,2.5 ,2.2 ,0.9 ,-2282 ,-4 ,      
 ,S,Coleman         ,EVE ,D,5.2,74 ,0.1  ,0.1  ,2.5,2.5 ,0.6 ,1.1 ,-6229 ,-9 ,      
 ,R,Bennett         ,WOL ,D,4.1,95 ,0.12 ,0.1  ,2.5,2.4 ,2.2 ,10.5,-6204 ,-1 ,      
 ,B,Mee             ,BUR ,D,4.7,100,0.09 ,0.09 ,2.4,2.4 ,1.8 ,1.8 ,-2159 ,-2 ,      
 ,B,Ecuele Manga    ,CAR ,D,4.4,100,0.09 ,0.09 ,2.4,2.4 ,2.8 ,0.2 ,2603  ,21 ,      
 ,A,Young           ,MUN ,D,5.7,69 ,0.07 ,0.09 ,2.4,2.5 ,1.0 ,1.7 ,-15261,-15,      
 ,V,Lindelöf        ,MUN ,D,4.8,76 ,0.06 ,0.08 ,2.3,2.4 ,2.8 ,1.4 ,5012  ,6  ,      
 ,D,Rice            ,WHU ,D,4.4,83 ,0.05 ,0.07 ,2.2,2.3 ,2.4 ,0.8 ,-3510 ,-7 ,      
 ,F,Hadergjonaj     ,HUD ,D,4.4,78 ,0.02 ,0.05 ,2.1,2.2 ,1.6 ,0.1 ,-98   ,-2 ,      
 ,T,Kongolo         ,HUD ,D,4.3,79 ,0.02 ,0.05 ,2.1,2.2 ,1.2 ,0.3 ,-685  ,-4 ,      
 ,C,Taylor          ,BUR ,D,4.4,90 ,0.0  ,0.02 ,2.0,2.1 ,2.2 ,0.4 ,1467  ,6  ,      
 ,D,Yedlin          ,NEW ,D,4.5,84 ,0.0  ,0.02 ,2.0,2.1 ,0.6 ,0.9 ,-2899 ,-5 ,      
o,C,Chambers        ,FUL ,D,4.2,56 ,-0.1 ,0.0  ,1.6,2.0 ,2.8 ,0.9 ,195   ,0  ,      
 ,I,Diop            ,WHU ,D,4.3,90 ,0.0  ,0.0  ,2.0,2.0 ,2.2 ,0.9 ,-4503 ,-8 ,      
 ,D,Odoi            ,FUL ,D,4.4,88 ,-0.14,-0.14,1.4,1.4 ,3.0 ,0.1 ,-13   ,0  ,      
