W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,011122
 ,G,Xhaka          ,ARS ,M,5.3 ,92 ,0.19 ,0.23 ,3.0,3.2 ,3.4 ,2.8 ,14179  ,8  ,      
m,V,Camarasa       ,CAR ,M,4.6 ,91 ,0.28 ,0.26 ,3.3,3.2 ,5.0 ,2.9 ,5290   ,3  ,      
 ,J,McArthur       ,CRY ,M,4.8 ,91 ,0.25 ,0.25 ,3.2,3.2 ,2.8 ,2.8 ,5385   ,3  ,      
m,N,Redmond        ,SOU ,M,5.2 ,95 ,0.21 ,0.23 ,3.1,3.2 ,5.8 ,1.1 ,23056  ,34 ,      
 ,G,Wijnaldum      ,LIV ,M,5.5 ,84 ,0.16 ,0.2  ,2.9,3.1 ,1.8 ,1.1 ,-1936  ,-3 ,      
 ,A,Mooy           ,HUD ,M,5.1 ,70 ,0.18 ,0.18 ,2.9,2.9 ,0.0 ,1.1 ,-2887  ,-4 ,      
 ,F,Fabinho        ,LIV ,M,5.5 ,43 ,0.13 ,0.16 ,2.7,2.9 ,4.0 ,0.7 ,692    ,2  ,      
 ,M,Sissoko        ,TOT ,M,4.9 ,67 ,0.12 ,0.18 ,2.6,2.9 ,2.6 ,0.3 ,917    ,5  ,      
 ,R,Neves          ,WOL ,M,4.9 ,87 ,0.16 ,0.18 ,2.8,2.9 ,1.6 ,10.7,-22017 ,-3 ,      
 ,J,Moutinho       ,WOL ,M,5.1 ,86 ,0.16 ,0.18 ,2.8,2.9 ,3.0 ,2.0 ,-4918  ,-4 ,      
 ,J,Seri           ,FUL ,M,5.0 ,83 ,0.1  ,0.16 ,2.5,2.8 ,1.4 ,1.6 ,-4067  ,-4 ,      
 ,M,Ritchie        ,NEW ,M,5.8 ,78 ,0.09 ,0.14 ,2.5,2.8 ,3.2 ,0.4 ,-370   ,-2 ,      
 ,P,Højbjerg       ,SOU ,M,4.4 ,75 ,0.18 ,0.18 ,2.8,2.8 ,2.0 ,2.8 ,-16779 ,-10,      
 ,E,Capoue         ,WAT ,M,4.9 ,81 ,0.16 ,0.16 ,2.8,2.8 ,1.6 ,0.5 ,-1337  ,-4 ,      
 ,J,Jorginho       ,CHE ,M,4.7 ,92 ,0.13 ,0.13 ,2.6,2.6 ,2.4 ,6.5 ,-6644  ,-2 ,      
 ,P,Billing        ,HUD ,M,4.5 ,93 ,0.13 ,0.13 ,2.6,2.6 ,3.2 ,2.0 ,-2842  ,-2 ,      
 ,A,Pritchard      ,HUD ,M,4.8 ,70 ,0.04 ,0.13 ,2.2,2.6 ,2.0 ,0.1 ,-575   ,-9 ,      
 ,W,Ndidi          ,LEI ,M,4.9 ,98 ,0.1  ,0.1  ,2.5,2.5 ,2.2 ,0.7 ,-372   ,-1 ,      
 ,J,Cork           ,BUR ,M,4.6 ,94 ,0.11 ,0.09 ,2.5,2.4 ,2.0 ,0.6 ,184    ,1  ,      
 ,N,Mendy          ,LEI ,M,4.5 ,89 ,0.09 ,0.09 ,2.4,2.4 ,2.2 ,1.2 ,233    ,0  ,      
 ,M,Lemina         ,SOU ,M,4.8 ,78 ,0.04 ,0.08 ,2.2,2.4 ,0.8 ,0.2 ,-339   ,-3 ,      
 ,H,Costa          ,WOL ,M,4.8 ,67 ,0.08 ,0.08 ,2.4,2.4 ,2.6 ,0.5 ,294    ,1  ,      
 ,J,Hogg           ,HUD ,M,4.4 ,66 ,0.02 ,0.05 ,2.1,2.2 ,0.8 ,0.3 ,-712   ,-4 ,      
 ,N,Matic          ,MUN ,M,5.0 ,84 ,0.04 ,0.04 ,2.2,2.2 ,3.6 ,0.8 ,-10    ,0  ,      
 ,M,Diamé          ,NEW ,M,4.8 ,97 ,0.02 ,0.04 ,2.1,2.2 ,2.2 ,0.1 ,-390   ,-6 ,      
 ,D,Pröpper        ,BHA ,M,4.8 ,79 ,0.02 ,0.02 ,2.1,2.1 ,2.2 ,0.1 ,17     ,0  ,      
 ,I,Gueye          ,EVE ,M,4.8 ,80 ,-0.02,0.02 ,1.9,2.1 ,0.8 ,0.3 ,-55    ,0  ,      
 ,J,Lerma          ,BOU ,M,4.5 ,73 ,0.07 ,-0.02,2.3,1.9 ,1.2 ,0.3 ,-932   ,-5 ,      
 ,H,Arter          ,CAR ,M,4.9 ,74 ,-0.04,-0.02,1.8,1.9 ,2.0 ,0.2 ,-56    ,0  ,      
