team,22~26_avg,22,23~27_avg,23,24,25,26,27
TOT,2.19,2,2.45,2,2,4,4,4
BHA,2.26,2,2.52,2,4,2,2,2
SOU,2.26,2,2.58,2,4,2,2,4
WBA,2.32,2,2.71,2,3,5,2,4
NEW,2.45,2,2.97,2,5,3,2,4
CRY,2.52,2,3.06,3,4,2,2,3
MCI,2.55,2,3.13,4,2,2,3,3
LEI,2.58,2,3.26,4,2,3,2,5
BOU,2.65,2,3.29,4,2,4,2,2
HUD,2.74,3,2.45,2,2,4,5,2
MUN,2.77,3,2.52,2,3,4,2,2
STK,2.77,2,3.55,5,2,2,2,2
ARS,3.03,4,2.06,2,2,2,2,4
WHU,3.03,4,2.0,2,2,2,2,2
CHE,3.29,4,2.52,3,2,2,2,2
LIV,3.35,3,3.68,5,2,2,4,2
BUR,3.39,4,2.71,2,4,2,5,2
SWA,3.45,4,2.87,2,4,4,3,3
EVE,3.68,4,3.29,4,2,3,4,2
WAT,3.74,5,2.39,2,3,2,4,2
