team,22~25_avg,22,23~26_avg,23,24~27_avg,24,25,26,27
EVE,2.07,2,2.2,2,2.53,2,3,3,4
CAR,2.27,2,2.53,2,3.13,4,2,2,3
WAT,2.47,2,3.0,2,4.0,5,3,3,2
BUR,2.53,2,3.13,3,3.33,4,2,3,4
FUL,2.53,2,3.2,4,2.33,2,2,4,3
CHE,2.67,2,3.53,4,2.93,3,2,5,2
MCI,2.67,3,2.4,2,2.87,2,4,4,3
LIV,2.73,3,2.4,2,2.93,3,3,2,4
HUD,2.8,2,3.73,4,3.33,3,4,4,2
LEI,2.8,2,3.8,3,4.53,5,4,5,2
SOU,2.8,3,2.53,3,2.13,2,2,2,4
BOU,3.07,3,3.27,3,3.53,4,2,5,3
TOT,3.2,4,2.33,2,2.67,3,2,3,2
ARS,3.27,3,3.47,4,2.8,2,5,2,2
CRY,3.33,3,3.67,5,2.2,2,2,3,3
NEW,3.53,4,3.0,2,4.0,4,5,3,2
WHU,3.6,4,3.07,3,3.07,3,4,2,2
BHA,3.67,4,3.2,4,2.4,2,3,2,4
MUN,3.67,5,2.13,2,2.4,2,3,2,4
WOL,4.07,5,2.93,3,2.87,3,3,2,3
