W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,122820
o,H,Kane,TOT,F,12.6,94,0.31,0.33,5.9,6.2,7.5,32.1,77241,4,
,A,Lacazette,ARS,F,9.5,70,0.29,0.41,4.8,5.9,4.5,7.8,-37010,-8,
,C,Wilson,BOU,F,6.7,88,0.51,0.54,5.4,5.6,3.8,32.0,-66122,-3,
o,P,Aubameyang,ARS,F,11.5,87,0.38,0.3,6.4,5.5,7.7,35.7,-59114,-3,
,J,Chicharito,WHU,F,6.3,42,0.25,0.54,3.6,5.4,5.2,4.6,-66175,-24,
o,D,Ings,SOU,F,5.6,59,0.5,0.54,4.8,5.0,3.8,8.8,27030,5,
,S,Rondón,NEW,F,5.8,53,0.33,0.48,3.9,4.8,4.2,2.9,-9104,-5,
m,R,Jiménez,WOL,F,6.3,90,0.4,0.43,4.5,4.7,4.5,19.9,-27844,-2,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,~~~~~,~~~,4.51,~~~~,~,~~~,~~,~~~~~~
,G,Murray,BHA,F,6.5,71,0.26,0.38,3.7,4.5,2.0,3.3,-9674,-5,
,R,Lukaku,MUN,F,10.7,69,0.17,0.23,3.8,4.5,2.8,4.0,-4874,-2,
,J,King,BOU,F,6.3,77,0.33,0.37,4.1,4.3,2.3,2.7,-7987,-5,
,A,Mitrovic,FUL,F,6.7,97,0.31,0.34,4.1,4.3,2.3,17.8,-10273,-1,
m,M,Rashford,MUN,F,7.2,59,0.21,0.31,3.5,4.2,5.5,19.0,104786,9,
,R,Firmino,LIV,F,9.1,83,0.23,0.23,4.1,4.1,4.0,15.2,-51991,-6,
,T,Deeney,WAT,F,5.8,78,0.17,0.22,3.0,3.3,2.5,3.0,22213,12,
,W,Zaha,CRY,F,6.7,84,0.16,0.16,3.1,3.1,1.7,11.4,-9140,-1,
m,A,Kamara,FUL,F,4.4,36,0.05,0.23,2.2,3.0,3.0,10.5,38072,6,
,A,Pérez,NEW,F,6.1,78,0.13,0.11,2.8,2.7,2.7,1.2,-2750,-4,
