W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%,txn,gf,122313
,J,Cork,BUR,M,0.11,0.11,2.5,2.5,3.3,88,4.6,0.6,827,2,
,W,Ndidi,LEI,M,0.1,0.1,2.5,2.5,1.8,93,4.9,0.8,-1036,-2,
,M,Ritchie,NEW,M,0.05,0.09,2.3,2.5,1.7,71,5.8,0.4,-190,-1,
,N,Mendy,LEI,M,0.09,0.09,2.4,2.4,2.0,82,4.5,1.2,-530,-1,
,M,Lemina,SOU,M,0.06,0.08,2.3,2.4,1.7,79,4.8,0.2,-91,-1,
,H,Costa,WOL,M,0.04,0.08,2.2,2.4,2.0,67,4.8,0.4,-382,-2,
,A,Masuaku,WHU,M,0.02,0.07,2.1,2.3,2.3,68,4.3,2.2,2178,2,
,M,Diamé,NEW,M,0.04,0.04,2.2,2.2,2.2,93,4.9,0.1,-50,-1,
,I,Gueye,EVE,M,0.02,0.02,2.1,2.1,1.5,77,4.8,0.3,-194,-1,
,D,Pröpper,BHA,M,0.0,0.0,2.0,2.0,2.0,72,4.8,0.1,12,0,
,J,Lerma,BOU,M,0.09,-0.02,2.4,1.9,0.8,70,4.5,0.4,-400,-2,
,H,Arter,CAR,M,-0.04,-0.02,1.8,1.9,2.2,72,4.9,0.2,-26,0,
,N,Matic,MUN,M,-0.06,-0.06,1.7,1.7,2.0,77,5.0,0.6,88,0,
