team,20~24_avg,20,21~25_avg,21,22,23,24,25
TOT,2.0,2,2.06,2,2,2,2,4
BOU,2.13,2,2.32,2,2,4,2,4
HUD,2.13,2,2.32,2,3,2,2,4
MCI,2.13,2,2.26,2,2,4,2,2
MUN,2.16,2,2.39,2,3,2,3,4
ARS,2.26,2,2.52,2,4,2,2,2
CHE,2.26,2,2.52,2,4,2,2,2
WHU,2.26,2,2.52,2,4,2,2,2
LIV,2.32,2,2.65,2,3,5,2,2
EVE,2.39,2,2.77,2,4,4,2,2
WAT,2.42,2,2.84,2,5,2,3,2
WBA,2.55,2,3.19,4,2,2,3,5
LEI,2.65,2,3.32,4,2,4,2,3
STK,2.65,2,3.29,4,2,4,2,2
BHA,3.1,4,2.13,2,2,2,4,2
BUR,3.35,4,2.65,2,4,2,4,2
SWA,3.35,4,2.71,2,4,2,4,4
SOU,3.61,4,3.16,4,2,2,4,2
NEW,3.65,5,2.19,2,2,2,5,2
CRY,3.87,4,3.68,5,2,2,4,2
