W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,122820
 ,T,Alexander-Arnold,LIV ,D,5.1,72 ,0.78 ,0.78 ,6.0,6.0 ,3.2 ,18.8,66400 ,6  ,      
 ,A,Robertson       ,LIV ,D,6.6,89 ,0.67 ,0.67 ,6.4,6.4 ,5.2 ,35.0,-7727 ,0  ,      
 ,K,Trippier        ,TOT ,D,6.1,69 ,0.54 ,0.59 ,5.3,5.6 ,2.5 ,18.8,-8524 ,-1 ,      
 ,V,van Dijk        ,LIV ,D,6.4,98 ,0.53 ,0.58 ,5.4,5.7 ,7.7 ,26.1,35777 ,2  ,      
m,R,Pereira         ,LEI ,D,5.2,83 ,0.56 ,0.56 ,4.9,4.9 ,4.5 ,8.2 ,94004 ,19 ,      
m,M,Alonso          ,CHE ,D,6.8,99 ,0.51 ,0.51 ,5.5,5.5 ,2.8 ,42.1,-92501,-4 ,      
m,L,Digne           ,EVE ,D,5.1,84 ,0.43 ,0.47 ,4.2,4.4 ,5.5 ,10.2,239547,39 ,      
 ,J,Jonny           ,WOL ,D,4.3,74 ,0.4  ,0.47 ,3.7,4.0 ,1.7 ,1.8 ,3082  ,3  ,      
o,M,Doherty         ,WOL ,D,5.2,98 ,0.46 ,0.46 ,4.4,4.4 ,4.7 ,23.3,-49705,-4 ,      
 ,S,Duffy           ,BHA ,D,4.6,81 ,0.35 ,0.43 ,3.6,4.0 ,1.7 ,4.0 ,-4320 ,-2 ,      
m,D,David Luiz      ,CHE ,D,5.8,95 ,0.41 ,0.41 ,4.4,4.4 ,4.5 ,10.0,-4365 ,-1 ,      
o,S,Kolasinac       ,ARS ,D,5.0,41 ,0.4  ,0.4  ,4.0,4.0 ,2.8 ,4.0 ,-28825,-12,      
m,J,Holebas         ,WAT ,D,4.8,84 ,0.4  ,0.4  ,3.9,3.9 ,3.2 ,13.2,43106 ,5  ,      
o,M,Keane           ,EVE ,D,5.0,84 ,0.38 ,0.38 ,3.9,3.9 ,0.8 ,4.0 ,-15370,-6 ,      
 ,K,Walker          ,MCI ,D,6.5,79 ,0.37 ,0.37 ,4.4,4.4 ,1.0 ,12.1,-46653,-6 ,      
o,A,Wan-Bissaka     ,CRY ,D,4.4,94 ,0.36 ,0.36 ,3.6,3.6 ,3.8 ,31.2,25726 ,1  ,      
 ,A,Rüdiger         ,CHE ,D,6.0,99 ,0.35 ,0.35 ,4.1,4.1 ,3.3 ,4.9 ,-8961 ,-3 ,      
 ,P,van Aanholt     ,CRY ,D,5.4,98 ,0.31 ,0.33 ,3.7,3.8 ,3.8 ,3.8 ,-1937 ,-1 ,      
 ,H,Maguire         ,LEI ,D,5.4,70 ,0.3  ,0.33 ,3.6,3.8 ,1.5 ,9.2 ,6284  ,1  ,      
 ,A,Laporte         ,MCI ,D,6.0,95 ,0.3  ,0.32 ,3.8,3.9 ,1.3 ,13.7,-83476,-10,      
 ,T,Alderweireld    ,TOT ,D,6.0,89 ,0.32 ,0.32 ,3.9,3.9 ,4.0 ,4.3 ,14149 ,5  ,      
 ,C,Azpilicueta     ,CHE ,D,6.3,100,0.3  ,0.3  ,3.9,3.9 ,3.3 ,9.6 ,-10830,-2 ,      
 ,S,Bamba           ,CAR ,D,4.5,95 ,0.29 ,0.29 ,3.3,3.3 ,2.8 ,1.8 ,-614  ,-1 ,      
 ,B,Chilwell        ,LEI ,D,5.1,95 ,0.29 ,0.29 ,3.5,3.5 ,2.8 ,2.6 ,6503  ,4  ,      
 ,J,Tarkowski       ,BUR ,D,4.7,80 ,0.23 ,0.28 ,3.1,3.3 ,3.5 ,4.1 ,-2394 ,-1 ,      
 ,J,Lascelles       ,NEW ,D,4.7,74 ,0.21 ,0.28 ,3.0,3.3 ,2.3 ,3.1 ,-4082 ,-2 ,      
 ,M,Sakho           ,CRY ,D,4.9,100,0.27 ,0.27 ,3.3,3.3 ,4.0 ,1.7 ,1129  ,1  ,      
 ,W,Boly            ,WOL ,D,4.6,100,0.26 ,0.26 ,3.2,3.2 ,2.3 ,4.6 ,-11097,-4 ,      
 ,M,Zanka           ,HUD ,D,4.4,89 ,0.25 ,0.25 ,3.1,3.1 ,4.0 ,3.2 ,9769  ,5  ,      
 ,F,Fernández       ,NEW ,D,4.4,71 ,0.2  ,0.25 ,2.9,3.1 ,0.5 ,0.4 ,-1126 ,-5 ,      
~,~,~~~~~~~~        ,~~~~,~,~~ ,~~ ,~~~~ ,0.24 ,~~~,~~~~,~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,C,Cédric          ,SOU ,D,4.3,77 ,0.21 ,0.21 ,2.9,2.9 ,1.3 ,3.6 ,-12896,-6 ,      
 ,H,Bellerín        ,ARS ,D,5.4,84 ,0.15 ,0.2  ,2.8,3.1 ,1.2 ,6.7 ,-40217,-10,      
 ,S,Francis         ,BOU ,D,4.4,72 ,0.09 ,0.2  ,2.4,2.9 ,1.8 ,0.4 ,-3427 ,-14,      
 ,L,Dunk            ,BHA ,D,4.5,84 ,0.18 ,0.2  ,2.8,2.9 ,0.7 ,3.3 ,-17865,-9 ,      
 ,J,Tomkins         ,CRY ,D,4.3,82 ,0.19 ,0.19 ,2.8,2.8 ,2.7 ,2.5 ,137   ,0  ,      
m,F,Kiko Femenía    ,WAT ,D,4.2,66 ,0.07 ,0.19 ,2.3,2.8 ,1.8 ,1.9 ,5657  ,5  ,      
 ,S,Steve Cook      ,BOU ,D,4.5,100,0.18 ,0.18 ,2.8,2.8 ,1.3 ,7.1 ,-20195,-5 ,      
 ,J,Bennett         ,CAR ,D,4.4,67 ,0.18 ,0.18 ,2.8,2.8 ,2.0 ,0.5 ,-189  ,-1 ,      
 ,C,Schindler       ,HUD ,D,4.4,99 ,0.18 ,0.18 ,2.8,2.8 ,1.3 ,3.3 ,-6503 ,-3 ,      
 ,F,Balbuena        ,WHU ,D,4.4,86 ,0.14 ,0.18 ,2.6,2.8 ,2.2 ,1.2 ,-11611,-16,      
 ,S,Mustafi         ,ARS ,D,5.4,82 ,0.17 ,0.17 ,2.9,2.9 ,2.0 ,1.1 ,-3562 ,-5 ,      
 ,N,Aké             ,BOU ,D,5.0,100,0.16 ,0.16 ,2.8,2.8 ,1.7 ,4.3 ,-11721,-5 ,      
