W,I,web_name        ,team,T,VA/M ,VA/ML,p/g ,p/gl,form,min,price,%   ,txn   ,gf ,081112
 ,E,Schelotto       ,BHA ,D,-0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,0  ,4.0  ,2.6 ,-23   ,0  ,      
 ,J,Puncheon        ,CRY ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.9 ,-23   ,0  ,      
 ,F,Delph           ,MCI ,D,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.4 ,-23   ,0  ,      
 ,D,Rico            ,BOU ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.0 ,-24   ,0.0,      
 ,R,van La Parra    ,HUD ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-24   ,-1 ,      
 ,Y,Kaboul          ,WAT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-24   ,0  ,      
 ,A,Masina          ,WAT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-24   ,-1 ,      
 ,H,Costa           ,WOL ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.9 ,-24   ,0  ,      
 ,J,Hendrick        ,BUR ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.2 ,-25   ,0  ,      
 ,C,Paterson        ,CAR ,M,0.0  ,-0.36,2.0 ,0.0 ,2.0 ,62 ,5.5  ,0.2 ,-25   ,0  ,      
 ,T,Davies          ,EVE ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.3 ,-25   ,0  ,      
 ,Y,Benalouane      ,LEI ,D,-0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,0  ,4.0  ,1.2 ,-25   ,0  ,      
 ,B,Kayal           ,BHA ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-26   ,-1 ,      
 ,Y,Bolasie         ,EVE ,M,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,0.4 ,-26   ,0  ,      
 ,A,Gunn            ,SOU ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.3 ,-26   ,0  ,      
 ,A,Gray            ,WAT ,F,0.0  ,-0.33,2.0 ,0.0 ,2.0 ,73 ,6.0  ,0.7 ,-26   ,0  ,      
