team,1~5_avg,1,2~6_avg,2,3,4,5,6
BUR ,2.13   ,2,2.29   ,2,2,4,2,3
EVE ,2.13   ,2,2.32   ,2,3,2,2,4
LIV ,2.39   ,2,2.77   ,3,2,3,4,2
BOU ,2.42   ,2,2.87   ,3,2,4,3,3
WAT ,2.45   ,2,2.9    ,3,2,4,4,2
CRY ,2.65   ,2,3.32   ,4,3,2,2,3
CHE ,2.71   ,2,3.45   ,4,3,3,2,3
WOL ,2.74   ,2,3.55   ,3,5,3,3,4
FUL ,2.81   ,2,3.61   ,4,3,3,5,2
TOT ,2.9    ,3,2.81   ,2,4,3,4,3
SOU ,2.97   ,3,3.0    ,3,3,3,2,5
CAR ,2.97   ,3,3.0    ,3,2,4,4,5
MCI ,3.1    ,4,2.13   ,2,2,3,2,2
MUN ,3.13   ,3,3.23   ,3,4,3,3,2
LEI ,3.19   ,4,2.32   ,2,2,4,3,2
BHA ,3.42   ,3,3.87   ,4,5,2,2,4
NEW ,3.55   ,4,3.06   ,2,4,5,4,3
HUD ,3.87   ,4,3.71   ,5,2,3,2,3
WHU ,4.1    ,5,3.16   ,3,4,2,3,4
ARS ,4.1    ,5,3.1    ,4,2,2,3,2
