team,5~9_avg,5,6~10_avg,6,7,8,9,10
MCI ,2.23   ,2,2.52    ,2,2,5,3,4 
BUR ,2.35   ,2,2.77    ,3,2,2,5,4 
CRY ,2.42   ,2,2.9     ,3,3,2,3,4 
ARS ,2.55   ,3,2.1     ,2,2,2,3,3 
CHE ,2.58   ,2,3.19    ,3,4,2,4,3 
EVE ,2.58   ,2,3.23    ,4,2,3,2,4 
HUD ,2.65   ,2,3.32    ,3,4,3,4,3 
LEI ,2.71   ,3,2.39    ,2,3,2,4,2 
MUN ,2.77   ,3,2.52    ,2,3,3,4,2 
BOU ,2.84   ,3,2.65    ,3,2,3,2,2 
BHA ,2.94   ,2,3.87    ,4,5,2,3,2 
SOU ,2.94   ,2,3.9     ,5,2,4,3,3 
WOL ,3.1    ,3,3.19    ,4,2,3,2,3 
TOT ,3.32   ,4,2.68    ,3,2,2,3,5 
WAT ,3.35   ,4,2.65    ,2,4,3,2,2 
WHU ,3.42   ,3,3.84    ,4,4,3,4,3 
LIV ,3.48   ,4,2.9     ,2,4,5,2,2 
NEW ,3.55   ,4,3.03    ,3,3,4,2,2 
FUL ,3.81   ,5,2.55    ,2,3,4,2,3 
CAR ,4.06   ,4,4.16    ,5,3,4,2,5 
