team,9~13_avg,9,10~14_avg,10,11,12,13,14
WHU,1.77,1,2.61,2,4,2,3,3
NEW,1.87,1,2.77,3,2,4,2,2
BHA,2.06,2,2.1,2,2,2,4,1
STK,2.13,2,2.32,2,3,2,2,4
SOU,2.16,2,2.42,2,2,4,3,5
CHE,2.32,2,2.65,2,4,2,4,2
MCI,2.32,2,2.65,2,4,3,2,2
CRY,2.32,2,2.65,2,4,3,2,2
LEI,2.39,2,2.84,3,2,4,2,4
BOU,2.52,2,3.03,4,2,2,2,2
MUN,2.87,2,3.74,4,5,2,1,2
SWA,2.97,3,3.0,4,1,3,2,5
ARS,3.06,3,3.1,2,5,4,3,2
LIV,3.1,4,2.13,2,2,2,4,2
WBA,3.23,3,3.42,4,2,4,4,2
EVE,3.32,4,2.58,3,2,2,3,2
TOT,3.55,4,3.06,4,1,4,2,3
HUD,3.61,4,3.23,4,2,2,4,4
WAT,3.68,5,2.32,2,3,2,2,4
BUR,3.74,5,2.39,2,3,2,4,2
