team,30~33_avg,30,31~34_avg,31,32~35_avg,32,33,34,35
ARS,4.2,4,4.33,6,2.4,2,3,3,2
BHA,3.2,2,4.4,6,2.6,2,4,2,3
BOU,2.13,2,2.27,2,2.53,3,2,2,2
BUR,4.07,5,2.93,3,2.93,3,3,2,4
CAR,4.07,3,5.13,6,4.13,4,5,3,4
CHE,2.87,3,2.87,3,2.67,2,3,5,2
CRY,3.13,2,4.4,6,2.67,2,3,4,4
EVE,3.33,3,3.6,4,3.2,3,4,2,4
FUL,3.4,3,3.73,4,3.4,4,3,2,3
HUD,2.33,2,2.8,3,2.6,2,3,4,3
LEI,2.27,2,2.53,3,2.07,2,2,2,3
LIV,2.27,2,2.67,2,3.33,4,2,4,2
MCI,3.6,3,4.13,6,2.08,2,2,2,3.2
MUN,4.45,4,4.84,6,3.47,2.4,6,3,2.8
NEW,2.53,2,3.13,3,3.2,4,2,3,2
SOU,4.27,4,4.47,6,2.73,2,4,3,3
TOT,3.47,2,4.93,6,3.8,5,2,2,5
WAT,4.93,5,4.8,6,3.33,4,2,4,2
WHU,2.13,2,2.4,2,2.87,2,4,4,3
WOL,4.51,4,4.88,6,3.49,2.8,6,2,2
