O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,031217
 ,J,Evans           ,WBA ,D,0.14 ,0.16 ,2.7,2.8 ,0.5 ,2083,4.9  ,1.1 ,-1216  ,-2 ,      
 ,A,Lacazette       ,ARS ,F,0.18 ,0.21 ,3.8,4.1 ,0.0 ,1808,10.2 ,6.0 ,-1244  ,0  ,      
 ,R,Loftus-Cheek    ,CRY ,M,0.3  ,0.34 ,3.3,3.5 ,0.0 ,1329,4.4  ,3.3 ,-1278  ,-1 ,      
 ,Á,Morata          ,CHE ,F,0.22 ,0.27 ,4.3,4.8 ,1.5 ,1652,10.4 ,7.5 ,-1312  ,0  ,      
 ,J,Stephens        ,SOU ,D,0.2  ,0.24 ,2.9,3.1 ,2.3 ,1620,4.5  ,0.9 ,-1321  ,-3 ,      
 ,C,Clark           ,NEW ,D,0.27 ,0.3  ,3.2,3.3 ,0.0 ,1745,4.4  ,1.9 ,-1330  ,-1 ,      
 ,L,Fabianski       ,SWA ,G,0.45 ,0.4  ,4.1,3.9 ,3.7 ,2700,4.7  ,9.0 ,-1346  ,0  ,      
 ,A,Williams        ,EVE ,D,0.06 ,0.13 ,2.3,2.7 ,0.0 ,1830,5.2  ,2.3 ,-1357  ,-1 ,      
 ,H,Lloris          ,TOT ,G,0.37 ,0.39 ,4.0,4.1 ,5.3 ,2520,5.4  ,8.5 ,-1385  ,0  ,      
 ,F,Fernández       ,SWA ,D,0.27 ,0.24 ,3.2,3.1 ,2.7 ,2160,4.5  ,4.2 ,-1659  ,-1 ,      
 ,G,Xhaka           ,ARS ,M,0.17 ,0.19 ,2.9,3.0 ,2.7 ,2615,5.2  ,7.1 ,-1674  ,0  ,      
 ,J,Ibe             ,BOU ,M,0.13 ,0.19 ,2.6,2.9 ,0.5 ,1604,4.8  ,1.3 ,-1706  ,-2 ,      
 ,M,Albrighton      ,LEI ,M,0.25 ,0.3  ,3.4,3.7 ,3.7 ,2220,5.6  ,3.4 ,-1914  ,-1 ,      
 ,K,Schmeichel      ,LEI ,G,0.3  ,0.32 ,3.5,3.6 ,1.7 ,2700,5.0  ,4.7 ,-2024  ,-1 ,      
 ,K,Trippier        ,TOT ,D,0.51 ,0.62 ,4.7,5.3 ,1.3 ,1470,5.3  ,4.6 ,-2025  ,-1 ,      
 ,V,Moses           ,CHE ,D,0.38 ,0.48 ,4.5,5.1 ,3.8 ,1589,6.5  ,2.0 ,-2295  ,-2 ,      
 ,T,Courtois        ,CHE ,G,0.35 ,0.37 ,3.9,4.0 ,3.0 ,2610,5.4  ,11.4,-2435  ,0  ,      
 ,J,Kenny           ,EVE ,D,0.14 ,0.19 ,2.6,2.8 ,0.7 ,1589,4.2  ,3.0 ,-2509  ,-1 ,      
 ,R,Richarlison     ,WAT ,M,0.3  ,0.32 ,3.8,3.9 ,1.3 ,2482,6.0  ,8.3 ,-2516  ,-1 ,      
 ,E,Dier            ,TOT ,M,0.09 ,0.11 ,2.4,2.5 ,2.0 ,2464,4.7  ,2.6 ,-2556  ,-2 ,      
 ,C,Martina         ,EVE ,D,0.14 ,0.18 ,2.6,2.8 ,1.0 ,1830,4.4  ,2.5 ,-2657  ,-2 ,      
 ,C,Azpilicueta     ,CHE ,D,0.42 ,0.43 ,4.9,5.0 ,3.5 ,2610,6.9  ,20.4,-2704  ,0  ,      
 ,M,Diouf           ,STK ,F,0.15 ,0.25 ,2.8,3.3 ,0.7 ,2012,5.2  ,2.0 ,-3338  ,-3 ,      
x,A,Ogbonna         ,WHU ,D,0.05 ,0.07 ,2.2,2.3 ,0.3 ,2160,4.3  ,3.8 ,-3396  ,-2 ,      
 ,D,Stephens        ,BHA ,M,0.11 ,0.11 ,2.5,2.5 ,2.0 ,2610,4.5  ,1.7 ,-3412  ,-3 ,      
 ,J,Gomez           ,LIV ,D,0.33 ,0.39 ,3.5,3.8 ,0.0 ,1631,4.6  ,3.5 ,-3446  ,-2 ,      
x,M,Alonso          ,CHE ,D,0.43 ,0.44 ,5.1,5.2 ,1.3 ,2413,7.2  ,19.4,-3461  ,0  ,      
 ,B,Alli            ,TOT ,M,0.31 ,0.3  ,4.8,4.7 ,6.3 ,2442,8.9  ,12.1,-3678  ,-1 ,      
 ,D,de Gea          ,MUN ,G,0.47 ,0.49 ,4.8,4.9 ,2.3 ,2700,5.9  ,43.1,-3680  ,0  ,      
 ,A,Cresswell       ,WHU ,D,0.22 ,0.25 ,3.1,3.3 ,1.0 ,2379,5.1  ,2.7 ,-3723  ,-2 ,      
 ,T,Carroll         ,SWA ,M,0.07 ,0.14 ,2.3,2.6 ,1.3 ,2032,4.3  ,5.1 ,-3854  ,-1 ,      
 ,J,Chicharito      ,WHU ,F,0.22 ,0.31 ,3.5,4.1 ,1.3 ,1449,6.7  ,7.9 ,-4096  ,-1 ,      
 ,A,Doucouré        ,WAT ,M,0.38 ,0.4  ,4.1,4.2 ,2.7 ,2610,5.5  ,15.4,-4146  ,0  ,      
 ,F,Fernandinho     ,MCI ,M,0.26 ,0.28 ,3.3,3.4 ,0.3 ,2296,5.0  ,4.6 ,-4360  ,-2 ,      
 ,A,Sánchez         ,MUN ,M,0.22 ,0.26 ,4.6,5.0 ,2.8 ,2031,11.6 ,3.0 ,-4458  ,-3 ,      
x,H,Maguire         ,LEI ,D,0.25 ,0.25 ,3.4,3.4 ,2.0 ,2700,5.6  ,12.7,-4657  ,-1 ,      
x,A,Adrián          ,WHU ,G,0.27 ,0.27 ,3.2,3.2 ,1.0 ,1350,4.4  ,2.8 ,-4657  ,-3 ,      
 ,A,Martial         ,MUN ,M,0.32 ,0.43 ,4.5,5.4 ,1.8 ,1334,7.9  ,2.7 ,-5477  ,-3 ,      
 ,A,Rüdiger         ,CHE ,D,0.44 ,0.47 ,4.6,4.8 ,2.0 ,1796,5.9  ,3.4 ,-5606  ,-3 ,      
 ,A,Ramsey          ,ARS ,M,0.52 ,0.59 ,5.6,6.1 ,0.7 ,1466,6.9  ,3.9 ,-5786  ,-3 ,      
 ,J,Ward-Prowse     ,SOU ,M,0.22 ,0.51 ,3.1,4.6 ,1.5 ,1434,5.1  ,2.8 ,-5895  ,-4 ,      
 ,A,Hegazi          ,WBA ,D,0.19 ,0.21 ,2.9,3.0 ,1.0 ,2666,4.7  ,20.7,-6216  ,-1 ,      
 ,E,Hazard          ,CHE ,M,0.35 ,0.45 ,5.7,6.8 ,6.8 ,1856,10.6 ,7.4 ,-6815  ,-2 ,      
 ,N,Monreal         ,ARS ,D,0.53 ,0.49 ,4.9,4.7 ,0.0 ,1923,5.5  ,5.4 ,-8658  ,-3 ,      
 ,B,Davies          ,TOT ,D,0.54 ,0.64 ,5.2,5.8 ,4.3 ,1873,5.9  ,23.8,-9149  ,-1 ,      
 ,P,Groß            ,BHA ,M,0.42 ,0.48 ,4.5,4.9 ,4.3 ,2325,6.0  ,17.8,-9391  ,-1 ,      
 ,C,Eriksen         ,TOT ,M,0.35 ,0.35 ,5.3,5.3 ,4.7 ,2498,9.4  ,15.1,-9966  ,-1 ,      
 ,R,Elliot          ,NEW ,G,0.4  ,0.4  ,3.6,3.6 ,0.0 ,1440,4.0  ,17.3,-10573 ,-1 ,      
 ,P,Pogba           ,MUN ,M,0.42 ,0.45 ,5.3,5.5 ,2.3 ,1554,7.8  ,11.0,-13770 ,-2 ,      
 ,M,Arnautovic      ,WHU ,M,0.29 ,0.46 ,4.0,5.2 ,1.7 ,1612,7.0  ,4.7 ,-14055 ,-5 ,      
 ,P,Jones           ,MUN ,D,0.51 ,0.55 ,4.8,5.0 ,0.5 ,1793,5.5  ,6.5 ,-15365 ,-4 ,      
 ,H,Bellerín        ,ARS ,D,0.25 ,0.27 ,3.5,3.6 ,0.7 ,2527,5.9  ,9.9 ,-16414 ,-3 ,      
x,J,Lingard         ,MUN ,M,0.35 ,0.48 ,4.1,4.9 ,2.8 ,1383,6.0  ,10.4,-17874 ,-3 ,      
 ,R,Sterling        ,MCI ,M,0.56 ,0.65 ,6.8,7.6 ,1.3 ,1963,8.6  ,17.7,-33168 ,-3 ,      
 ,S,Agüero          ,MCI ,F,0.42 ,0.45 ,7.0,7.3 ,2.3 ,1946,11.9 ,25.4,-69241 ,-5 ,      
 ,J,Jordan Ayew     ,SWA ,F,0.19 ,0.24 ,3.0,3.3 ,2.3 ,2310,5.4  ,12.1,-80094 ,-11,      
x,H,Kane            ,TOT ,F,0.33 ,0.36 ,6.2,6.6 ,4.0 ,2434,12.9 ,44.4,-104808,-4 ,      
