W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,030621
m,R,Sterling,MCI,M,11.4,80,0.42,0.46,6.8,7.3,5.8,13.8,15981,2,
o,H,Son,TOT,M,8.8,61,0.45,0.59,6.0,7.2,3.0,21.8,-34353,-3,
o,M,Salah,LIV,M,13.4,94,0.36,0.37,6.8,6.9,4.3,46.1,-41433,-1,
,E,Hazard,CHE,M,10.8,82,0.41,0.44,6.4,6.7,3.0,25.7,17924,1,
m,S,Mané,LIV,M,9.8,87,0.4,0.42,5.9,6.1,6.8,26.0,53908,3,
,H,Mkhitaryan,ARS,M,6.8,44,0.4,0.59,4.7,6.0,8.5,6.1,11891,3,
o,P,Pogba,MUN,M,9.0,84,0.42,0.44,5.8,6.0,5.8,46.0,-33255,-1,
m,P,Pedro,CHE,M,6.3,51,0.35,0.62,4.2,5.9,4.0,4.1,853,0,
,G,Sigurdsson,EVE,M,7.2,90,0.39,0.44,4.8,5.2,5.5,6.3,25625,7,
,D,David Silva,MCI,M,8.5,69,0.29,0.38,4.5,5.2,4.3,4.4,12371,5,
,G,Deulofeu,WAT,M,5.6,58,0.43,0.57,4.4,5.2,8.5,4.3,20677,8,
o,R,Richarlison,EVE,M,6.5,79,0.37,0.45,4.4,4.9,1.8,17.7,-21307,-2,
,C,Eriksen,TOT,M,9.3,75,0.25,0.31,4.3,4.9,4.8,5.8,-5432,-2,
,O,Zinchenko,MCI,M,4.7,19,0.47,0.6,4.2,4.8,4.0,0.2,2433,19,
,I,Gündogan,MCI,M,5.4,54,0.3,0.5,3.6,4.7,4.0,2.6,5215,3,
,R,Fraser,BOU,M,6.1,91,0.39,0.43,4.4,4.6,2.3,19.9,17885,1,
,B,Bernardo Silva,MCI,M,7.5,84,0.28,0.33,4.1,4.5,3.3,7.8,11182,2,
,J,Ward-Prowse,SOU,M,5.1,46,0.33,0.49,3.7,4.5,5.0,2.1,8930,7,
m,F,Felipe Anderson,WHU,M,7.2,94,0.33,0.33,4.4,4.4,2.3,15.4,4111,0,
,D,Jota,WOL,M,6.1,61,0.33,0.39,4.0,4.4,4.0,3.7,7444,3,
m,D,Brooks,BOU,M,5.0,64,0.44,0.46,4.2,4.3,0.5,3.6,39550,18,
,R,Pereyra,WAT,M,6.0,89,0.35,0.37,4.1,4.2,1.5,9.7,-8565,-1,
,L,Milivojevic,CRY,M,6.3,100,0.32,0.32,4.0,4.0,3.5,7.4,8687,2,
,R,Babel,FUL,M,5.5,21,0.29,0.36,3.6,4.0,4.0,0.3,-1015,-5,
o,J,Maddison,LEI,M,6.7,80,0.24,0.28,3.6,3.9,3.0,5.3,12393,4,
,R,Snodgrass,WHU,M,5.0,67,0.16,0.38,2.8,3.9,4.0,1.3,11618,14,
,I,Hayden,NEW,M,4.4,42,0.2,0.41,2.9,3.8,5.5,2.4,3782,3,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,~~~~~,~~~,3.77,~~~~,~,~~~,~~,~~~~~~
,A,Iwobi,ARS,M,5.4,58,0.17,0.3,2.9,3.6,4.3,1.8,-479,0,
