W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,030621
,S,Agüero,MCI,F,11.8,70,0.37,0.42,6.4,6.9,7.5,40.3,41374,2,
,H,Kane,TOT,F,12.4,82,0.31,0.33,5.9,6.1,4.0,14.4,25466,3,
,A,Lacazette,ARS,F,9.5,72,0.31,0.4,4.9,5.8,6.3,9.8,-15698,-3,
,C,Wilson,BOU,F,6.3,66,0.54,0.57,5.4,5.6,0.0,10.1,-2295,0,
,P,Aubameyang,ARS,F,10.9,81,0.33,0.31,5.6,5.4,1.8,20.7,-83008,-6,
o,G,Higuaín,CHE,F,9.6,16,0.35,0.35,5.4,5.4,4.0,4.1,26648,10,
,M,Batshuayi,CRY,F,6.5,11,0.34,0.51,4.2,5.3,4.3,1.5,22319,24,
o,R,Jiménez,WOL,F,6.9,91,0.43,0.48,5.0,5.3,5.8,35.8,-17013,-1,
o,M,Rashford,MUN,F,7.7,65,0.3,0.4,4.3,5.1,1.3,31.1,-56573,-3,
,J,Chicharito,WHU,F,6.1,39,0.25,0.49,3.5,5.0,4.0,1.6,5694,6,
,R,Lukaku,MUN,F,10.7,65,0.19,0.27,4.0,4.9,7.0,4.7,27540,9,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,~~~~~,~~~,4.8,~~~~,~,~~~,~~,~~~~~~
,R,Firmino,LIV,F,9.2,80,0.26,0.29,4.4,4.7,1.8,14.5,-8197,-1,
m,S,Rondón,NEW,F,5.9,69,0.37,0.44,4.2,4.6,4.5,8.0,-10669,-2,
,J,King,BOU,F,6.5,85,0.34,0.35,4.2,4.3,2.8,6.4,30403,8,
,A,Barnes,BUR,F,5.7,61,0.25,0.4,3.4,4.3,6.5,3.4,1460,1,
,T,Deeney,WAT,F,5.9,83,0.32,0.39,3.9,4.3,7.3,4.7,5474,2,
m,J,Vardy,LEI,F,8.9,73,0.25,0.25,4.2,4.2,5.0,5.7,5561,2,
,W,Zaha,CRY,F,6.9,85,0.29,0.29,4.0,4.0,8.0,13.5,64200,8,
,A,Mitrovic,FUL,F,6.5,98,0.29,0.31,3.9,4.0,1.8,12.8,-16724,-2,
m,G,Murray,BHA,F,6.3,70,0.22,0.3,3.4,3.9,1.3,2.8,-11203,-6,
,C,Wood,BUR,F,6.2,70,0.16,0.27,3.0,3.7,6.5,1.3,-6741,-8,
,A,Pérez,NEW,F,6.1,84,0.13,0.11,2.8,2.7,3.0,1.1,-620,-1,
