W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,030621
o,T,Alexander-Arnold,LIV,D,5.5,65,0.73,0.78,6.0,6.3,7.0,18.8,82346,7,
,J,Matip,LIV,D,4.9,35,0.37,0.65,3.8,5.2,6.5,0.8,5075,10,
m,A,Robertson,LIV,D,6.9,92,0.61,0.61,6.2,6.2,8.8,38.7,6877,0,
m,V,van Dijk,LIV,D,6.6,99,0.55,0.58,5.6,5.8,10.3,29.9,29732,2,
,J,Schlupp,CRY,D,4.5,49,0.22,0.56,3.0,4.5,4.3,3.4,19975,9,
,N,Otamendi,MCI,D,6.0,40,0.38,0.55,4.3,5.3,5.5,2.9,9247,5,
m,F,Schär,NEW,D,4.7,53,0.4,0.53,3.9,4.5,6.3,2.8,4170,2,
m,M,Alonso,CHE,D,6.4,88,0.5,0.5,5.2,5.2,2.7,27.3,-20474,-1,
m,D,David Luiz,CHE,D,5.9,90,0.46,0.46,4.7,4.7,1.3,12.7,-4266,-1,
m,S,Duffy,BHA,D,4.7,84,0.4,0.45,3.9,4.1,5.7,6.3,12754,3,
,J,Holebas,WAT,D,4.8,80,0.42,0.44,4.0,4.1,2.3,10.7,-5533,-1,
,K,Trippier,TOT,D,6.1,73,0.38,0.43,4.3,4.6,1.3,17.0,-7057,-1,
,L,Digne,EVE,D,5.2,83,0.35,0.42,3.8,4.2,3.8,7.5,4540,1,
,K,Walker,MCI,D,6.4,76,0.36,0.41,4.3,4.6,4.8,11.3,7880,1,
,A,Laporte,MCI,D,5.9,90,0.37,0.39,4.2,4.3,5.3,7.6,-51796,-11,
o,R,Pereira,LEI,D,5.4,89,0.37,0.37,4.0,4.0,1.5,14.1,-7459,-1,
o,M,Doherty,WOL,D,5.5,93,0.33,0.36,3.8,4.0,2.3,25.5,-47336,-3,
,M,Keane,EVE,D,4.8,90,0.35,0.35,3.7,3.7,3.8,3.7,3176,1,
,W,Boly,WOL,D,4.6,90,0.28,0.35,3.3,3.6,5.3,4.4,2726,1,
,S,Bamba,CAR,D,4.7,95,0.3,0.34,3.4,3.6,3.3,4.2,-40703,-16,
,C,Azpilicueta,CHE,D,6.3,97,0.33,0.33,4.1,4.1,5.7,8.5,11708,2,
o,A,Wan-Bissaka,CRY,D,4.5,89,0.31,0.31,3.4,3.4,1.5,26.1,37505,2,
,P,van Aanholt,CRY,D,5.4,98,0.28,0.3,3.5,3.6,2.0,4.9,2009,1,
,A,Rüdiger,CHE,D,5.9,92,0.29,0.29,3.7,3.7,2.3,3.5,166,0,
,J,Lascelles,NEW,D,4.7,83,0.23,0.28,3.1,3.3,3.5,3.9,-1032,0,
,M,Sakho,CRY,D,4.9,93,0.27,0.27,3.3,3.3,1.3,1.6,-5989,-6,
,D,Rice,WHU,D,4.6,88,0.22,0.26,3.0,3.2,5.3,3.7,67612,29,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,0.26,~~~,~~~~,~~~~,~,~~~,~~,~~~~~~
,S,Coleman,EVE,D,5.2,74,0.25,0.25,3.3,3.3,4.3,1.1,523,1,
,V,Lindelöf,MUN,D,5.1,79,0.25,0.25,3.3,3.3,3.5,6.5,-8934,-2,
,J,Jonny,WOL,D,4.4,79,0.23,0.25,3.0,3.1,1.5,3.1,-7998,-4,
,H,Maguire,LEI,D,5.4,79,0.2,0.24,3.1,3.3,1.0,9.0,-259,0,
,L,Shaw,MUN,D,5.1,79,0.24,0.24,3.2,3.2,4.3,9.9,-5448,-1,
,T,Alderweireld,TOT,D,6.0,90,0.22,0.23,3.3,3.4,1.3,3.8,-1897,-1,
,K,Zouma,EVE,D,5.0,73,0.16,0.22,2.8,3.1,1.3,0.5,-36,0,
,B,Chilwell,LEI,D,5.0,93,0.22,0.22,3.1,3.1,1.0,2.5,3525,2,
,C,Cathcart,WAT,D,4.6,96,0.22,0.22,3.0,3.0,2.3,2.3,-5289,-4,
,J,Tomkins,CRY,D,4.3,85,0.21,0.21,2.9,2.9,1.0,3.4,1674,1,
,N,Aké,BOU,D,5.0,100,0.2,0.2,3.0,3.0,1.3,5.1,6127,2,
,M,Zanka,HUD,D,4.4,79,0.2,0.2,2.9,2.9,0.5,2.8,-1984,-1,
,J,Tarkowski,BUR,D,4.7,87,0.17,0.19,2.8,2.9,1.5,4.4,-3404,-1,
