team,4~8_avg,4,5~9_avg,5,6,7,8,9
BHA ,2.16   ,2,2.32   ,2,2,4,3,2
NEW ,2.16   ,2,2.32   ,2,2,4,3,2
HUD ,2.26   ,2,2.58   ,2,3,4,2,4
SOU ,2.26   ,2,2.52   ,2,4,2,2,2
WHU ,2.29   ,2,2.55   ,2,4,2,3,1
WBA ,2.29   ,2,2.61   ,2,4,2,3,3
MUN ,2.45   ,2,2.9    ,3,3,2,4,2
SWA ,2.52   ,2,3.03   ,4,2,2,2,2
BUR ,2.65   ,2,3.35   ,4,2,4,2,4
ARS ,2.71   ,2,3.48   ,5,2,1,2,4
CRY ,2.97   ,3,2.9    ,2,4,4,4,2
TOT ,3.03   ,4,2.06   ,2,2,2,2,4
BOU ,3.1    ,4,2.13   ,1,4,2,4,2
WAT ,3.1    ,3,3.26   ,4,2,2,4,5
CHE ,3.16   ,3,3.29   ,4,2,4,2,2
MCI ,3.23   ,4,2.39   ,2,2,5,2,2
LIV ,3.23   ,4,2.45   ,2,3,2,4,4
LEI ,3.29   ,4,2.52   ,2,4,2,2,2
STK ,3.35   ,4,2.65   ,2,4,2,4,2
EVE ,3.55   ,4,3.1    ,4,2,2,2,4
