W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,020121
m,H,Son            ,TOT ,M,8.6 ,54 ,0.51 ,0.72 ,6.4,8.2 ,3.7 ,11.0,304711 ,45 ,      
o,L,Sané           ,MCI ,M,9.8 ,64 ,0.4  ,0.6  ,5.9,7.9 ,8.0 ,20.7,112583 ,9  ,      
o,M,Salah          ,LIV ,M,13.6,94 ,0.4  ,0.41 ,7.5,7.6 ,7.5 ,50.3,-9288  ,0  ,      
 ,R,Babel          ,FUL ,M,5.5 ,7  ,0.36 ,0.91 ,4.0,7.0 ,4.0 ,0.3 ,8087   ,44 ,      
 ,R,Sterling       ,MCI ,M,11.3,81 ,0.43 ,0.43 ,6.9,6.9 ,5.5 ,11.8,27264  ,4  ,      
 ,E,Hazard         ,CHE ,M,10.9,86 ,0.4  ,0.44 ,6.4,6.8 ,3.0 ,29.9,-142540,-8 ,      
o,A,Martial        ,MUN ,M,7.2 ,54 ,0.42 ,0.57 ,5.0,6.1 ,1.7 ,6.1 ,-77432 ,-21,      
o,P,Pogba          ,MUN ,M,8.7 ,82 ,0.43 ,0.46 ,5.7,6.0 ,6.7 ,38.2,-137448,-6 ,      
 ,P,Pedro          ,CHE ,M,6.3 ,54 ,0.35 ,0.62 ,4.2,5.9 ,4.3 ,3.6 ,-2500  ,-1 ,      
m,S,Mané           ,LIV ,M,9.5 ,85 ,0.38 ,0.41 ,5.6,5.9 ,5.3 ,19.0,10994  ,1  ,      
 ,D,David Silva    ,MCI ,M,8.5 ,66 ,0.32 ,0.4  ,4.7,5.4 ,2.8 ,4.7 ,22983  ,8  ,      
o,R,Richarlison    ,EVE ,M,6.8 ,83 ,0.44 ,0.49 ,5.0,5.3 ,4.0 ,27.3,112452 ,7  ,      
 ,R,Fraser         ,BOU ,M,6.1 ,90 ,0.48 ,0.51 ,4.9,5.1 ,2.7 ,21.8,1052   ,0  ,      
 ,G,Sigurdsson     ,EVE ,M,7.4 ,92 ,0.38 ,0.42 ,4.8,5.1 ,5.0 ,8.3 ,45909  ,9  ,      
 ,C,Eriksen        ,TOT ,M,9.4 ,70 ,0.24 ,0.32 ,4.3,5.0 ,3.3 ,6.5 ,-37201 ,-9 ,      
m,D,Jota           ,WOL ,M,6.0 ,59 ,0.32 ,0.5  ,3.9,5.0 ,8.7 ,3.0 ,23931  ,13 ,      
 ,B,Bernardo Silva ,MCI ,M,7.6 ,83 ,0.3  ,0.37 ,4.3,4.8 ,2.3 ,8.0 ,-27750 ,-6 ,      
 ,F,Felipe Anderson,WHU ,M,7.1 ,94 ,0.38 ,0.38 ,4.7,4.7 ,2.3 ,12.9,-140077,-18,      
 ,J,Ward-Prowse    ,SOU ,M,5.0 ,35 ,0.28 ,0.52 ,3.4,4.6 ,9.7 ,1.3 ,32962  ,41 ,      
 ,R,Pereyra        ,WAT ,M,6.2 ,96 ,0.39 ,0.4  ,4.4,4.5 ,2.0 ,14.5,-33798 ,-4 ,      
 ,D,Brooks         ,BOU ,M,5.1 ,73 ,0.45 ,0.47 ,4.3,4.4 ,6.7 ,6.3 ,24978  ,6  ,      
 ,J,Maddison       ,LEI ,M,6.6 ,77 ,0.27 ,0.33 ,3.8,4.2 ,2.3 ,3.8 ,-6659  ,-3 ,      
~,~,~~~~~~~~       ,~~~~,~,~~  ,~~ ,~~~~ ,~~~~~,~~~,3.82,~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,L,Milivojevic    ,CRY ,M,6.1 ,100,0.3  ,0.3  ,3.8,3.8 ,2.3 ,4.9 ,-4399  ,-1 ,      
 ,A,Townsend       ,CRY ,M,5.8 ,98 ,0.29 ,0.29 ,3.7,3.7 ,4.7 ,3.8 ,24353  ,10 ,      
 ,T,Walcott        ,EVE ,M,6.0 ,74 ,0.2  ,0.28 ,3.2,3.7 ,0.7 ,3.0 ,-1493  ,-1 ,      
 ,A,Schürrle       ,FUL ,M,5.6 ,72 ,0.25 ,0.3  ,3.4,3.7 ,4.0 ,2.9 ,-4519  ,-3 ,      
 ,J,Moutinho       ,WOL ,M,5.2 ,86 ,0.27 ,0.31 ,3.4,3.6 ,7.7 ,3.7 ,61119  ,27 ,      
 ,C,Paterson       ,CAR ,M,5.0 ,77 ,0.24 ,0.3  ,3.2,3.5 ,2.0 ,0.7 ,-2465  ,-6 ,      
 ,W,Willian        ,CHE ,M,7.2 ,71 ,0.21 ,0.21 ,3.5,3.5 ,3.7 ,4.2 ,-523   ,0  ,      
 ,A,Doucouré       ,WAT ,M,5.9 ,88 ,0.27 ,0.25 ,3.6,3.5 ,0.7 ,1.5 ,-12316 ,-13,      
 ,L,Torreira       ,ARS ,M,4.9 ,79 ,0.14 ,0.29 ,2.7,3.4 ,2.0 ,4.5 ,-13826 ,-5 ,      
 ,P,Groß           ,BHA ,M,6.7 ,54 ,0.16 ,0.21 ,3.1,3.4 ,5.7 ,1.6 ,2034   ,2  ,      
 ,A,Westwood       ,BUR ,M,4.5 ,76 ,0.22 ,0.31 ,3.0,3.4 ,3.3 ,2.8 ,13394  ,8  ,      
 ,R,Sessegnon      ,FUL ,M,6.0 ,67 ,0.15 ,0.23 ,2.9,3.4 ,1.0 ,2.0 ,-1490  ,-1 ,      
 ,N,Kanté          ,CHE ,M,5.0 ,99 ,0.26 ,0.26 ,3.3,3.3 ,2.0 ,18.3,-16805 ,-1 ,      
 ,G,Xhaka          ,ARS ,M,5.3 ,87 ,0.19 ,0.21 ,3.0,3.1 ,1.3 ,2.6 ,-5753  ,-4 ,      
 ,S,March          ,BHA ,M,4.9 ,86 ,0.2  ,0.22 ,3.0,3.1 ,1.7 ,1.1 ,-2023  ,-3 ,      
 ,V,Camarasa       ,CAR ,M,4.6 ,87 ,0.24 ,0.24 ,3.1,3.1 ,1.3 ,2.5 ,-11372 ,-7 ,      
 ,M,Ritchie        ,NEW ,M,5.8 ,80 ,0.16 ,0.19 ,2.9,3.1 ,5.0 ,0.4 ,1068   ,4  ,      
 ,I,Hayden         ,NEW ,M,4.3 ,31 ,0.02 ,0.26 ,2.1,3.1 ,4.3 ,0.3 ,4005   ,22 ,      
 ,J,Hendrick       ,BUR ,M,5.2 ,51 ,0.08 ,0.19 ,2.4,3.0 ,5.3 ,0.2 ,40     ,0  ,      
 ,J,McArthur       ,CRY ,M,4.8 ,91 ,0.21 ,0.21 ,3.0,3.0 ,2.0 ,2.6 ,-1849  ,-1 ,      
 ,G,Wijnaldum      ,LIV ,M,5.5 ,82 ,0.15 ,0.18 ,2.8,3.0 ,1.5 ,0.8 ,-326   ,-1 ,      
 ,F,Fernandinho    ,MCI ,M,5.3 ,89 ,0.19 ,0.19 ,3.0,3.0 ,1.5 ,3.9 ,4767   ,2  ,      
 ,N,Redmond        ,SOU ,M,5.3 ,96 ,0.19 ,0.19 ,3.0,3.0 ,2.0 ,1.6 ,-5861  ,-6 ,      
 ,T,Cleverley      ,WAT ,M,5.0 ,11 ,0.14 ,0.2  ,2.7,3.0 ,4.3 ,0.0 ,70     ,0.0,      
 ,R,Neves          ,WOL ,M,4.9 ,88 ,0.18 ,0.2  ,2.9,3.0 ,3.3 ,10.5,-3922  ,-1 ,      
 ,C,Kouyaté        ,CRY ,M,4.7 ,66 ,0.06 ,0.17 ,2.3,2.8 ,2.3 ,0.2 ,-488   ,-4 ,      
 ,H,Winks          ,TOT ,M,5.5 ,57 ,0.0  ,0.15 ,2.0,2.8 ,4.7 ,0.3 ,483    ,3  ,      
 ,J,Seri           ,FUL ,M,5.0 ,84 ,0.1  ,0.14 ,2.5,2.7 ,2.3 ,1.5 ,-919   ,-1 ,      
 ,P,Højbjerg       ,SOU ,M,4.4 ,74 ,0.16 ,0.16 ,2.7,2.7 ,1.0 ,2.6 ,-4743  ,-3 ,      
 ,E,Capoue         ,WAT ,M,4.8 ,83 ,0.15 ,0.15 ,2.7,2.7 ,2.0 ,0.5 ,-295   ,-1 ,      
 ,P,Billing        ,HUD ,M,4.5 ,85 ,0.13 ,0.13 ,2.6,2.6 ,1.0 ,1.5 ,-6082  ,-7 ,      
 ,A,Pritchard      ,HUD ,M,4.8 ,66 ,0.04 ,0.13 ,2.2,2.6 ,1.3 ,0.1 ,-229   ,-4 ,      
 ,W,Ndidi          ,LEI ,M,4.9 ,99 ,0.12 ,0.12 ,2.6,2.6 ,3.7 ,0.8 ,-467   ,-1 ,      
 ,J,Cork           ,BUR ,M,4.6 ,95 ,0.11 ,0.11 ,2.5,2.5 ,3.0 ,0.6 ,668    ,2  ,      
 ,N,Mendez-Laing   ,CAR ,M,4.8 ,19 ,0.04 ,0.1  ,2.2,2.5 ,4.0 ,0.0 ,459    ,0.0,      
 ,J,Jorginho       ,CHE ,M,4.7 ,93 ,0.11 ,0.11 ,2.5,2.5 ,1.7 ,6.0 ,-4738  ,-1 ,      
 ,D,Stephens       ,BHA ,M,4.4 ,65 ,0.0  ,0.09 ,2.0,2.4 ,1.7 ,3.2 ,-1163  ,-1 ,      
 ,M,Lemina         ,SOU ,M,4.7 ,68 ,0.04 ,0.09 ,2.2,2.4 ,0.0 ,0.2 ,-139   ,-1 ,      
 ,N,Mendy          ,LEI ,M,4.5 ,88 ,0.04 ,0.07 ,2.2,2.3 ,1.3 ,1.1 ,-670   ,-1 ,      
 ,D,Pröpper        ,BHA ,M,4.8 ,82 ,0.04 ,0.04 ,2.2,2.2 ,3.0 ,0.1 ,-10    ,0  ,      
 ,J,Hogg           ,HUD ,M,4.4 ,69 ,0.02 ,0.05 ,2.1,2.2 ,1.7 ,0.3 ,-409   ,-2 ,      
 ,N,Matic          ,MUN ,M,5.0 ,86 ,0.04 ,0.04 ,2.2,2.2 ,2.3 ,0.8 ,-409   ,-1 ,      
