W,I,web_name  ,team,T,px  ,m%,VA/M,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,020121
 ,H,Kane      ,TOT ,F,12.4,87,0.32,0.34 ,6.0,6.2 ,0.7 ,13.6,-23795 ,-3 ,      
 ,S,Agüero    ,MCI ,F,11.4,67,0.32,0.36 ,5.7,6.1 ,5.3 ,28.7,184501 ,10 ,      
m,F,Llorente  ,TOT ,F,5.7 ,10,0.05,0.7  ,2.3,6.0 ,4.3 ,2.4 ,47883  ,32 ,      
 ,A,Lacazette ,ARS ,F,9.3 ,71,0.3 ,0.42 ,4.8,5.9 ,5.7 ,6.7 ,-4322  ,-1 ,      
 ,C,Wilson    ,BOU ,F,6.4 ,80,0.53,0.56 ,5.4,5.6 ,3.0 ,17.0,-251064,-24,      
o,P,Aubameyang,ARS ,F,11.2,88,0.38,0.31 ,6.2,5.5 ,5.3 ,30.0,-113461,-6 ,      
o,M,Rashford  ,MUN ,F,7.7 ,66,0.34,0.44 ,4.6,5.4 ,5.7 ,39.9,-8516  ,0  ,      
m,R,Jiménez   ,WOL ,F,6.6 ,90,0.41,0.45 ,4.7,5.0 ,6.0 ,26.8,133649 ,8  ,      
m,S,Rondón    ,NEW ,F,5.7 ,62,0.39,0.51 ,4.2,4.9 ,5.0 ,3.2 ,12925  ,7  ,      
m,R,Firmino   ,LIV ,F,9.3 ,86,0.3 ,0.3  ,4.8,4.8 ,5.0 ,21.5,-46835 ,-4 ,      
 ,J,King      ,BOU ,F,6.4 ,82,0.39,0.42 ,4.5,4.7 ,8.7 ,4.8 ,138769 ,47 ,      
~,~,~~~~~~~~  ,~~~~,~,~~  ,~~,~~~~,~~~~~,~~~,4.7 ,~~~~,~   ,~~~    ,~~ ,~~~~~~
o,D,Ings      ,SOU ,F,5.5 ,57,0.4 ,0.47 ,4.2,4.6 ,1.3 ,5.7 ,-7131  ,-2 ,      
m,G,Murray    ,BHA ,F,6.3 ,70,0.27,0.4  ,3.7,4.5 ,5.0 ,2.7 ,25528  ,15 ,      
 ,A,Mitrovic  ,FUL ,F,6.5 ,98,0.35,0.37 ,4.3,4.4 ,5.3 ,14.9,48051  ,5  ,      
 ,J,Vardy     ,LEI ,F,8.8 ,71,0.26,0.24 ,4.3,4.1 ,3.0 ,3.8 ,-7649  ,-3 ,      
 ,S,Long      ,SOU ,F,4.7 ,31,0.02,0.36 ,2.1,3.7 ,4.0 ,2.5 ,-818   ,-1 ,      
 ,T,Deeney    ,WAT ,F,6.0 ,80,0.22,0.28 ,3.3,3.7 ,2.0 ,5.3 ,-17170 ,-5 ,      
 ,W,Zaha      ,CRY ,F,6.7 ,87,0.18,0.18 ,3.2,3.2 ,3.3 ,10.7,-33008 ,-5 ,      
 ,C,Wood      ,BUR ,F,6.2 ,66,0.08,0.18 ,2.5,3.1 ,4.3 ,0.4 ,2303   ,9  ,      
 ,A,Pérez     ,NEW ,F,6.1 ,81,0.13,0.11 ,2.8,2.7 ,3.3 ,1.0 ,-928   ,-2 ,      
