team,25~28_avg,25,26~29_avg,26,27~30_avg,27,28,29,30
ARS,3.6,5,2.2,2,2.53,2,2,5,4
BHA,3.13,3,3.2,2,4.4,6,3,2,2
BOU,3.07,2,4.27,5,3.33,3,4,4,2
BUR,2.53,2,3.07,3,3.27,4,2,2,5
CAR,2.2,2,2.47,2,3.0,3,3,3,3
CHE,3.47,2,4.93,5,4.73,6,4,2,3
CRY,2.53,2,3.07,3,3.07,3,4,2,2
EVE,3.23,2.8,3.73,3,4.4,6,2,4,2
FUL,2.67,2,3.47,4,2.87,3,2,4,3
HUD,3.67,4,3.27,4,2.4,2,3,3,2
LEI,3.87,4,3.67,5,2.13,2,2,3,2
LIV,2.87,3,2.73,2,3.47,4,3,3,2
MCI,3.56,2.8,4.33,4,4.6,6,3,3,3
MUN,2.8,3,2.53,2,3.2,4,2,2,4
NEW,3.87,5,2.6,3,2.2,2,2,3,3
SOU,2.27,2,2.67,2,3.47,4,2,4,4
TOT,2.4,2,2.93,3,2.8,2,4,4,2
WAT,3.0,3,3.0,3,3.13,2,5,3,5
WHU,3.27,4,2.4,2,2.8,2,5,2,2
WOL,2.67,3,2.27,2,2.67,3,2,2,4
