W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,020121
 ,S,Steve Cook      ,BOU ,D,4.4,100,0.18 ,0.18 ,2.8,2.8 ,4.7 ,6.2 ,11981  ,3  ,      
 ,V,Lindelöf        ,MUN ,D,4.9,79 ,0.18 ,0.18 ,2.9,2.9 ,6.0 ,3.8 ,48639  ,21 ,      
 ,D,Rice            ,WHU ,D,4.4,85 ,0.16 ,0.18 ,2.7,2.8 ,5.7 ,1.8 ,385    ,0  ,      
 ,R,Bennett         ,WOL ,D,4.1,96 ,0.17 ,0.17 ,2.7,2.7 ,4.0 ,11.3,21912  ,3  ,      
 ,J,Bennett         ,CAR ,D,4.4,65 ,0.16 ,0.16 ,2.7,2.7 ,2.3 ,0.4 ,-142   ,-1 ,      
 ,C,Schindler       ,HUD ,D,4.3,97 ,0.12 ,0.16 ,2.5,2.7 ,2.7 ,2.4 ,-2724  ,-2 ,      
 ,W,Morgan          ,LEI ,D,4.5,69 ,0.16 ,0.16 ,2.7,2.7 ,2.3 ,0.9 ,-687   ,-1 ,      
 ,L,Shaw            ,MUN ,D,5.0,74 ,0.16 ,0.16 ,2.8,2.8 ,3.0 ,7.8 ,-3967  ,-1 ,      
 ,S,Coleman         ,EVE ,D,5.2,78 ,0.15 ,0.15 ,2.8,2.8 ,4.7 ,1.4 ,14924  ,17 ,      
 ,P,Zabaleta        ,WHU ,D,4.3,74 ,0.14 ,0.14 ,2.6,2.6 ,2.7 ,2.1 ,-1559  ,-1 ,      
 ,S,Mustafi         ,ARS ,D,5.4,76 ,0.09 ,0.13 ,2.5,2.7 ,0.7 ,1.0 ,-662   ,-1 ,      
 ,L,Dunk            ,BHA ,D,4.5,88 ,0.11 ,0.13 ,2.5,2.6 ,0.7 ,2.6 ,-3074  ,-2 ,      
 ,B,Ecuele Manga    ,CAR ,D,4.4,100,0.11 ,0.11 ,2.5,2.5 ,3.0 ,0.3 ,5      ,0  ,      
 ,A,Young           ,MUN ,D,5.7,73 ,0.09 ,0.11 ,2.5,2.6 ,3.0 ,1.7 ,-1620  ,-2 ,      
 ,C,Coady           ,WOL ,D,4.5,100,0.11 ,0.11 ,2.5,2.5 ,1.3 ,0.6 ,470    ,1  ,      
 ,B,Mee             ,BUR ,D,4.6,100,0.09 ,0.09 ,2.4,2.4 ,2.7 ,1.7 ,1249   ,1  ,      
 ,F,Hadergjonaj     ,HUD ,D,4.4,77 ,0.07 ,0.09 ,2.3,2.4 ,3.0 ,0.1 ,-14    ,0  ,      
 ,S,Sokratis        ,ARS ,D,5.1,64 ,0.02 ,0.06 ,2.1,2.3 ,4.3 ,1.1 ,-4212  ,-6 ,      
 ,C,Taylor          ,BUR ,D,4.4,92 ,0.02 ,0.05 ,2.1,2.2 ,2.7 ,0.4 ,966    ,4  ,      
 ,D,Yedlin          ,NEW ,D,4.5,85 ,0.02 ,0.04 ,2.1,2.2 ,3.0 ,0.9 ,-118   ,0  ,      
o,C,Chambers        ,FUL ,D,4.2,61 ,-0.05,0.02 ,1.8,2.1 ,2.7 ,0.9 ,2398   ,4  ,      
 ,T,Kongolo         ,HUD ,D,4.3,77 ,0.0  ,0.02 ,2.0,2.1 ,1.0 ,0.2 ,-264   ,-2 ,      
 ,I,Diop            ,WHU ,D,4.3,92 ,0.02 ,0.02 ,2.1,2.1 ,3.0 ,0.8 ,-963   ,-2 ,      
 ,M,Montoya         ,BHA ,D,4.3,67 ,-0.09,-0.09,1.6,1.6 ,2.0 ,0.2 ,974    ,8  ,      
o,J,Bednarek        ,SOU ,D,4.0,41 ,-0.12,-0.1 ,1.5,1.6 ,1.7 ,6.3 ,13819  ,4  ,      
 ,D,Odoi            ,FUL ,D,4.4,90 ,-0.14,-0.14,1.4,1.4 ,1.7 ,0.1 ,-262   ,-4 ,      
 ,M,Le Marchand     ,FUL ,D,4.2,67 ,-0.21,-0.21,1.1,1.1 ,1.0 ,0.2 ,-64    ,-1 ,      
